step,action
0,9
1,37
2,29
3,37
4,28
0,36
1,15
2,31
3,6
4,37
0,10
1,16
2,36
3,28
4,6
5,28
6,28
7,28
8,6
9,6
10,6
11,28
12,6
0,36
1,31
2,38
3,36
0,1
1,31
2,9
3,5
4,28
5,15
6,15
7,41
0,9
1,6
2,31
3,28
0,36
1,10
0,9
1,6
2,14
3,6
4,2
0,36
1,31
2,36
3,37
4,6
5,6
6,28
0,1
1,28
2,31
3,28
4,28
5,28
6,6
7,28
8,28
9,9
0,36
1,9
2,6
3,24
4,28
0,36
1,9
2,26
3,31
0,31
1,28
2,6
3,28
4,7
5,28
6,28
0,1
1,26
2,6
3,31
4,31
5,6
6,6
0,10
1,36
2,38
3,10
4,28
5,37
6,6
7,6
8,6
9,28
10,28
11,6
12,6
13,6
14,28
0,9
1,1
2,6
3,28
4,6
5,6
0,9
1,14
2,28
3,6
4,6
5,28
6,6
7,28
8,28
0,36
1,31
2,4
3,29
4,28
5,28
6,14
7,6
8,6
9,6
10,28
11,6
12,28
0,10
1,9
2,9
3,29
4,6
5,6
6,25
7,6
8,28
9,28
10,28
0,31
1,9
2,37
3,28
4,28
5,28
0,10
1,14
2,28
3,1
4,28
5,31
0,36
1,1
2,28
3,28
4,6
5,7
6,38
7,28
8,36
0,9
1,26
2,27
3,6
0,1
1,28
2,6
3,28
4,6
0,36
1,36
2,31
3,31
4,6
5,28
6,6
7,28
8,28
9,3
0,9
1,28
2,25
3,6
4,5
5,6
6,4
7,6
0,10
1,31
2,6
3,6
4,15
5,6
6,6
7,6
8,6
9,4
10,38
0,36
1,1
2,31
3,29
4,37
5,38
6,6
7,6
8,6
0,36
1,9
2,27
3,28
4,9
0,31
1,1
2,35
3,37
4,4
5,4
0,9
1,6
2,6
3,14
4,35
5,6
6,6
7,6
8,4
9,6
10,6
0,1
1,31
2,28
3,31
4,37
5,12
0,28
1,9
2,6
3,41
4,36
0,10
1,10
2,6
3,15
4,4
5,28
6,28
7,6
8,28
9,28
10,28
11,28
0,4
1,1
2,28
3,6
4,28
0,1
1,9
2,6
3,6
4,6
5,6
6,28
7,6
8,6
0,23
1,23
2,8
3,15
4,28
5,28
6,6
0,36
1,9
2,24
3,6
4,6
5,28
6,15
7,28
0,27
1,31
2,4
3,36
0,36
1,9
2,31
3,31
4,38
5,2
6,17
7,28
8,6
9,6
0,1
1,9
2,9
3,28
4,37
5,28
0,36
1,9
2,28
3,24
4,6
5,28
6,24
0,10
0,1
1,31
2,24
3,28
4,28
0,36
1,9
2,31
3,2
4,29
5,4
6,9
0,1
1,17
2,25
3,28
4,28
0,1
1,28
2,9
3,36
4,9
5,6
6,6
7,7
8,28
0,9
1,6
2,6
3,2
4,6
0,1
1,31
2,38
3,28
4,6
5,28
6,28
7,4
8,28
0,1
1,31
0,1
1,9
2,35
3,6
4,28
0,9
1,9
2,6
3,28
4,6
5,28
6,6
0,36
1,15
2,27
3,4
0,36
1,9
2,24
3,28
4,6
5,28
6,28
7,28
0,28
1,9
2,28
3,7
4,28
5,6
6,38
7,28
8,6
9,14
10,28
0,36
1,36
2,6
3,15
4,38
5,1
6,6
7,28
8,26
9,6
10,28
11,28
12,19
0,9
1,30
2,6
3,6
4,6
5,6
6,15
7,6
0,1
1,28
2,28
3,26
0,36
1,31
2,28
3,28
4,28
5,28
6,28
7,6
8,6
0,19
1,6
2,6
3,37
4,27
5,6
0,36
1,36
2,25
3,6
4,28
5,6
6,28
0,1
1,8
2,31
0,10
1,18
2,6
3,6
4,6
5,28
6,37
7,28
8,6
9,6
10,6
11,28
0,24
1,2
2,9
3,38
4,28
5,28
6,28
7,28
8,28
0,4
1,9
2,6
3,29
0,1
1,10
0,9
1,30
2,28
3,41
4,6
0,1
1,9
2,37
3,15
4,6
5,28
6,28
7,38
8,28
0,10
1,28
2,37
