animals,height
6,3.18
4,3.72
5,3.87
3,2.55
1,0.57
12,6.51
2,1.83
4,2.55
7,5.34
8,3.63
3,1.65
2,1.98
4,3.09
8,3.9
8,6.06
8,5.07
9,4.5
4,3.09
5,3.63
2,2.01
3,2.19
6,3.27
1,1.38
1,1.2
5,3.9
4,2.55
3,2.19
6,3.18
4,2.55
7,3.63
10,5.88
9,5.52
7,3.72
6,3.6
1,0.9
3,2.16
7,5.22
2,1.26
3,2.01
6,3.81
3,3.0
5,2.91
4,2.46
2,3.63
4,1.98
6,4.17
4,2.55
2,0.93
7,2.91
5,3.45
6,3.72
5,3.9
3,2.01
2,2.19
10,5.7
6,6.51
2,2.37
7,4.53
3,2.64
4,2.64
6,3.63
6,4.17
6,3.9
5,2.91
5,3.72
4,2.46
6,4.08
12,7.29
3,2.79
2,1.83
10,5.97
8,5.79
6,5.16
7,5.16
10,5.16
6,5.16
3,2.64
9,3.87
4,4.08
6,3.63
1,1.38
2,1.92
2,1.38
5,3.09
2,1.38
4,3.15
9,5.61
10,4.5
7,4.08
6,3.63
6,5.25
4,2.46
7,5.43
5,2.37
2,2.61
8,5.07
5,3.81
4,2.55
1,1.92
8,6.15
3,2.1
5,3.27
3,2.46
7,4.71
9,5.97
2,1.8
2,2.46
5,4.26
7,6.69
4,3.09
2,1.71
3,2.55
3,2.19
5,4.8
4,2.82
3,2.1
7,3.96
6,4.17
7,3.72
6,4.08
8,4.98
8,5.97
6,6.06
5,4.44
2,1.56
3,2.64
3,3.27
3,2.43
4,4.17
9,4.08
5,4.53
5,4.08
10,6.33
4,2.91
7,4.41
3,2.01
2,2.19
3,3.0
3,2.64
6,3.15
3,2.55
4,3.81
7,3.87
4,2.82
7,5.34
7,3.63
6,4.53
12,6.78
6,5.88
4,2.82
11,5.43
5,4.26
5,3.63
4,2.64
3,1.83
4,2.7
14,6.15
5,4.08
7,4.98
4,2.43
6,4.71
3,2.73
6,3.27
4,3.18
7,2.64
7,3.51
1,1.38
3,2.1
4,2.91
5,3.27
5,3.54
3,3.09
1,1.38
4,3.63
9,6.51
4,3.27
6,4.44
10,5.7
4,4.44
5,2.7
7,5.79
3,2.37
3,1.65
4,3.18
2,2.01
5,3.36
2,1.83
2,0.75
4,3.36
1,1.08
5,3.69
3,1.56
10,4.98
8,4.68
5,3.72
8,4.98
4,2.73
4,2.1
2,1.56
7,3.45
7,4.26
4,3.27
9,4.98
1,1.38
1,1.2
1,1.08
6,4.35
8,6.33
10,4.71
8,4.71
1,1.38
6,3.9
5,3.09
4,2.37
1,1.08
1,0.84
7,3.78
6,2.82
4,2.46
3,2.1
7,4.23
1,0.9
6,4.77
5,3.36
8,5.25
5,2.88
6,4.23
5,4.35
1,0.57
8,4.98
6,3.18
4,3.54
1,2.46
10,5.61
8,5.61
7,4.71
5,2.91
2,2.37
5,4.53
15,7.41
6,4.59
8,4.8
7,4.8
4,3.45
5,2.34
1,1.65
10,6.6
8,5.88
8,4.98
3,2.73
6,3.0
4,3.18
5,3.36
6,4.71
1,1.29
1,1.29
8,4.62
7,3.9
1,1.17
7,4.35
5,2.82
4,3.42
1,0.84
6,4.89
8,4.59
5,2.46
7,3.72
1,0.93
1,0.57
3,3.45
8,4.71
6,4.35
5,3.54
1,1.38
2,1.83
5,3.81
2,2.34
10,4.98
6,4.26
3,2.64
2,1.11
1,0.57
6,4.44
4,3.09
0,0.0
4,2.46
7,5.43
4,4.35
1,1.2
5,3.45
7,4.71
8,4.62
9,4.89
5,2.46
1,1.29
5,3.36
3,2.91
2,1.53
6,5.25
10,6.96
1,1.2
1,1.38
6,4.23
1,0.84
2,2.46
6,3.99
1,0.66
3,2.55
8,5.7
2,1.74
8,4.8
8,4.98
10,5.13
1,1.38
8,4.53
4,2.37
1,1.38
6,5.94
4,3.45
5,2.91
7,6.6
13,10.29
8,6.69
8,6.69
8,4.44
4,3.0
3,2.28
7,4.62
3,2.64
4,3.45
6,4.98
10,7.23
5,6.33
9,4.71
4,3.27
4,3.27
7,5.04
3,1.65
8,3.9
5,2.82
1,1.38
9,5.25
1,1.2
6,4.89
7,7.02
10,8.85
2,2.01
6,2.82
