step,action
0,13
1,38
2,28
3,14
4,42
0,13
1,13
0,13
1,13
2,13
3,5
4,38
5,3
6,38
7,38
0,34
1,15
2,31
3,27
4,37
5,23
6,30
0,30
1,10
0,28
1,20
0,37
1,25
2,8
0,15
1,25
2,29
3,15
4,37
0,37
1,10
2,2
3,15
4,43
5,19
6,8
0,31
1,34
2,11
0,14
1,16
2,10
0,2
1,31
2,15
3,4
4,15
5,43
0,13
1,15
2,42
3,15
4,22
0,38
1,1
0,6
1,0
2,11
3,8
4,34
5,28
6,9
0,24
1,9
2,4
3,2
0,9
1,15
2,9
3,34
0,19
1,10
2,43
3,33
0,22
1,8
2,18
3,29
4,37
0,33
1,34
2,29
3,22
0,26
1,20
0,6
1,29
0,7
1,24
2,8
3,13
4,38
5,2
0,11
0,2
1,0
0,4
1,11
2,43
3,21
0,31
1,22
2,40
3,5
4,29
5,27
6,37
7,31
0,19
1,30
2,24
3,34
4,40
5,0
0,17
1,19
2,31
0,17
1,22
2,34
3,26
4,20
0,31
1,22
0,21
1,0
0,28
1,27
2,18
3,1
4,15
5,28
0,31
1,18
2,1
3,6
0,4
1,17
2,4
3,28
0,31
1,22
2,0
0,21
0,0
0,18
1,40
2,41
0,11
1,38
2,28
3,38
4,28
0,38
1,38
2,35
3,34
0,41
1,7
0,38
1,30
0,35
0,17
1,7
2,5
3,38
4,6
5,35
6,43
0,28
1,23
0,38
1,38
2,17
3,2
0,7
1,9
0,8
1,4
2,17
3,40
0,17
1,13
2,3
3,19
0,27
1,20
0,4
1,28
2,9
3,28
4,2
5,29
6,14
7,31
8,28
9,36
0,17
1,17
0,28
1,31
2,28
3,24
4,27
5,28
0,24
1,12
2,3
3,12
4,8
0,24
1,14
2,31
3,24
4,9
5,28
6,26
7,14
8,2
0,31
1,33
0,24
0,25
1,38
2,18
3,14
4,23
0,14
1,6
2,14
3,33
0,28
1,34
0,14
1,24
2,9
0,4
1,11
2,24
3,17
4,31
0,38
1,19
2,31
3,14
4,38
5,4
6,8
7,4
8,4
9,38
0,38
1,4
2,14
3,38
4,4
5,14
6,14
7,14
0,4
1,11
2,38
3,27
0,7
1,4
0,7
1,15
2,26
3,35
0,17
1,14
2,38
3,31
4,27
5,17
6,14
0,14
1,14
0,14
1,14
2,14
0,38
1,38
2,28
3,14
4,38
5,38
6,38
7,38
0,38
1,19
0,14
1,6
2,40
0,32
0,7
1,2
2,19
0,16
1,31
2,31
3,37
4,18
5,28
6,5
7,3
0,4
1,38
2,17
0,31
1,38
2,0
0,39
1,15
2,18
3,10
0,13
1,37
2,10
3,10
4,38
5,14
0,31
1,24
2,14
3,28
4,19
5,4
6,39
7,26
0,31
1,38
2,41
3,39
4,4
5,7
0,6
1,28
2,7
0,28
1,24
2,9
3,43
0,10
1,8
2,38
3,1
4,9
5,26
6,28
7,37
8,14
0,40
1,18
2,18
3,28
4,18
0,34
0,41
1,10
0,1
1,16
2,15
3,19
0,32
0,27
1,3
2,9
3,10
0,18
1,16
2,19
3,10
4,3
5,11
6,12
7,18
8,8
9,12
0,1
1,2
2,10
3,14
4,35
0,31
1,31
2,14
3,1
0,1
1,38
2,41
3,41
0,31
0,11
0,32
0,17
1,11
2,39
3,10
4,18
5,0
0,38
1,30
2,8
3,37
4,27
5,10
0,28
1,2
2,14
3,10
0,4
1,31
2,14
3,24
4,7
5,28
6,4
7,4
8,38
9,4
0,31
1,4
2,4
3,4
4,31
5,38
6,31
7,31
8,31
0,31
1,2
2,4
3,9
4,2
5,1
0,4
1,31
2,18
3,28
4,31
0,31
1,31
2,18
3,31
4,13
5,24
6,25
7,28
8,31
9,22
0,2
1,28
2,28
3,31
4,18
0,28
1,28
0,28
1,18
0,31
0,14
1,18
2,1
3,18
4,6
5,27
6,22
0,28
1,14
2,4
3,38
4,13
0,2
1,28
2,17
3,5
4,38
5,40
6,15
7,2
0,18
1,31
2,8
3,14
4,38
0,28
1,4
2,18
3,41
4,28
5,28
6,18
7,28
0,18
1,14
2,18
3,4
4,18
5,31
0,18
1,18
2,24
3,24
4,14
5,18
6,13
7,1
0,16
1,25
2,14
3,10
0,17
1,18
2,9
0,28
1,24
2,28
3,14
4,1
5,18
0,28
1,8
2,2
3,14
4,43
0,28
1,3
0,28
1,28
0,17
1,4
2,8
0,18
1,24
2,17
3,14
4,32
0,28
1,28
2,33
3,28
4,28
5,38
0,28
1,34
2,18
3,12
4,5
5,24
0,2
1,43
2,31
3,18
0,14
1,31
2,33
0,31
1,19
2,18
3,18
4,4
0,28
1,18
2,6
3,2
4,18
0,40
1,2
2,38
3,31
0,4
1,28
2,3
3,31
4,31
5,14
6,18
0,28
1,18
0,28
1,40
2,14
0,28
1,28
2,12
3,41
0,14
1,23
2,37
3,19
4,7
5,14
6,14
0,31
1,14
2,31
3,24
0,24
1,14
2,4
3,19
4,17
0,17
1,19
2,14
3,29
4,13
0,28
1,28
2,19
0,28
1,25
2,18
0,27
1,4
2,4
3,14
0,18
1,30
2,8
0,8
1,0
2,1
3,34
0,2
1,42
2,9
0,0
0,1
1,2
2,8
3,25
4,36
5,20
0,7
1,28
2,32
0,2
1,8
2,30
0,41
1,29
2,12
3,8
0,1
1,42
2,5
3,32
0,12
1,31
2,12
3,6
4,2
5,10
0,5
1,5
0,18
1,28
2,31
3,15
4,17
5,40
6,4
7,40
8,17
9,10
0,19
1,14
2,25
3,14
4,32
5,14
6,18
7,10
0,8
1,18
2,24
3,31
0,19
1,30
2,1
3,28
4,30
0,2
1,16
2,4
3,18
4,31
0,31
1,28
2,19
3,10
4,10
0,31
0,28
1,0
0,19
1,31
2,28
3,16
4,28
5,28
6,2
0,14
1,37
2,17
3,28
4,15
5,28
6,25
0,19
1,31
2,14
3,17
4,4
5,19
0,31
1,28
2,16
3,38
4,28
5,17
0,15
1,19
2,38
3,28
4,14
5,14
0,43
1,28
2,19
0,17
1,1
2,41
3,25
4,37
5,13
0,12
1,28
2,18
0,14
1,19
2,10
0,1
1,12
2,42
3,38
4,24
5,37
0,19
1,6
0,4
1,12
0,10
1,4
2,31
3,34
0,28
1,14
2,38
3,20
0,11
1,15
2,18
3,39
4,13
5,34
0,43
1,28
2,31
0,24
0,33
0,31
1,6
2,37
3,28
4,28
5,28
6,4
0,4
1,28
2,8
3,12
4,28
5,38
6,28
7,28
8,28
9,28
10,28
11,28
12,28
13,28
0,28
1,8
0,28
1,12
2,28
3,28
4,28
0,28
1,28
2,28
3,28
4,12
5,28
6,15
7,28
8,28
9,14
10,18
0,28
1,28
2,28
0,12
1,11
0,38
1,28
2,28
3,15
4,37
5,15
0,28
1,37
2,29
3,18
4,2
0,28
1,16
2,28
3,28
4,28
0,28
1,28
2,28
3,38
0,28
1,28
2,25
3,28
4,28
5,11
0,28
1,28
2,28
3,28
4,28
5,28
0,28
1,28
2,28
3,28
4,28
5,28
6,28
7,28
8,28
9,28
0,28
1,28
2,28
3,28
0,28
1,28
2,28
3,28
4,28
5,28
0,28
1,28
2,28
3,28
4,28
5,28
0,28
1,12
2,28
3,28
4,28
0,28
1,28
2,28
3,28
0,28
1,28
2,12
3,28
4,14
5,43
0,18
1,28
2,28
3,38
4,12
5,5
6,28
0,28
1,28
2,28
3,28
0,28
1,28
2,28
3,28
4,28
0,28
1,28
2,28
3,28
4,28
0,28
1,28
2,28
3,28
0,28
1,12
2,38
3,15
0,12
1,28
2,38
3,31
4,37
5,12
0,28
1,28
2,37
3,12
4,38
0,12
1,28
2,15
3,31
0,24
1,12
2,12
3,28
4,4
0,25
1,14
2,28
3,28
4,18
0,12
1,14
2,31
3,12
0,1
1,24
2,12
0,19
1,28
2,12
3,25
0,12
1,37
2,38
3,7
0,16
1,4
2,14
0,4
1,38
2,1
3,10
4,13
5,31
6,22
0,12
1,10
2,22
0,1
1,7
2,28
3,28
4,23
5,31
0,24
1,13
0,12
1,37
2,18
3,12
0,12
1,30
2,19
0,15
1,1
2,40
3,0
0,22
0,1
1,28
2,26
3,13
0,7
1,15
2,31
3,12
0,12
1,42
2,1
0,38
1,37
2,38
0,17
1,28
2,28
3,38
0,37
1,17
2,29
3,14
0,28
1,12
0,4
1,14
0,28
1,28
2,19
0,38
1,31
2,32
3,14
4,32
5,1
0,38
1,19
2,9
3,28
4,18
5,10
0,39
1,37
2,18
0,28
1,37
2,28
0,28
1,29
2,28
3,17
0,12
0,12
1,38
2,37
3,37
0,28
1,19
2,24
3,11
0,38
1,17
2,39
3,12
4,8
5,18
6,37
7,36
0,28
1,19
2,28
3,38
0,28
1,12
2,37
3,21
0,28
1,19
0,38
1,12
0,12
1,40
2,37
3,7
4,6
5,28
0,12
0,19
1,13
2,24
3,40
4,28
5,37
6,15
0,28
1,1
2,37
3,12
4,24
5,14
6,6
7,12
0,15
1,4
0,15
1,15
2,19
0,2
1,38
2,24
3,10
0,14
1,24
0,28
1,13
2,16
3,35
0,38
1,39
0,28
1,24
2,11
3,4
4,30
5,12
6,24
0,14
1,25
0,39
1,1
0,14
1,25
2,16
3,8
0,7
1,28
2,27
0,7
1,28
0,28
1,19
2,4
3,36
4,15
5,14
0,16
1,35
0,37
1,28
2,37
3,28
4,38
0,28
1,37
2,28
3,15
4,14
0,28
1,37
2,12
3,12
4,19
5,19
6,5
7,12
8,18
0,38
1,28
2,37
3,1
4,38
5,34
6,38
7,17
0,28
1,28
2,28
3,28
4,28
5,28
6,37
0,28
1,12
0,12
0,28
1,28
0,14
1,19
2,37
3,12
0,28
1,28
2,28
3,28
4,28
5,28
0,37
1,37
2,28
3,38
4,14
0,28
1,28
0,38
1,39
2,30
3,4
4,25
0,28
1,10
0,38
1,7
2,37
3,18
0,28
1,18
2,4
3,27
4,28
0,38
1,38
2,15
3,37
0,17
1,3
2,40
0,17
1,37
2,31
3,7
4,29
5,13
6,28
7,16
0,19
1,28
2,36
3,31
4,15
5,2
0,28
1,38
2,28
3,15
4,25
5,9
0,28
1,28
2,28
3,28
4,13
5,28
6,17
7,14
8,28
9,4
10,6
11,28
0,28
1,28
2,28
3,28
4,28
5,28
6,28
7,38
8,28
9,28
10,28
0,28
1,28
0,28
1,28
2,28
3,28
4,28
5,28
6,28
0,28
1,28
2,38
3,28
4,28
0,28
1,38
2,28
3,14
0,28
1,28
2,31
0,28
1,38
2,28
3,11
0,38
1,28
2,38
3,33
4,30
5,4
6,27
7,38
8,28
0,28
1,38
2,38
3,10
4,7
5,43
6,15
7,17
0,28
1,37
2,30
3,14
4,11
0,37
1,12
0,28
1,37
2,28
3,37
4,28
5,38
6,38
0,28
1,28
2,28
3,0
0,28
1,28
2,28
3,28
0,28
1,12
0,28
1,19
2,12
3,19
4,8
0,40
1,38
2,39
3,4
4,30
0,40
1,8
0,19
1,10
0,19
1,28
2,41
3,4
4,36
5,7
6,37
7,23
0,30
1,28
2,1
3,39
4,38
5,42
0,4
1,28
2,31
0,19
1,16
2,30
3,7
4,28
0,28
1,28
2,28
3,37
4,8
5,19
6,0
0,28
1,28
2,28
3,28
0,28
1,7
2,19
3,38
4,6
5,16
0,28
1,19
2,28
3,28
4,28
5,28
6,24
0,28
1,19
2,28
3,28
4,37
5,38
6,19
7,38
0,28
1,28
0,28
1,28
2,19
3,37
4,1
0,28
1,28
2,28
0,28
1,19
2,28
0,28
1,10
2,15
3,37
4,4
5,36
6,18
7,14
8,28
9,32
10,12
11,39
12,25
13,28
14,28
15,2
16,5
17,19
0,28
1,28
2,28
3,19
0,28
1,12
0,28
1,28
2,28
3,15
0,38
1,28
2,28
3,38
4,28
5,19
0,28
1,28
2,28
3,28
0,28
1,37
2,28
0,28
1,28
2,28
3,28
4,14
5,38
0,28
1,28
2,28
3,28
4,28
0,28
1,28
2,19
0,28
1,37
2,28
3,28
4,24
5,12
0,28
1,19
0,38
1,28
2,28
3,37
4,28
5,28
6,28
7,28
0,28
1,28
2,28
3,28
4,38
0,28
1,28
2,28
3,28
0,28
1,28
2,28
0,28
1,28
2,28
3,28
4,28
0,28
1,28
2,28
3,28
0,28
1,28
2,28
3,28
4,28
5,28
6,28
7,28
8,28
9,28
0,28
1,28
2,28
3,28
4,28
5,28
6,28
7,28
8,28
9,28
10,28
11,28
12,28
13,28
0,28
1,28
2,28
3,28
0,28
1,28
2,28
3,28
4,28
5,28
6,28
7,28
8,28
9,28
10,28
0,28
1,28
2,28
3,28
4,28
0,28
1,28
2,28
3,28
4,28
5,28
0,28
1,28
0,28
1,28
2,38
3,38
0,28
1,11
2,37
3,38
4,28
0,38
1,28
2,38
3,28
0,28
1,25
2,14
0,28
1,14
2,4
3,28
4,28
5,28
0,28
1,7
2,33
0,38
1,28
2,11
3,28
4,28
5,28
0,28
1,28
2,28
3,28
4,19
0,28
1,4
2,28
3,38
4,24
0,28
1,28
2,28
3,37
0,19
1,28
2,28
3,28
4,28
5,28
6,14
0,28
1,28
2,38
3,28
4,28
5,28
6,28
0,28
1,28
2,28
3,28
4,28
5,28
6,28
7,28
8,28
9,28
10,28
0,28
1,28
2,28
3,28
0,28
1,28
2,28
3,28
0,28
1,28
2,28
3,28
4,28
5,28
6,28
7,28
8,28
0,28
