animals,height
4,2.37
1,1.11
7,4.17
6,4.05
1,1.92
1,1.11
2,1.56
4,2.46
6,3.0
2,0.93
2,1.56
5,3.45
4,2.28
1,1.11
6,2.7
3,1.74
3,2.37
3,2.46
4,2.64
3,1.56
1,1.29
1,1.38
5,3.81
0,0.0
1,1.11
3,1.47
7,2.73
5,2.16
2,1.38
4,2.52
1,1.2
1,1.38
5,2.19
3,1.92
3,3.45
2,1.2
0,0.0
0,0.0
2,1.74
4,2.46
3,2.55
1,1.11
1,1.2
0,0.0
6,3.45
1,0.66
3,2.28
1,1.29
3,2.28
3,2.46
1,1.2
9,3.99
1,1.65
5,3.09
4,4.08
8,4.35
1,1.2
0,0.0
4,2.28
3,3.18
1,0.84
2,2.46
4,2.46
9,4.98
7,4.53
3,2.19
1,1.38
3,2.64
6,3.18
1,1.29
2,2.28
7,3.54
1,1.92
2,2.37
0,0.0
2,1.11
7,3.69
2,2.64
2,1.29
3,1.35
5,3.09
7,3.6
5,3.33
2,2.64
3,1.29
8,4.68
4,3.54
0,0.0
1,1.65
3,1.29
0,0.0
3,2.28
9,2.97
4,1.8
3,2.37
3,1.65
0,0.0
0,0.0
0,0.0
5,1.74
5,2.28
3,1.92
9,4.62
8,3.9
5,1.65
4,3.27
9,3.63
4,1.92
1,1.02
1,1.11
0,0.0
6,3.27
4,3.63
7,4.26
4,2.37
7,5.97
5,3.09
7,2.61
3,1.47
2,2.01
5,2.19
4,2.82
1,2.01
1,1.11
2,1.65
4,2.37
5,3.18
5,3.81
3,1.74
2,1.83
4,2.46
4,2.25
3,2.28
6,2.64
1,1.2
2,1.29
3,2.01
6,3.18
3,2.19
4,3.0
4,1.83
2,1.56
2,1.65
3,3.18
2,2.37
3,1.89
2,1.29
0,0.0
5,1.74
2,1.38
2,1.38
3,1.65
3,2.01
5,2.73
1,0.93
9,4.41
7,3.09
3,1.38
4,2.64
4,2.64
4,2.82
0,0.0
1,1.11
6,3.0
6,4.35
5,2.55
5,3.45
5,3.45
2,1.65
5,3.99
2,1.62
2,2.55
5,3.33
1,1.74
1,2.46
3,1.74
3,1.47
5,2.82
2,1.74
0,0.0
0,0.0
6,4.77
13,5.79
1,2.01
4,3.06
10,4.89
2,2.01
1,1.62
5,4.08
4,2.82
4,3.18
3,3.0
5,3.9
5,3.45
9,4.41
3,3.0
5,4.89
5,3.0
4,3.0
3,3.27
5,2.28
6,4.08
3,3.36
4,3.27
4,4.8
3,2.73
3,2.46
5,2.16
4,2.37
3,3.09
4,3.18
4,2.19
3,2.91
2,1.56
3,1.47
3,2.19
2,1.38
6,2.7
2,2.01
5,3.0
1,1.11
3,2.28
2,1.2
3,1.83
0,0.0
3,1.89
3,1.47
2,2.01
2,1.74
3,2.01
3,2.1
1,1.2
1,0.57
2,1.83
5,3.36
5,2.73
2,1.29
2,2.28
3,2.82
0,0.0
3,2.1
3,2.91
7,3.54
3,2.64
3,2.28
1,1.29
1,1.74
5,2.25
0,0.0
6,2.64
7,3.54
1,1.02
2,1.38
3,2.64
1,1.83
3,2.28
1,1.65
6,3.18
1,1.29
1,1.11
3,3.27
2,2.91
1,1.65
5,3.45
1,1.47
4,2.91
4,2.55
8,3.87
7,3.72
6,3.54
1,1.29
0,0.0
1,1.2
3,1.83
5,2.73
4,2.82
1,1.2
4,2.64
1,2.01
3,2.73
4,2.37
3,2.55
2,1.83
7,4.17
5,2.64
5,2.73
11,4.98
10,4.98
1,1.38
6,3.9
4,4.26
3,1.92
2,1.83
3,2.28
8,4.08
7,3.96
4,2.01
1,2.19
6,2.1
3,1.74
3,3.36
1,1.2
4,1.89
4,2.19
1,1.11
1,0.66
7,3.45
5,2.7
2,2.19
4,3.0
6,2.34
3,3.27
5,2.43
6,3.63
7,4.71
1,1.2
4,1.92
2,2.55
2,2.73
17,6.93
3,2.91
1,1.11
3,3.99
5,3.27
3,3.0
2,2.37
5,3.72
4,2.73
2,2.46
5,3.99
1,0.84
7,5.43
4,4.26
3,1.83
2,2.01
4,5.25
3,2.37
9,5.88
13,6.87
3,2.55
10,3.87
4,3.36
5,4.17
1,1.2
3,1.65
4,3.0
3,2.91
2,1.2
5,3.18
2,1.74
5,3.45
4,3.36
4,2.28
3,3.81
6,5.34
6,2.64
10,5.4
3,3.36
3,3.0
8,7.77
4,2.73
6,2.91
3,3.0
4,3.63
2,1.65
2,1.92
5,2.46
6,4.17
3,3.09
3,3.0
6,4.53
3,2.46
3,3.0
1,1.2
10,6.66
8,4.8
10,5.94
3,3.36
4,4.35
3,2.01
6,5.16
6,4.26
8,7.59
4,3.72
3,3.27
2,3.72
3,2.82
2,2.28
6,6.69
3,2.73
8,7.83
2,2.1
6,3.42
3,2.91
4,2.55
5,3.0
9,4.59
4,4.89
2,2.19
2,1.83
4,3.33
4,6.15
6,6.33
3,3.18
6,2.55
8,6.96
6,4.8
5,2.73
6,6.33
13,10.71
1,1.2
1,0.93
6,6.24
6,4.26
4,4.71
2,2.1
2,2.19
6,3.54
8,7.59
2,1.56
4,3.99
5,5.43
5,4.62
2,1.83
2,2.19
4,3.81
4,3.27
3,3.27
4,3.0
2,2.73
1,1.29
2,1.74
2,2.19
12,7.86
12,9.45
4,3.15
4,2.46
4,4.53
4,4.35
4,3.45
3,1.92
4,4.62
3,3.36
5,4.89
5,4.62
1,1.11
6,3.09
3,1.83
2,2.19
1,1.29
6,2.28
1,1.2
6,4.71
5,2.97
9,4.23
5,2.01
2,1.02
2,2.01
5,2.91
4,4.98
4,3.54
3,2.82
3,3.09
5,3.63
2,2.91
5,5.16
10,3.99
4,4.62
1,1.2
5,4.26
2,1.71
2,2.1
2,1.83
2,2.37
4,2.28
2,1.83
2,2.01
9,4.71
4,3.0
3,2.55
3,2.91
7,7.5
1,1.2
4,3.54
2,1.65
4,2.46
5,3.81
9,4.35
3,2.46
2,1.74
2,2.52
3,2.37
3,3.18
4,3.0
2,2.19
4,2.46
5,2.37
3,3.0
8,4.89
6,5.52
6,6.96
6,5.25
5,3.63
5,4.8
7,4.26
2,2.19
3,1.83
3,1.62
1,1.2
6,4.8
10,8.49
2,2.1
7,4.77
2,2.19
5,4.68
2,2.01
3,2.55
6,6.87
3,3.27
6,3.63
7,5.88
7,6.06
5,3.9
5,4.98
4,4.08
3,3.9
3,2.28
8,7.59
6,3.45
1,1.2
4,4.08
6,3.36
7,5.25
6,4.8
4,4.98
4,3.81
2,2.28
3,1.65
3,2.1
5,2.73
7,3.27
5,5.61
1,1.29
1,1.29
4,3.06
10,4.44
5,3.09
8,4.62
3,2.73
5,4.98
4,3.81
5,2.91
2,1.56
3,2.28
12,5.52
2,2.01
3,2.73
1,1.2
8,4.59
3,2.64
4,3.54
5,4.89
2,2.37
7,3.9
9,3.33
3,2.55
3,3.09
2,1.56
6,3.09
7,3.54
6,4.35
5,5.79
7,4.8
2,2.19
5,4.98
3,3.72
3,2.64
1,1.2
4,3.63
5,5.25
4,1.92
8,4.23
7,6.15
3,2.28
2,3.72
5,6.24
7,5.97
14,8.19
6,3.54
5,3.72
5,4.98
2,3.09
3,3.36
2,2.28
1,1.2
8,4.26
6,3.99
5,4.17
5,3.36
4,2.55
4,3.09
3,3.36
2,2.46
13,6.93
3,3.0
9,7.05
1,1.2
6,4.08
4,3.27
6,5.97
5,4.98
8,3.36
8,3.42
8,5.16
6,3.99
4,3.9
2,2.1
3,2.91
4,2.1
3,1.74
3,2.46
1,1.02
5,2.88
4,2.82
3,2.34
4,3.81
1,1.2
1,1.11
9,6.42
3,1.56
4,4.08
4,4.98
2,2.19
4,3.24
3,2.28
8,3.87
6,3.15
7,4.14
9,9.75
1,1.2
2,2.1
10,7.05
8,8.85
8,3.6
7,4.8
4,4.08
3,3.09
4,2.91
4,3.54
2,2.37
6,6.69
7,5.52
3,4.08
2,2.19
1,1.2
2,2.28
1,1.2
12,8.73
3,3.09
7,5.61
1,1.11
2,1.11
2,2.28
6,3.9
5,3.9
1,1.2
4,3.9
3,3.09
17,11.64
6,4.44
4,4.08
4,2.55
9,4.98
8,4.86
6,3.45
2,1.92
3,3.09
4,2.91
2,3.0
1,1.11
4,3.18
3,3.18
2,2.28
5,4.62
2,3.63
1,1.38
3,3.36
7,6.42
3,3.27
2,1.65
3,2.82
2,1.92
4,3.9
9,6.33
6,4.62
1,1.2
4,3.45
4,4.26
4,4.89
9,5.97
6,3.36
1,1.2
2,1.92
7,4.53
3,2.46
7,5.88
1,1.2
6,3.78
6,3.9
3,3.18
6,3.9
4,3.81
4,3.18
4,4.35
4,4.62
7,4.23
4,3.09
3,2.73
2,1.92
6,6.42
4,2.46
1,1.2
1,0.93
2,2.64
3,2.46
7,5.16
5,5.79
8,5.79
3,3.36
3,3.18
3,2.91
6,3.9
4,3.54
4,5.16
6,4.17
6,5.43
5,6.6
4,3.36
3,3.27
3,2.37
5,5.34
1,1.29
6,5.61
8,6.78
4,2.37
4,4.08
6,5.88
4,3.81
3,3.36
3,2.64
2,1.47
5,4.71
4,4.53
6,5.07
5,3.63
4,5.43
7,5.61
1,1.2
3,3.36
6,6.24
5,2.91
6,4.53
5,2.82
7,4.71
4,3.27
6,4.35
3,4.17
8,4.44
3,3.63
1,1.11
3,2.37
4,3.63
3,1.92
2,2.46
1,1.2
4,2.55
3,2.28
2,2.19
6,3.27
5,4.53
3,2.28
2,2.19
4,3.54
6,3.63
1,1.2
10,7.23
8,6.6
7,4.53
3,3.81
7,7.05
1,1.29
4,3.0
5,3.63
2,1.74
5,3.63
4,4.56
2,1.65
2,1.56
4,4.17
2,1.65
4,3.81
2,2.46
10,4.53
5,3.81
6,5.07
3,2.46
6,6.6
6,5.88
3,3.27
2,1.74
8,7.95
2,3.36
3,3.54
3,3.0
5,4.89
1,1.2
1,1.29
1,1.38
4,3.18
4,3.45
4,3.18
3,4.8
7,4.98
4,3.99
11,6.78
4,2.91
2,2.01
6,5.25
5,5.25
4,3.99
1,1.29
4,2.64
2,2.1
3,3.18
6,6.33
3,2.64
6,7.23
5,3.45
5,4.8
2,2.01
6,5.61
3,4.17
5,2.97
8,7.32
4,2.91
1,1.11
1,1.2
8,3.72
6,6.06
5,2.82
6,5.34
3,3.18
5,5.25
6,6.96
2,1.92
5,3.6
3,3.45
3,3.0
5,5.07
4,4.17
11,7.47
2,2.91
2,2.01
3,2.01
1,1.2
1,1.38
3,2.37
4,3.72
3,2.91
4,2.55
2,2.64
6,3.81
4,2.46
3,3.27
6,6.51
