animals,height
5,2.37
3,1.53
7,5.61
4,2.28
3,4.32
2,3.09
3,1.56
22,13.62
8,4.26
7,2.46
5,5.07
8,3.0
6,4.89
2,2.64
3,2.52
6,3.27
6,2.64
13,8.94
7,4.62
14,7.95
3,2.37
10,6.69
5,4.35
3,2.19
3,1.92
5,2.82
7,3.27
5,2.55
3,2.64
6,3.45
10,5.4
6,3.9
10,5.88
4,4.44
9,7.41
12,8.37
15,10.02
2,1.38
5,3.18
6,3.9
2,1.08
4,2.1
5,3.09
8,5.79
1,0.93
1,1.38
9,8.13
2,2.64
1,0.57
7,3.72
3,1.83
3,2.73
4,2.91
8,4.71
6,5.79
5,4.26
7,4.17
12,7.95
2,1.65
14,6.78
5,2.73
4,4.17
9,4.08
1,1.08
8,5.07
7,5.79
4,2.55
1,1.92
11,9.3
5,2.46
5,2.82
8,5.97
7,3.63
6,4.08
3,1.62
5,4.53
7,4.62
9,4.89
8,4.53
13,12.54
7,3.54
5,3.45
5,2.43
8,4.8
6,2.64
10,5.07
7,5.7
6,4.26
9,5.61
7,3.81
2,2.64
5,3.0
4,3.6
9,4.71
5,3.18
7,3.51
11,7.65
5,4.08
2,1.38
8,4.26
2,1.47
8,4.98
3,2.46
6,3.72
5,3.63
3,1.8
2,1.74
7,3.9
1,1.02
2,2.46
4,2.82
9,7.23
8,5.79
2,2.46
5,2.73
5,3.45
9,5.25
2,1.83
9,8.13
6,3.36
2,2.01
4,2.37
6,3.06
2,3.0
5,3.09
3,2.43
3,2.19
10,5.79
9,5.88
5,3.27
3,1.83
6,3.0
10,5.16
1,1.65
6,3.27
5,3.09
10,6.42
5,3.0
7,4.41
3,1.92
5,3.63
3,3.18
6,3.45
5,3.18
7,7.05
7,6.78
6,4.59
8,3.63
9,4.44
4,2.37
9,5.22
3,2.46
5,3.54
8,4.8
5,2.55
8,6.42
2,2.91
4,2.64
9,4.98
5,3.54
8,4.32
11,6.6
5,3.87
11,10.38
5,2.46
3,2.28
6,4.95
2,1.74
3,2.37
8,4.71
10,5.43
6,5.7
9,6.42
5,3.36
4,2.82
3,2.91
6,5.34
11,5.34
1,0.57
14,7.86
4,2.82
5,2.55
7,4.17
5,3.81
1,1.38
4,2.46
4,2.1
2,1.74
3,2.01
7,4.44
2,1.26
7,4.26
6,3.36
4,2.64
7,3.81
3,2.73
6,4.86
3,1.38
6,2.73
12,5.67
4,3.36
11,7.23
3,1.83
5,2.64
4,2.61
4,2.19
9,6.6
1,1.29
5,3.27
2,1.47
4,2.37
8,4.8
4,1.74
6,3.81
2,1.08
8,5.79
3,2.82
1,1.11
6,3.27
5,3.27
3,2.82
9,4.62
4,2.64
16,10.38
8,3.99
4,2.37
3,2.46
4,2.91
13,7.41
4,2.46
10,6.69
8,5.13
6,5.52
5,4.17
4,2.97
1,1.11
3,1.89
3,2.1
11,6.78
6,3.54
5,4.05
6,4.14
5,3.63
3,2.01
4,3.09
7,3.63
4,3.09
6,2.1
4,2.91
9,4.08
4,3.09
6,3.45
2,1.74
4,3.09
2,2.55
6,2.55
7,3.81
9,4.71
3,2.55
3,2.07
1,1.08
2,2.79
6,3.6
6,5.34
11,7.29
9,6.51
7,4.32
3,1.92
7,4.44
2,1.83
3,2.64
9,6.15
4,3.9
2,2.01
3,2.64
3,4.53
9,6.51
5,3.09
8,5.61
5,2.64
5,2.37
9,4.44
3,2.19
5,2.91
3,2.01
4,2.1
9,6.15
2,2.7
5,2.19
4,3.18
5,4.62
8,4.62
1,1.56
5,3.9
5,3.54
3,1.83
16,14.16
6,3.45
6,2.82
4,2.19
2,2.61
8,4.62
7,4.44
2,1.47
3,2.46
6,3.63
3,1.83
5,3.15
9,5.34
7,3.78
5,3.15
4,2.19
3,1.92
3,3.27
6,3.99
7,3.45
5,4.44
2,0.84
8,7.2
10,6.15
3,2.01
5,2.73
5,2.19
3,1.74
4,2.55
5,5.43
8,4.95
3,2.55
4,3.15
5,4.14
9,5.79
2,1.2
7,3.54
4,1.74
6,4.23
2,1.38
7,5.61
2,2.64
9,5.43
8,4.98
1,1.08
10,5.94
10,6.24
4,2.73
6,4.53
10,6.42
2,1.2
3,2.19
2,1.38
8,3.81
1,1.29
6,3.72
3,3.09
3,2.25
1,2.01
3,2.28
6,5.79
4,2.91
0,0.0
4,3.72
8,4.98
5,3.09
2,1.74
4,5.07
9,4.95
8,6.33
3,2.55
7,3.81
9,5.97
10,5.61
5,5.52
6,2.73
10,6.06
5,3.0
1,0.93
3,1.92
3,1.74
10,6.78
7,3.9
6,2.37
5,3.36
4,2.52
3,1.92
3,2.73
7,4.98
9,5.94
11,6.6
4,2.19
6,3.99
5,4.08
10,5.25
8,4.89
11,6.15
8,6.33
4,2.55
3,1.38
5,4.44
12,5.43
11,8.94
9,5.43
4,3.63
3,2.46
5,3.09
3,1.83
3,1.83
5,4.17
9,3.9
1,1.38
6,3.81
5,3.09
9,6.57
6,3.81
7,4.8
