animals,height
2,2.05
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
4,4.21
1,1.15
0,0.0
2,2.23
0,0.0
0,0.0
2,2.23
0,0.0
0,0.0
0,0.0
1,1.87
1,1.15
0,0.0
0,0.0
0,0.0
0,0.0
2,2.41
1,1.15
0,0.0
2,1.24
2,2.23
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,2.05
5,5.2
0,0.0
0,0.0
0,0.0
0,0.0
10,12.15
1,1.33
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,2.32
4,4.59
0,0.0
0,0.0
4,4.39
0,0.0
2,2.32
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.06
1,1.15
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
5,5.38
1,1.15
0,0.0
5,4.66
0,0.0
0,0.0
0,0.0
0,0.0
3,2.77
0,0.0
0,0.0
2,1.06
0,0.0
0,0.0
0,0.0
0,0.0
2,3.13
3,4.12
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.97
1,1.06
0,0.0
0,0.0
3,2.95
0,0.0
2,2.05
2,2.23
1,1.24
4,2.86
0,0.0
0,0.0
2,1.15
0,0.0
1,0.88
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.97
1,1.06
2,1.96
0,0.0
1,1.33
1,1.15
1,1.33
0,0.0
2,1.96
0,0.0
0,0.0
0,0.0
0,0.0
3,4.21
0,0.0
0,0.0
3,2.32
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
6,6.64
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.88
1,1.24
0,0.0
0,0.0
3,2.05
0,0.0
1,1.96
0,0.0
0,0.0
0,0.0
1,1.15
0,0.0
2,1.6
0,0.0
2,1.51
0,0.0
0,0.0
3,3.22
0,0.0
0,0.0
2,2.68
0,0.0
1,1.96
0,0.0
4,3.49
2,2.14
0,0.0
3,1.87
1,1.06
1,1.15
0,0.0
1,1.06
2,2.23
0,0.0
0,0.0
0,0.0
2,2.23
4,4.66
1,0.97
1,1.15
0,0.0
1,0.88
1,0.88
2,2.14
1,1.24
2,2.05
3,2.77
2,2.23
1,1.96
2,1.78
1,1.15
2,2.05
2,2.05
2,2.05
0,0.0
6,5.47
1,0.97
1,1.15
1,1.06
1,1.15
2,1.6
2,1.78
1,1.15
3,2.86
0,0.0
6,6.37
3,2.86
1,1.06
1,0.97
3,2.95
6,5.47
6,6.64
2,1.78
1,1.33
4,3.94
3,3.04
5,4.03
6,6.01
8,8.98
3,3.04
2,2.05
3,2.32
3,3.13
1,0.97
3,3.4
2,2.41
5,5.47
2,2.23
4,4.48
6,3.94
2,2.59
1,1.15
2,2.14
1,0.97
1,1.06
1,1.24
0,0.0
5,5.38
2,2.05
6,5.83
2,2.41
3,2.5
0,0.0
1,1.06
2,2.41
5,3.22
2,1.96
2,2.05
2,2.41
1,1.15
0,0.0
1,1.15
0,0.0
1,1.24
2,2.32
3,3.4
1,0.97
2,2.23
7,6.46
2,2.23
5,4.48
5,4.93
1,1.15
2,2.23
1,1.24
3,2.59
2,1.51
1,1.06
7,7.09
2,2.14
5,5.11
2,1.69
1,0.97
9,9.52
2,2.23
1,0.97
2,2.41
2,1.78
1,1.24
2,1.96
1,1.15
1,1.15
2,2.32
1,1.33
5,5.2
9,9.16
3,3.13
2,3.85
2,1.87
3,4.03
4,4.03
5,4.66
3,3.04
1,1.15
1,1.15
3,2.68
2,1.6
3,2.95
2,1.78
4,3.85
4,4.75
9,8.53
2,2.23
3,2.77
5,5.56
2,1.78
1,1.06
4,3.76
5,5.02
3,2.41
1,1.24
7,6.37
2,2.05
2,2.23
2,1.78
2,1.96
1,1.24
3,3.22
2,2.32
1,1.15
2,2.5
2,2.14
0,0.0
13,13.03
3,2.95
2,1.96
4,4.39
5,3.94
9,4.93
2,1.96
4,3.76
1,1.15
2,2.23
3,3.49
1,1.06
2,1.69
4,3.67
6,5.74
3,3.4
2,1.87
1,1.69
0,0.0
2,1.96
10,8.98
0,0.0
3,2.41
1,0.79
4,4.12
5,5.65
5,4.12
3,3.22
1,1.15
2,1.87
1,1.15
2,2.41
2,2.14
1,1.15
2,1.6
1,1.15
4,2.68
2,1.78
2,1.78
1,0.97
6,6.82
5,4.57
2,1.69
4,3.85
7,6.01
2,1.69
4,3.76
4,3.67
3,3.31
3,3.58
6,6.55
2,1.6
3,2.95
2,1.69
2,1.69
2,1.96
2,2.23
1,1.15
3,3.22
2,2.68
1,1.15
1,0.61
5,4.3
2,2.5
2,2.41
5,4.48
3,3.49
3,2.95
2,2.77
4,3.76
4,4.84
1,1.15
2,1.51
8,8.35
3,3.04
1,1.06
2,1.87
1,1.15
1,1.15
4,4.3
8,7.54
3,2.95
2,1.96
2,2.5
15,15.01
1,0.61
3,4.57
1,0.97
4,4.3
2,1.78
2,1.69
4,4.21
3,3.4
5,4.84
1,1.15
1,1.15
1,0.97
2,1.96
1,0.79
