animals,height
4,3.45
8,5.31
8,3.63
2,1.38
6,2.88
3,2.01
6,3.54
3,3.09
4,3.27
2,1.2
3,2.46
4,2.07
4,2.37
3,2.37
2,1.47
2,1.47
2,2.37
3,3.27
4,2.61
7,3.27
4,3.72
7,4.26
2,2.01
1,1.65
2,1.65
2,1.83
3,2.73
2,2.82
2,1.56
5,3.33
2,1.29
3,2.37
2,3.27
2,2.1
1,1.2
3,2.1
3,2.46
3,2.28
5,3.27
5,3.09
2,1.56
6,3.09
2,2.64
5,3.09
10,5.79
7,3.72
3,2.37
6,3.72
3,2.46
2,1.83
1,1.11
1,1.92
3,2.28
2,3.81
3,1.56
3,2.19
5,3.09
1,1.29
5,2.46
6,3.63
8,3.0
9,4.17
10,5.13
4,2.01
3,1.92
1,1.92
7,5.25
7,3.96
6,3.6
3,3.18
2,2.01
