animals,height
2,1.74
7,4.26
0,0.0
3,1.9
3,1.74
2,2.19
6,2.91
0,0.0
8,3.9
5,3.18
3,1.62
3,1.65
3,1.74
2,1.56
1,2.19
0,0.0
3,2.37
2,1.47
1,1.11
7,4.23
7,2.91
3,1.11
5,3.9
4,1.9
3,2.64
3,1.38
0,0.0
1,0.84
3,1.65
1,1.2
2,1.65
4,3.33
5,3.72
5,2.82
8,4.08
6,2.91
0,0.0
2,1.47
1,1.11
1,1.29
2,0.93
2,1.29
2,1.74
1,1.11
2,0.9
2,1.38
4,2.46
2,1.2
4,2.01
1,1.2
1,1.02
1,1.02
0,0.0
5,2.88
10,4.26
5,2.61
1,1.65
6,2.73
10,5.07
4,3.06
7,4.35
4,2.28
1,1.29
5,2.37
2,1.74
4,1.65
1,1.11
1,1.38
6,3.6
3,2.19
3,1.62
3,2.37
4,2.43
1,1.29
3,2.28
1,2.01
2,1.29
4,3.0
2,1.11
11,4.41
0,0.0
3,3.9
1,1.2
1,1.2
3,2.46
5,3.0
0,0.0
1,1.02
0,0.0
2,2.19
1,1.2
8,4.53
1,1.2
5,3.18
0,0.0
4,2.46
0,0.0
3,2.28
2,2.19
4,3.9
6,2.82
4,2.43
4,2.19
0,0.0
6,3.45
5,3.54
7,5.07
11,5.67
3,2.28
4,3.9
6,3.9
9,3.33
6,3.9
4,2.64
3,2.55
5,3.54
5,3.27
2,2.1
3,1.83
1,1.29
2,1.74
2,3.9
4,2.07
11,5.25
1,2.01
4,1.74
2,1.92
5,3.72
2,2.01
7,5.76
2,1.29
0,0.0
3,2.01
1,1.38
2,2.73
