step,action
0,40
1,6
2,7
3,26
4,11
0,40
1,36
2,33
0,14
1,8
2,4
3,17
4,23
5,42
6,43
7,15
8,5
9,9
10,36
11,21
0,10
0,30
1,25
2,42
3,23
4,12
5,29
0,10
1,23
2,19
3,36
4,13
5,11
0,25
1,20
2,29
3,35
0,28
1,15
2,31
3,16
4,3
0,13
1,27
2,39
3,28
4,23
0,33
0,41
1,24
2,32
0,21
0,12
1,19
2,16
3,7
4,41
0,4
1,2
0,28
1,20
2,2
3,9
4,31
0,6
1,34
0,15
1,38
2,34
0,3
1,8
2,23
0,16
1,24
2,6
3,11
4,21
0,42
1,1
2,7
3,31
4,12
5,0
6,23
7,8
0,36
1,17
2,37
3,25
0,41
1,40
0,1
1,39
2,14
3,15
4,16
5,1
6,34
0,6
1,28
2,0
3,20
0,39
1,6
2,14
3,25
4,7
0,34
0,14
1,22
0,20
0,11
1,26
2,15
3,22
0,39
1,18
0,16
1,30
2,37
3,17
4,19
5,1
6,20
0,5
1,19
2,25
3,38
4,1
0,10
1,11
0,15
1,19
2,33
0,13
1,35
0,8
1,18
2,27
3,41
0,31
1,41
2,15
3,38
4,41
5,41
6,2
0,12
1,7
2,21
0,3
1,10
2,1
0,6
1,41
0,39
1,39
2,26
3,38
4,13
0,36
1,9
2,13
3,13
4,20
5,37
6,40
7,0
0,18
1,0
2,17
3,14
4,13
0,35
0,16
1,27
2,16
3,7
4,14
5,35
0,14
1,10
2,10
3,11
0,13
1,2
2,24
3,21
4,35
0,38
1,12
2,26
3,21
0,20
1,39
2,27
3,0
0,22
1,38
2,27
3,30
4,32
5,12
6,42
7,34
0,43
0,17
1,32
2,4
3,11
0,33
0,19
1,15
2,10
3,24
4,7
5,35
6,11
7,2
0,16
1,29
2,18
3,35
0,16
1,0
0,1
1,13
2,30
3,2
4,28
5,25
6,22
0,9
1,34
0,3
1,16
2,30
3,43
0,13
1,5
2,38
3,4
4,23
0,33
0,4
1,22
0,31
1,21
2,12
3,7
4,9
0,24
1,30
2,18
3,39
4,19
0,0
0,4
1,39
2,23
3,7
4,2
5,5
6,19
0,38
1,21
0,29
1,12
2,29
3,9
0,1
1,14
2,7
0,32
1,0
2,18
3,31
0,26
1,24
0,37
1,20
2,39
3,2
0,15
1,15
2,28
3,29
4,6
0,33
0,25
1,10
0,14
1,24
2,33
3,12
4,25
0,13
1,14
2,35
0,3
1,0
0,27
1,10
0,4
1,7
2,35
0,26
1,38
0,9
1,16
2,13
3,41
4,12
0,15
1,27
2,14
3,2
0,38
1,29
0,13
1,6
2,35
0,17
0,5
1,0
0,13
1,26
2,6
3,16
4,10
0,27
1,29
2,26
3,28
4,9
0,10
0,9
1,30
2,37
3,9
0,36
1,32
2,15
3,27
4,22
0,34
0,25
1,38
2,24
3,19
4,11
0,26
1,29
2,13
3,13
0,29
1,22
0,3
1,25
2,18
3,30
0,17
1,15
2,5
3,2
0,34
1,37
0,26
1,9
2,41
3,26
4,1
0,6
1,14
2,39
3,1
0,31
0,14
1,23
0,29
1,15
2,23
3,12
0,7
1,30
0,16
1,9
2,4
3,34
0,28
1,13
2,11
0,31
1,21
0,13
1,18
2,22
0,38
1,39
2,31
3,25
0,34
0,18
1,14
2,42
0,28
1,21
0,40
1,11
2,41
0,33
0,37
1,2
2,23
0,7
1,29
2,33
0,10
1,11
2,25
0,6
1,25
2,42
0,22
1,6
2,4
3,30
4,43
0,38
1,27
2,24
3,12
4,6
0,33
1,0
0,15
1,5
2,43
3,4
4,39
5,20
0,15
1,25
2,20
0,5
1,14
2,8
3,42
0,0
1,30
2,36
3,29
4,32
0,18
1,13
2,0
0,42
1,17
2,39
3,42
0,1
1,23
2,42
3,19
0,3
1,39
2,9
0,22
1,16
2,37
3,22
0,42
1,13
2,27
3,6
0,20
1,13
2,24
0,43
0,19
1,27
2,19
0,20
0,13
1,21
0,21
0,38
1,39
2,22
0,21
1,12
2,17
3,34
0,17
1,41
2,43
0,4
1,20
0,11
1,43
2,28
3,18
4,31
0,37
1,6
2,12
3,24
4,13
5,40
6,28
7,40
8,6
9,8
0,5
1,11
2,8
3,16
4,11
0,29
1,22
0,28
1,31
2,41
0,5
1,35
2,27
3,13
4,16
5,5
6,24
7,29
0,43
0,5
1,24
2,36
0,32
0,31
1,37
2,37
3,31
4,37
5,9
6,9
0,27
1,43
2,10
3,41
4,39
0,6
1,11
2,32
3,3
4,10
0,32
0,17
1,18
2,33
0,13
1,33
0,0
1,30
2,33
0,13
1,31
2,41
0,43
1,43
2,26
3,26
4,5
5,32
0,11
1,39
2,22
0,9
1,18
2,21
0,38
1,36
2,40
3,22
0,17
1,37
2,34
3,12
0,39
1,13
2,43
3,27
4,17
5,21
6,15
7,25
0,5
1,30
2,33
0,5
1,5
2,13
3,12
0,5
1,39
2,27
3,6
4,20
0,43
1,24
2,32
0,7
1,8
2,31
0,4
1,0
2,23
3,41
4,21
0,36
1,24
2,10
3,32
4,17
5,11
6,26
7,22
0,16
1,16
2,12
3,4
4,27
0,6
1,7
2,26
3,5
4,15
0,24
1,31
2,35
3,3
4,27
5,3
6,31
0,37
1,30
2,37
3,24
4,10
0,33
0,21
0,4
1,7
0,3
1,40
2,34
0,7
1,41
0,27
1,10
0,7
1,22
2,35
0,13
1,2
2,29
3,25
4,34
0,29
1,38
2,5
3,1
0,23
1,10
2,43
3,16
4,4
5,34
0,10
1,34
0,38
1,18
2,13
3,36
4,1
5,11
0,22
1,25
2,29
3,22
4,12
5,18
0,20
0,10
1,38
2,27
3,7
0,10
1,4
2,3
3,43
4,6
5,16
6,17
7,18
8,37
9,31
0,15
1,43
2,34
3,42
4,32
0,5
1,19
2,15
3,29
4,32
0,40
1,9
2,22
0,31
1,15
2,40
3,11
4,39
5,31
0,38
1,9
2,29
3,2
4,26
5,11
0,3
1,20
0,29
1,35
0,8
1,38
2,14
3,4
4,24
5,25
6,39
0,17
1,31
2,6
3,31
4,43
0,27
1,9
2,32
0,1
1,22
0,36
1,38
2,11
3,39
4,14
5,17
0,43
0,41
1,25
2,6
3,8
0,43
