animals,height
4,1.92
2,2.01
11,3.06
0,0.0
5,2.91
5,2.07
3,1.74
4,2.07
4,2.46
0,0.0
2,1.2
0,0.0
4,1.71
1,1.02
4,3.36
1,1.11
2,1.74
2,2.46
4,2.19
7,3.51
3,1.83
1,1.56
6,3.72
3,2.37
4,3.09
0,0.0
1,1.2
0,0.0
3,2.55
1,1.74
6,2.82
4,2.73
1,1.11
2,1.11
1,1.11
3,2.64
6,3.09
2,1.29
2,1.38
1,2.46
4,3.72
7,4.71
4,1.83
0,0.0
5,2.82
3,2.1
4,2.19
3,1.83
3,1.56
7,3.51
0,0.0
3,1.47
0,0.0
7,3.09
3,1.83
1,0.84
6,3.45
1,1.38
3,2.19
4,2.28
0,0.0
1,1.02
4,3.36
4,3.18
0,0.0
6,3.0
1,2.19
3,2.73
2,1.17
3,1.53
1,0.93
3,3.63
4,1.92
0,0.0
1,1.92
4,3.27
2,1.2
1,1.11
1,1.11
2,2.52
1,1.11
4,2.28
3,2.19
1,0.93
2,1.47
0,0.0
1,1.29
4,3.9
4,2.46
0,0.0
3,1.56
4,2.52
0,0.0
4,1.83
3,2.19
1,0.93
3,2.1
3,2.73
1,1.2
4,3.45
3,1.83
0,0.0
1,1.65
3,1.74
1,0.93
3,1.92
2,1.2
1,1.02
2,1.11
3,1.83
0,0.0
2,1.2
1,0.84
2,1.65
0,0.0
2,1.47
2,2.28
2,1.83
2,1.74
4,1.53
4,2.28
1,1.29
5,2.73
2,1.38
3,1.71
4,1.8
2,1.74
3,1.92
3,2.01
2,1.83
3,2.88
3,2.19
2,1.74
0,0.0
2,1.74
0,0.0
1,1.11
0,0.0
2,1.65
3,1.2
2,2.73
1,1.38
4,3.27
9,5.16
4,2.43
1,1.11
2,1.11
7,3.87
0,0.0
2,1.2
0,0.0
6,2.55
4,2.91
4,2.1
0,0.0
2,1.83
1,1.11
2,2.01
2,1.65
5,2.37
2,1.65
2,1.74
3,1.65
3,3.45
7,4.08
2,1.56
3,1.29
4,1.65
2,1.29
2,1.83
4,2.19
7,2.7
4,2.28
4,3.0
6,3.36
4,2.61
0,0.0
0,0.0
1,1.2
2,1.56
1,1.29
1,1.2
2,0.9
4,2.1
3,2.19
5,2.64
1,1.11
5,3.27
5,1.71
0,0.0
3,1.62
9,4.23
4,2.82
4,2.28
2,2.01
5,2.28
5,2.61
1,1.11
1,1.29
6,2.55
4,1.92
2,1.2
1,1.29
5,2.82
0,0.0
3,1.92
0,0.0
4,3.18
3,3.9
2,1.08
7,4.08
3,1.56
4,2.91
3,2.91
1,1.47
2,1.2
6,2.7
0,0.0
5,2.46
0,0.0
3,2.37
0,0.0
5,4.26
0,0.0
6,2.7
2,1.83
5,2.55
4,2.37
3,2.37
9,4.95
5,3.0
3,1.92
2,1.29
1,1.2
0,0.0
2,2.55
0,0.0
1,1.2
0,0.0
3,1.65
2,2.55
4,2.19
1,2.46
4,2.28
0,0.0
1,1.2
2,2.46
0,0.0
3,3.18
0,0.0
5,3.0
5,2.34
2,1.38
3,4.62
4,2.28
1,1.02
0,0.0
7,3.45
5,2.37
3,1.92
4,3.09
0,0.0
3,3.0
7,3.51
2,1.65
0,0.0
1,1.47
10,4.53
2,1.92
1,1.38
5,4.14
1,1.74
6,2.82
7,3.0
6,3.45
4,2.19
2,1.83
3,1.83
4,2.82
1,1.2
5,2.16
2,1.11
2,1.29
0,0.0
3,2.82
1,1.38
1,0.84
5,1.8
3,1.89
2,1.11
3,2.28
0,0.0
6,3.18
1,1.56
2,3.0
4,2.46
1,1.2
1,1.2
0,0.0
9,5.16
1,1.2
5,3.54
2,2.73
3,1.56
0,0.0
0,0.0
6,2.73
4,2.73
2,2.19
2,1.2
3,1.29
3,1.47
2,2.46
8,3.15
5,3.27
6,3.6
3,2.46
1,2.01
7,3.09
7,3.18
1,0.93
6,4.8
2,2.19
0,0.0
0,0.0
3,2.01
4,2.46
3,2.01
2,2.46
7,5.52
2,1.47
6,3.09
10,5.31
5,2.91
2,1.92
4,3.18
4,3.0
1,1.11
1,1.29
6,3.9
1,1.11
4,2.19
5,2.1
9,3.72
3,1.83
3,2.28
6,2.82
2,1.56
4,2.28
4,2.64
5,3.09
3,1.74
3,2.28
6,3.33
3,1.8
6,2.61
3,2.91
4,2.37
6,3.36
11,6.75
0,0.0
5,3.81
2,1.74
6,4.17
6,3.18
6,3.09
6,3.63
2,1.11
4,2.37
1,1.56
6,2.64
3,2.46
4,2.82
2,2.91
4,2.1
4,4.17
2,2.01
2,1.65
3,1.65
5,3.36
6,2.55
5,3.09
5,3.51
1,1.65
9,4.71
1,1.11
1,1.11
8,3.63
4,2.19
4,1.92
1,0.84
5,3.18
2,2.91
6,3.09
1,0.93
7,3.54
7,3.33
2,2.01
5,3.33
4,1.62
5,2.73
3,2.43
1,1.38
1,1.38
6,3.36
2,1.02
4,2.37
3,2.55
4,2.19
3,1.74
13,5.88
7,3.09
7,2.55
4,2.91
5,3.36
10,4.35
8,3.6
1,1.38
6,4.8
2,2.19
4,2.19
3,2.82
3,2.46
5,3.72
7,4.53
1,1.38
2,1.56
4,3.0
3,3.09
2,1.56
6,4.08
0,0.0
4,2.46
5,3.27
5,3.0
4,3.45
3,2.19
2,2.55
7,3.45
7,3.09
4,2.7
4,2.46
8,4.8
6,3.99
8,4.77
5,3.63
2,2.64
6,2.55
7,3.99
3,1.47
3,1.92
10,4.89
3,1.83
3,2.73
5,2.73
5,4.35
1,0.84
5,3.54
4,3.36
5,3.27
4,3.36
2,1.65
2,2.19
1,1.65
7,4.71
4,3.27
7,4.71
8,6.87
4,4.08
4,2.73
7,3.18
3,2.19
4,2.37
9,5.16
5,2.91
6,3.09
8,4.98
2,1.47
3,1.83
3,2.55
4,2.01
12,5.58
4,2.1
5,2.46
5,2.37
2,2.01
5,2.91
12,4.86
6,3.0
4,2.1
3,2.64
7,3.51
9,4.59
3,2.37
5,3.36
1,1.2
4,2.91
1,1.2
1,2.19
3,1.38
5,3.81
5,2.46
1,1.2
7,3.72
10,5.07
0,0.0
2,1.83
1,0.57
6,4.62
1,1.38
8,4.17
6,3.6
6,3.45
7,3.36
5,3.27
5,3.27
2,2.19
1,1.11
5,3.45
2,1.71
3,1.83
5,4.35
2,2.64
3,2.19
8,4.62
3,2.1
3,2.1
9,4.77
10,5.07
3,1.2
2,2.1
1,2.01
3,2.01
8,4.89
1,1.2
5,2.46
6,2.1
1,1.38
4,2.91
4,2.64
6,3.0
8,5.43
2,1.29
10,4.71
3,2.46
7,4.8
3,1.89
5,2.19
12,6.24
3,2.37
3,3.18
2,1.38
2,1.56
5,3.09
5,3.45
2,1.38
2,1.92
2,1.29
3,1.29
7,5.07
2,1.74
5,4.17
0,0.0
2,2.73
1,1.38
3,2.01
7,5.25
8,4.89
6,5.79
2,1.56
3,2.91
2,1.11
6,3.81
1,1.38
2,1.56
6,3.63
2,1.29
12,6.06
0,0.0
1,0.84
3,2.19
1,1.38
5,4.44
1,1.92
4,2.28
2,2.37
1,1.65
1,1.38
6,4.35
2,1.2
3,2.19
4,2.1
2,1.65
