animals,height
3,2.46
3,1.65
4,2.28
3,1.98
6,3.45
0,0.0
9,4.62
0,0.0
0,0.0
1,1.92
1,1.65
3,1.56
3,2.1
3,2.01
2,2.19
4,3.09
1,1.2
0,0.0
3,3.27
3,2.01
3,1.92
1,1.65
2,1.83
3,1.92
2,1.47
2,1.74
3,2.46
2,2.37
1,1.2
3,1.8
1,0.84
0,0.0
1,1.29
0,0.0
0,0.0
0,0.0
2,1.65
0,0.0
2,1.53
3,3.0
3,1.38
3,1.29
2,1.29
3,2.1
0,0.0
4,1.83
7,3.09
1,1.56
5,5.16
1,0.84
6,2.82
1,1.11
3,1.56
2,2.19
3,2.1
6,2.55
0,0.0
1,1.56
3,1.29
0,0.0
4,2.82
6,3.33
1,1.11
0,0.0
4,2.64
5,3.27
2,1.62
3,1.83
2,1.38
0,0.0
3,1.74
2,1.29
4,2.91
1,1.11
5,2.19
4,3.0
3,2.37
1,1.2
1,1.56
2,1.2
2,1.92
7,3.36
5,2.46
2,1.2
2,1.74
5,1.92
5,2.97
1,1.17
2,1.65
1,1.11
2,1.2
3,3.27
1,1.11
5,3.09
2,2.46
0,0.0
3,2.01
4,2.91
7,2.97
0,0.0
4,2.19
2,1.02
7,3.72
0,0.0
2,1.38
1,0.93
0,0.0
3,1.44
2,1.65
1,1.11
1,1.11
4,2.88
2,1.11
3,2.28
0,0.0
7,3.06
7,2.25
1,1.2
0,0.0
1,1.11
1,0.84
6,3.24
1,1.11
0,0.0
2,1.29
5,3.0
1,1.74
3,2.55
4,2.91
4,3.72
3,1.83
3,1.92
2,1.29
3,3.0
6,2.64
13,5.67
3,2.01
5,3.78
4,3.36
5,2.91
1,0.57
0,0.0
1,1.47
3,1.83
4,1.98
6,2.64
7,3.81
2,1.2
3,2.01
2,0.93
3,1.74
4,2.01
2,1.65
6,2.88
6,3.9
2,2.19
5,2.82
1,0.66
6,3.78
1,1.92
2,2.37
3,3.33
5,2.52
1,0.93
1,1.11
5,2.82
2,1.2
3,1.44
3,3.09
2,1.29
0,0.0
1,1.56
1,2.19
1,1.2
1,1.11
1,1.74
3,2.64
4,2.46
5,3.36
1,0.93
6,1.92
9,3.87
2,3.09
1,0.66
1,1.11
0,0.0
1,1.11
5,3.45
5,3.09
1,1.11
4,2.28
0,0.0
1,0.48
1,1.38
0,0.0
8,3.33
0,0.0
0,0.0
4,1.62
4,2.82
4,2.28
1,1.38
3,2.1
4,3.0
2,1.74
2,1.92
5,2.25
0,0.0
2,1.2
4,2.07
0,0.0
3,2.1
0,0.0
