animals,height
3,1.38
6,2.01
6,3.6
9,5.79
5,2.73
7,3.0
1,1.2
3,3.09
4,3.54
5,3.45
9,5.34
5,3.0
9,3.63
7,3.54
4,3.27
8,3.63
12,4.68
4,3.09
6,3.9
11,6.69
10,4.89
8,4.26
5,3.96
5,2.91
9,4.71
10,6.15
7,4.53
3,1.2
11,5.61
3,1.56
5,5.07
11,5.97
5,3.54
7,4.68
7,3.45
10,4.98
4,3.36
5,3.09
10,4.8
8,3.87
7,3.63
11,5.79
7,5.25
8,4.89
1,1.38
9,3.99
10,7.56
2,1.92
9,4.89
4,2.82
3,1.56
3,1.38
10,4.68
3,3.27
7,3.72
14,6.12
8,3.45
2,1.2
3,2.28
8,3.96
7,3.81
5,4.62
2,1.17
6,3.27
6,2.46
6,3.09
7,3.51
12,6.6
4,2.37
5,3.36
4,2.46
9,5.7
6,4.44
5,2.28
6,5.61
9,4.8
1,0.84
11,5.79
2,1.29
10,3.69
3,1.74
6,3.54
6,4.71
12,5.7
2,2.01
9,5.7
13,7.41
5,3.36
8,3.99
8,4.41
18,8.19
9,7.23
4,2.43
7,5.43
1,1.11
2,1.38
8,3.69
5,2.91
3,2.46
7,4.53
10,4.14
5,4.95
3,1.38
7,3.24
5,2.82
5,2.19
8,3.87
2,1.44
3,2.73
8,3.99
6,4.89
3,1.38
9,5.34
10,7.86
6,3.72
8,4.26
6,3.24
6,4.23
9,6.33
4,3.18
4,3.63
7,3.15
11,8.94
5,3.06
10,5.31
5,3.45
5,4.71
2,1.26
6,4.41
10,5.04
7,4.08
4,2.07
7,3.18
6,4.89
6,3.18
8,6.24
6,4.35
7,3.33
8,3.9
12,5.76
8,5.79
9,5.97
8,3.81
8,5.43
5,3.18
2,1.92
9,5.16
7,4.17
4,2.37
3,3.27
7,5.07
4,2.82
1,1.38
8,5.07
8,4.8
11,4.89
9,4.08
7,4.32
2,1.29
7,3.81
13,8.64
10,5.97
3,2.46
2,2.01
2,1.83
2,1.2
6,4.35
4,3.54
9,4.44
7,4.71
8,4.71
7,5.7
14,5.79
7,4.44
3,1.98
6,4.53
9,5.43
7,4.14
6,2.55
5,2.46
4,1.44
5,3.09
9,3.81
7,5.43
9,4.98
11,4.35
16,6.6
8,4.95
13,5.04
7,4.71
10,5.25
7,4.26
6,3.72
8,5.34
9,4.89
9,4.08
8,4.53
2,1.38
8,4.17
6,3.96
6,3.0
7,3.9
11,4.77
5,3.51
11,4.14
3,1.74
9,6.12
8,5.07
7,5.07
8,3.99
7,6.24
7,4.23
6,3.24
2,1.92
5,2.46
6,5.61
8,4.53
4,2.82
8,6.6
11,4.59
9,5.58
6,3.99
6,3.72
12,5.52
9,7.59
7,4.53
9,4.41
3,2.1
5,3.42
7,3.42
1,1.2
6,4.35
7,4.62
8,3.87
2,1.65
4,3.9
12,5.31
10,3.9
3,3.0
7,4.08
3,2.19
16,6.15
2,1.92
10,4.08
10,6.06
6,2.91
2,1.38
10,5.25
3,2.07
12,5.97
9,6.51
10,4.77
6,4.08
3,2.1
7,4.41
9,5.07
5,4.89
11,7.5
5,3.0
6,2.46
2,1.38
9,4.44
8,4.08
3,2.19
3,2.1
7,3.72
7,4.62
2,1.11
16,6.33
4,2.01
5,3.81
4,1.74
7,2.82
6,3.54
6,3.81
11,7.92
11,5.43
6,3.81
3,1.92
11,7.74
5,2.19
6,3.18
2,1.29
6,4.44
3,2.28
3,1.47
6,3.36
6,3.72
3,2.01
3,3.0
7,3.36
1,1.29
7,4.44
13,4.8
6,4.17
3,1.56
14,8.01
6,4.26
8,4.71
6,5.61
11,7.14
7,4.8
16,7.47
3,2.37
12,6.78
4,2.91
7,4.62
7,4.71
7,5.52
7,3.9
4,1.83
10,5.07
5,2.82
3,2.34
6,3.15
7,4.17
12,6.84
10,8.58
2,1.65
11,4.68
22,7.77
5,3.72
2,1.29
6,3.36
1,1.2
9,5.7
11,5.22
6,5.61
0,0.0
8,4.08
4,3.99
5,3.63
4,2.91
4,2.19
8,4.71
4,2.82
4,2.73
1,1.38
5,2.46
14,8.58
7,3.18
12,5.13
12,5.88
9,4.35
5,3.63
4,2.73
5,3.09
5,3.72
6,3.27
2,1.62
7,5.52
8,6.51
11,6.06
2,1.92
8,3.6
4,2.64
8,6.33
3,2.55
9,4.17
3,3.09
4,3.18
8,3.36
4,3.18
4,1.83
4,4.71
6,3.0
9,6.06
3,2.37
6,3.09
6,2.52
6,3.51
10,5.16
9,5.7
7,3.78
4,1.65
6,4.71
2,1.71
6,3.9
4,3.27
3,1.74
4,2.1
8,3.9
10,5.13
5,2.64
10,4.8
7,5.07
4,2.46
11,4.98
9,4.98
11,4.5
8,4.08
5,3.27
2,1.74
8,4.35
9,4.53
9,4.98
2,1.2
4,3.09
6,4.35
6,5.34
10,4.68
5,3.9
8,4.05
5,2.37
10,5.31
4,3.63
8,5.7
3,2.97
7,3.54
2,1.44
9,5.34
8,4.98
8,5.79
10,5.07
15,5.07
6,4.95
1,1.2
