step,action
0,37
1,39
2,39
3,37
0,23
1,9
2,39
3,39
4,39
5,39
6,39
7,37
8,37
0,1
1,9
2,37
3,14
4,37
0,9
1,37
2,37
3,37
4,39
5,37
6,37
7,39
0,1
1,26
2,9
3,39
4,39
5,37
6,37
7,14
0,9
1,1
2,39
3,39
4,37
5,37
6,39
7,37
0,1
1,9
2,37
3,37
4,39
5,37
6,39
7,28
8,39
0,9
1,37
2,37
3,37
4,39
5,37
6,37
0,1
1,9
2,37
3,14
4,39
5,37
0,1
1,37
2,9
3,39
4,39
5,39
6,37
7,39
8,37
0,1
1,14
2,39
3,9
4,39
5,39
6,37
7,37
8,37
9,37
0,1
1,9
2,1
3,37
4,37
5,37
6,39
7,37
8,37
9,37
0,1
1,27
2,14
3,9
4,14
0,23
1,9
2,37
3,14
4,39
5,39
6,37
0,1
1,14
2,9
3,37
4,37
5,37
0,1
1,37
2,9
3,14
4,39
5,37
6,37
0,23
1,9
2,9
3,39
4,37
5,39
6,37
7,39
8,37
9,37
10,39
0,1
1,9
2,37
3,39
4,37
5,39
6,37
7,37
8,39
9,37
0,1
1,14
2,9
3,14
4,37
5,39
6,37
7,37
8,39
0,23
1,9
2,37
3,14
4,39
5,39
0,23
1,9
2,14
3,14
4,39
0,23
1,37
2,14
3,37
4,37
5,37
0,23
1,9
2,37
3,39
0,1
1,14
2,9
3,39
4,37
0,9
1,37
2,37
0,1
1,39
2,37
3,37
4,39
5,39
6,39
7,39
8,39
0,1
1,9
2,37
3,37
4,39
5,37
0,23
1,9
2,39
3,39
4,39
5,39
6,37
7,37
8,37
9,39
10,39
0,37
1,1
2,9
3,37
4,37
5,39
6,37
0,9
1,1
2,14
3,37
4,37
5,37
6,39
0,1
1,9
2,39
3,37
4,39
5,37
0,23
1,9
2,39
3,9
4,37
5,37
6,39
7,37
8,37
9,37
10,37
11,37
12,37
0,1
1,9
2,37
3,37
0,23
1,9
2,39
3,39
4,37
5,37
6,39
7,39
8,39
9,37
10,39
11,39
0,1
1,9
2,37
3,39
4,37
5,39
6,37
0,1
1,9
2,39
3,39
4,39
5,37
0,23
1,39
2,39
3,39
0,1
1,9
2,39
3,39
4,14
5,37
6,39
7,37
0,23
1,39
2,9
3,39
4,37
5,39
6,39
7,37
0,1
1,9
2,37
3,14
4,37
5,37
6,39
7,37
8,37
0,1
1,9
2,39
3,14
4,37
5,39
6,37
0,1
1,9
2,37
3,14
4,37
5,37
6,37
7,37
0,1
1,9
2,37
3,37
4,39
5,39
6,37
7,37
0,9
1,39
2,39
3,37
4,39
5,39
6,39
7,37
0,23
1,37
2,9
3,37
4,39
5,39
6,37
0,1
1,14
2,37
3,14
4,37
5,39
0,37
1,9
2,1
3,14
4,39
5,39
0,23
1,9
2,37
3,37
4,14
5,39
6,39
7,37
0,1
1,14
2,9
3,39
4,37
5,37
6,37
7,39
0,1
1,14
2,37
3,37
4,37
0,23
1,37
2,37
3,37
4,37
5,39
0,1
1,39
2,37
3,37
4,39
0,1
1,14
2,39
3,37
4,14
5,37
6,37
7,39
0,1
1,9
2,37
3,9
4,37
5,37
6,37
7,39
0,23
1,37
2,39
3,39
4,37
5,37
6,39
7,39
8,37
9,39
10,37
0,23
1,14
2,9
3,39
4,37
5,39
6,39
7,37
0,1
1,14
2,9
3,37
4,37
5,37
6,37
7,37
8,37
9,37
10,37
11,39
12,39
0,23
1,37
2,9
3,37
4,37
5,39
6,37
7,37
8,37
9,37
10,39
11,37
0,1
1,37
2,37
3,9
4,14
5,37
6,39
7,37
8,37
9,37
10,37
11,37
0,23
1,9
2,39
3,37
4,37
5,39
0,1
1,9
2,39
3,39
4,37
5,37
6,37
7,39
0,23
1,9
2,37
3,14
4,37
5,39
6,37
7,37
8,37
9,37
10,37
11,37
0,23
1,14
2,39
3,37
4,37
5,39
6,37
7,37
0,9
1,1
2,37
3,37
0,23
1,37
2,9
3,37
4,37
5,37
0,1
1,9
2,14
3,39
4,39
5,39
6,39
7,37
0,23
1,39
2,39
3,37
4,39
5,37
6,39
0,1
1,37
2,9
3,37
4,37
5,39
6,39
7,39
8,39
9,39
10,37
11,37
0,9
1,1
2,39
3,37
4,37
5,39
6,37
7,39
8,28
9,39
10,39
11,39
0,9
1,1
2,39
3,39
4,39
5,39
0,1
1,9
2,39
3,39
4,37
5,39
6,39
7,37
0,9
1,37
2,39
3,39
4,39
5,37
0,9
1,37
2,14
3,39
4,37
0,1
1,14
2,37
3,39
4,39
5,39
6,37
0,9
1,37
2,1
3,37
4,37
5,37
6,37
0,1
1,14
2,37
3,37
4,37
5,39
6,14
7,39
8,37
0,1
0,1
1,9
2,14
3,37
4,37
5,37
6,37
7,37
8,39
0,9
1,37
2,37
3,39
4,39
5,37
6,37
7,37
8,37
9,39
10,39
11,39
0,9
1,37
2,37
3,39
4,37
5,39
6,37
0,1
1,37
2,9
3,14
4,37
5,37
6,39
7,14
0,1
1,9
2,37
3,39
4,37
5,37
6,37
7,37
8,39
9,39
10,37
11,39
0,1
1,37
2,14
3,37
4,39
5,37
6,39
7,37
0,1
1,9
2,37
3,39
4,37
5,37
6,39
7,39
8,39
0,1
1,14
2,9
3,37
4,37
5,37
6,37
0,1
1,39
2,14
3,14
4,37
5,39
6,37
0,1
1,14
2,39
0,1
1,39
2,37
3,37
4,37
5,39
0,1
1,9
2,39
3,39
4,37
0,1
1,37
2,9
3,37
4,37
5,37
6,37
0,23
1,14
2,9
3,37
4,37
5,37
6,37
7,37
8,37
9,28
0,1
1,37
2,14
3,37
4,39
0,1
1,37
2,39
3,39
4,39
5,39
0,39
1,39
2,37
3,39
4,39
5,39
6,39
7,39
8,39
0,1
1,14
2,9
3,37
4,14
5,39
0,1
1,37
2,37
3,14
4,39
0,1
1,14
2,9
3,14
4,37
5,39
6,37
7,39
8,37
9,37
0,23
1,9
2,14
3,39
4,37
5,37
6,37
7,37
0,1
1,39
2,14
3,39
0,23
1,14
2,39
3,37
4,14
5,39
6,39
7,39
8,14
9,39
10,37
0,23
1,14
2,9
3,37
4,39
5,37
6,37
7,37
0,37
1,9
2,14
3,37
4,39
0,1
1,14
2,9
3,37
4,37
5,37
6,39
0,1
1,14
2,37
3,39
4,37
0,1
1,9
2,37
3,14
4,39
5,37
0,9
1,37
2,37
3,37
4,37
5,37
6,39
7,37
8,37
0,23
1,37
2,9
3,39
4,37
5,37
6,37
0,1
1,14
2,37
3,39
4,39
0,1
1,14
2,14
3,39
4,39
5,14
6,37
7,14
8,39
9,37
10,14
11,37
12,39
0,1
1,26
2,14
3,28
4,37
5,39
6,37
7,37
8,39
9,37
0,1
1,37
2,37
3,14
4,37
5,14
0,1
1,14
2,39
3,39
0,1
1,14
2,37
3,37
4,37
5,39
6,14
0,1
1,14
2,14
3,39
4,39
5,37
0,23
1,37
2,37
3,39
0,1
1,14
2,37
3,39
4,14
5,39
6,39
7,39
0,1
1,14
2,37
3,37
4,37
5,37
6,37
0,1
1,14
2,39
3,37
4,37
5,37
6,39
0,14
1,1
2,14
3,39
4,39
5,37
0,1
1,14
2,37
3,37
4,37
5,37
6,39
0,1
1,37
2,14
3,37
0,1
1,14
2,9
3,14
4,37
5,37
6,37
7,39
8,39
9,14
0,1
1,14
2,1
3,26
4,39
0,1
1,14
2,39
3,37
4,14
5,37
0,1
1,14
2,37
3,39
4,37
0,37
1,37
2,39
0,14
1,37
2,37
3,14
4,28
5,37
6,37
0,14
1,1
2,9
3,14
4,37
5,37
0,1
1,37
2,39
3,37
4,14
5,39
6,37
0,1
1,37
2,37
3,39
0,1
1,14
2,37
3,39
4,37
5,37
0,1
1,37
2,9
3,14
0,1
1,14
2,39
3,14
4,39
0,1
1,14
2,14
3,39
4,39
0,23
1,9
2,37
3,37
4,37
5,39
6,37
7,37
8,37
9,37
10,37
11,37
12,37
13,37
14,37
15,39
16,14
0,1
1,9
2,37
3,39
4,37
5,37
6,37
0,1
1,14
2,39
3,37
0,14
1,9
2,37
3,39
4,37
5,37
0,23
1,37
2,37
3,39
4,39
0,1
1,37
2,37
3,39
4,39
5,39
0,1
1,9
2,14
3,37
4,37
5,37
6,37
7,37
8,39
0,1
1,14
2,37
3,39
4,37
5,37
6,39
7,37
0,14
1,14
2,37
0,14
1,9
2,14
3,14
4,37
5,37
6,37
7,37
8,39
0,37
1,9
2,39
3,37
4,37
5,39
6,39
0,9
1,1
2,37
3,14
4,37
5,37
6,37
0,1
1,14
2,37
3,39
4,39
0,1
1,9
2,14
3,37
4,37
5,28
6,39
7,37
0,1
1,14
2,14
3,39
4,39
5,37
6,37
0,1
1,14
2,14
3,37
4,39
5,37
6,37
7,37
0,28
1,37
2,9
3,37
4,37
5,37
6,37
7,37
8,39
9,37
10,37
11,37
12,39
13,37
14,37
0,14
1,14
2,39
3,14
0,37
1,9
2,14
3,37
4,39
5,37
6,39
0,14
1,37
2,28
3,14
0,1
1,14
2,14
3,9
4,37
5,37
6,39
7,37
8,39
0,1
1,37
2,14
3,9
4,14
5,37
6,37
7,37
8,37
9,39
10,37
11,37
0,1
1,14
2,14
3,39
4,39
0,1
1,14
2,14
3,14
4,37
5,37
0,14
1,14
2,37
3,14
4,39
5,37
6,39
0,1
1,26
2,39
3,37
4,37
5,37
0,1
1,37
2,37
3,37
4,37
0,14
1,14
2,9
3,9
4,37
5,39
6,39
7,39
8,14
0,14
1,1
2,14
3,37
4,37
5,37
6,37
7,39
0,23
1,9
2,37
3,37
4,37
5,37
6,37
7,37
0,1
1,9
2,37
3,39
4,37
5,37
6,39
7,39
0,1
1,37
2,14
3,9
4,37
5,37
6,39
7,39
8,39
0,14
1,9
2,37
3,37
4,37
5,37
0,1
1,39
2,14
3,9
4,37
5,37
0,1
1,14
2,14
3,39
0,1
1,38
2,14
3,9
4,39
5,39
6,37
7,37
8,37
9,37
10,37
11,37
12,39
0,14
1,14
2,14
3,14
4,39
5,37
6,37
7,14
8,14
9,39
0,1
1,14
2,14
3,37
4,39
5,37
6,39
0,1
1,14
2,9
3,37
4,37
0,1
1,9
2,37
3,39
4,39
5,37
6,37
7,37
8,39
0,14
1,14
2,39
3,37
4,14
0,23
1,9
2,37
3,37
4,37
5,14
6,37
7,37
8,39
0,14
1,14
2,14
0,1
1,9
2,14
3,37
4,37
5,39
6,39
0,23
1,14
2,14
3,14
4,39
0,1
1,14
2,14
3,14
4,37
5,37
0,14
1,9
2,39
3,37
4,39
5,37
6,39
7,37
8,37
9,39
10,39
11,14
0,14
1,39
2,39
0,1
1,9
2,37
3,14
4,37
5,39
6,37
0,9
1,37
2,37
3,14
4,14
5,37
0,1
1,14
2,37
3,14
0,14
1,14
2,14
3,14
4,14
0,23
1,14
2,14
3,9
4,39
5,39
6,39
7,14
8,37
9,37
0,14
1,14
2,39
3,14
4,14
5,37
6,39
7,37
8,37
9,37
10,14
0,1
1,14
2,39
3,37
4,39
0,14
1,9
2,39
3,14
4,39
5,37
0,1
1,37
2,9
3,14
0,1
1,14
2,37
3,39
4,39
5,14
6,39
0,1
1,1
2,37
3,39
4,37
5,37
0,1
1,9
2,37
3,39
4,39
5,37
6,39
7,39
8,39
9,14
10,39
11,37
12,39
0,14
1,14
2,37
3,37
4,39
0,1
1,9
2,14
3,37
4,39
5,37
6,37
7,39
0,37
1,37
2,14
3,14
4,39
0,28
1,14
2,39
3,39
0,14
1,14
0,23
1,1
2,14
3,14
4,14
5,39
0,1
1,9
2,37
3,14
0,23
1,14
2,37
3,14
4,37
5,39
6,37
7,14
8,14
0,14
1,39
2,37
3,14
4,14
5,39
6,39
7,37
8,14
9,14
10,39
11,14
0,14
1,14
2,9
3,39
4,14
5,39
6,14
7,14
8,14
9,37
0,1
1,9
2,39
3,39
4,37
0,14
1,14
0,37
1,37
2,39
3,39
4,37
0,37
1,39
2,37
3,14
4,14
5,37
0,37
1,39
2,39
3,39
4,14
5,14
0,37
1,23
2,14
3,14
4,39
0,14
1,37
2,39
3,39
4,14
5,39
6,39
7,39
8,14
0,1
1,14
2,9
3,14
4,37
5,39
6,14
7,14
0,1
1,39
2,37
