step,action
0,15
1,28
2,28
3,38
0,28
1,23
2,1
3,16
4,38
5,17
6,38
7,7
8,27
9,42
10,39
0,28
1,23
2,38
3,28
4,38
5,15
6,27
7,17
0,9
1,12
2,26
3,18
4,28
5,27
0,23
1,31
2,17
3,29
4,37
5,38
6,15
0,43
1,37
2,17
3,5
4,5
0,0
1,27
2,17
3,25
4,26
5,42
0,9
1,37
2,6
3,17
4,27
5,26
6,26
0,9
1,23
2,17
3,7
4,38
5,38
6,18
7,38
8,27
9,27
10,16
11,27
12,37
0,23
1,38
2,15
3,17
4,26
5,28
0,23
1,9
2,15
3,36
4,37
5,38
6,28
7,38
8,15
9,16
0,9
1,23
2,38
3,28
4,9
0,10
1,23
2,38
3,15
4,37
5,37
6,38
7,30
0,28
1,0
2,27
3,9
0,15
1,28
2,26
3,38
4,12
5,38
6,16
7,16
8,28
9,37
10,38
11,28
12,37
0,39
1,17
2,38
3,38
4,17
5,6
6,17
7,17
0,18
1,27
2,15
3,39
4,16
5,17
0,23
1,31
0,30
1,29
2,36
3,19
4,28
5,16
6,6
0,23
1,16
2,38
3,5
4,16
5,37
6,38
7,16
8,5
9,17
0,19
1,28
2,39
3,14
4,38
0,23
1,23
2,31
3,38
4,26
5,38
6,38
7,5
8,26
0,18
1,36
2,27
3,17
0,23
1,31
2,40
3,37
4,17
5,17
6,4
7,8
0,1
1,39
2,17
3,4
4,16
0,31
1,5
2,31
3,18
4,17
5,17
6,39
0,28
1,36
2,28
3,37
4,4
0,18
1,36
2,38
3,42
4,38
5,4
0,11
1,15
2,15
3,38
4,37
0,10
1,9
2,23
3,27
4,36
5,27
6,16
7,42
0,10
1,29
2,37
3,38
4,41
5,17
6,17
7,41
8,25
9,27
10,5
11,15
0,9
1,23
2,18
3,28
4,26
5,42
6,17
7,24
8,37
9,41
0,19
1,39
2,28
3,28
4,28
5,15
0,28
1,37
2,31
3,16
4,27
5,15
6,38
0,28
1,1
2,9
3,16
4,18
5,38
6,18
7,16
8,40
0,9
1,15
2,38
3,38
0,15
1,38
2,36
3,38
0,1
1,8
2,37
3,40
4,6
0,9
1,23
2,27
3,37
4,38
5,37
6,42
0,13
1,18
2,38
3,42
4,6
5,27
0,23
1,1
2,15
3,37
4,37
5,27
6,18
7,15
0,40
1,18
2,0
0,23
1,15
2,42
3,4
4,37
5,26
6,38
7,42
0,9
1,28
2,23
3,28
4,15
5,38
6,39
7,27
0,36
1,11
0,9
1,23
2,37
3,28
4,18
5,37
6,18
7,14
0,2
1,8
2,17
3,17
4,16
5,38
6,16
0,23
1,18
2,38
3,39
4,37
5,37
6,38
7,5
0,28
1,39
2,38
3,28
0,23
1,17
2,17
3,39
4,37
5,5
0,9
1,27
2,11
0,23
1,16
2,38
3,27
4,28
0,1
1,28
2,5
3,37
4,17
5,16
6,17
7,26
8,23
0,11
1,17
2,17
0,23
1,41
2,30
3,17
4,38
5,38
0,31
1,7
2,17
3,38
4,17
5,27
6,8
7,17
8,17
9,39
0,38
1,18
2,36
3,27
4,27
0,23
1,3
2,26
3,37
0,17
1,1
2,15
3,26
4,17
5,17
6,42
7,17
8,17
9,27
10,27
11,28
12,27
13,38
14,16
15,27
16,39
17,43
0,1
1,26
2,26
3,38
4,7
5,37
6,37
7,38
8,38
0,9
1,23
2,40
3,40
4,15
5,4
6,36
7,43
8,27
9,4
10,18
11,17
12,39
13,38
14,5
15,28
0,28
1,23
2,15
3,9
4,28
5,5
6,27
7,38
0,23
1,15
2,18
3,17
4,15
5,37
6,37
7,8
0,23
1,9
2,2
3,39
4,37
5,37
0,9
1,28
2,38
3,37
0,28
1,38
2,29
3,5
0,19
1,29
2,24
3,37
4,37
5,38
0,26
1,42
2,37
3,39
4,16
5,38
6,37
7,38
0,23
1,19
2,28
3,37
4,37
0,10
1,5
2,15
3,15
0,23
1,8
2,17
3,38
4,38
5,26
0,23
0,19
1,18
2,37
3,27
4,28
0,2
1,40
2,28
3,38
4,37
5,29
0,23
1,39
2,30
3,17
4,38
5,17
6,39
7,39
8,37
0,23
1,18
2,17
3,41
4,38
5,38
6,14
7,17
8,27
9,27
10,16
11,27
0,9
1,23
2,40
3,16
4,4
0,23
1,19
2,28
3,38
4,39
5,26
6,38
0,10
1,38
2,14
3,17
4,42
5,40
6,14
7,4
8,15
0,43
1,24
2,40
3,37
0,41
1,36
2,39
3,4
4,38
5,14
6,17
7,27
8,16
0,9
1,23
2,17
3,15
4,30
5,24
6,27
7,27
8,5
9,42
0,19
1,28
2,28
0,30
1,37
2,36
3,37
4,41
5,39
6,16
7,16
0,1
1,5
2,3
3,5
4,7
5,27
6,28
7,17
8,26
9,38
10,4
11,15
12,17
0,23
1,25
2,17
3,42
0,23
1,9
2,18
3,26
4,30
5,15
6,6
7,16
8,16
0,31
1,39
2,19
3,26
4,7
5,27
0,10
1,15
2,15
3,28
4,4
5,37
0,10
1,43
2,36
3,19
0,23
1,9
2,29
3,7
4,37
5,39
6,15
0,23
1,1
2,17
3,14
4,5
5,37
6,5
7,5
8,26
9,31
0,1
1,26
2,9
3,39
4,5
5,41
6,27
7,27
8,42
9,16
10,27
11,28
12,42
13,27
14,16
0,9
1,6
2,18
3,38
4,38
5,28
6,28
0,1
1,43
2,27
3,37
4,37
5,27
6,37
7,27
8,42
9,26
10,4
11,15
12,16
0,23
1,37
2,15
3,29
4,36
5,26
6,38
7,15
8,38
0,1
1,37
2,28
3,39
4,15
5,31
6,38
0,9
1,18
2,23
3,37
4,30
0,24
1,9
2,30
3,12
4,16
5,26
6,27
0,38
1,31
2,23
3,38
4,4
5,42
0,23
1,40
2,26
3,15
4,39
5,40
6,29
7,9
8,15
0,43
1,26
2,23
3,16
4,27
5,27
6,26
0,9
1,23
2,9
3,7
0,23
1,35
0,28
1,27
2,28
3,23
4,36
0,23
1,3
2,8
3,38
4,26
5,27
0,28
1,18
2,18
3,5
4,6
5,37
0,10
1,23
2,38
3,27
4,17
0,27
1,37
0,23
1,31
0,38
1,0
2,39
3,29
4,38
5,38
6,26
7,38
0,31
1,41
2,38
3,28
4,27
0,9
1,23
2,15
3,37
0,19
1,23
2,17
3,23
4,18
5,26
6,6
7,41
0,19
1,23
2,19
3,38
4,17
5,18
0,23
1,36
2,28
3,23
0,23
1,39
2,40
3,7
4,31
5,42
6,16
0,23
1,19
2,18
3,23
4,18
5,18
6,37
7,37
8,17
9,37
10,27
11,37
0,43
1,27
2,27
3,15
4,37
5,26
6,16
7,7
0,23
1,7
2,28
3,18
0,23
1,3
2,9
