animals,height
1,1.29
3,2.28
4,3.27
11,5.34
4,2.46
5,3.81
7,3.24
7,3.27
3,2.46
6,3.9
7,5.16
3,2.28
7,3.54
6,4.5
5,2.28
9,3.54
10,4.5
5,2.82
6,2.55
6,3.72
8,3.36
4,1.92
4,2.28
11,4.32
5,3.0
5,3.09
3,2.55
2,1.2
4,2.64
6,3.27
8,3.9
4,2.73
5,3.0
4,2.37
5,2.1
2,1.38
3,1.65
4,3.99
6,4.08
4,1.2
3,2.1
3,1.83
5,3.54
4,2.82
4,3.45
4,1.65
1,0.93
5,1.89
1,1.02
2,2.19
7,3.81
6,4.23
9,5.49
12,5.25
4,2.34
9,5.43
0,0.0
4,3.36
7,3.18
4,2.82
3,2.28
5,3.45
9,4.41
8,2.88
5,3.0
13,4.05
8,4.59
5,2.91
13,6.93
9,3.63
7,3.78
7,2.91
4,3.27
5,3.99
4,1.74
5,2.37
4,4.08
2,1.26
7,3.27
2,1.65
5,2.01
2,2.1
7,4.35
0,0.0
0,0.0
6,3.99
3,2.73
6,4.44
1,1.74
2,2.91
6,2.97
5,2.64
9,3.72
2,1.65
4,3.09
2,1.92
9,5.97
7,3.27
3,1.65
4,1.98
4,2.82
3,2.1
2,1.2
1,1.83
5,2.73
7,4.08
1,1.29
4,2.1
0,0.0
1,1.11
4,2.82
7,3.81
3,1.2
2,1.74
7,3.06
4,2.46
2,1.2
5,2.64
3,1.65
12,5.31
3,2.46
4,2.46
2,2.01
10,5.43
9,4.14
7,3.99
3,2.64
6,3.36
5,2.55
7,3.99
14,6.42
5,2.64
5,2.55
0,0.0
4,3.0
5,2.79
8,4.17
2,1.47
6,3.72
5,2.82
2,1.65
6,3.15
11,4.44
5,2.64
6,2.43
2,1.71
6,3.15
2,1.11
0,0.0
1,1.29
12,5.49
0,0.0
3,1.92
4,2.01
5,2.82
6,3.0
2,1.92
3,1.65
5,3.45
4,2.64
6,3.36
5,3.36
5,2.73
3,2.64
3,1.2
7,4.14
15,4.86
5,3.9
2,1.38
1,2.01
6,3.0
7,4.14
4,3.18
4,2.37
6,3.63
6,2.52
6,2.73
6,3.69
7,3.72
4,2.19
7,2.55
6,3.33
3,2.37
1,1.11
5,2.28
13,5.49
4,1.74
14,5.79
8,4.35
5,3.27
3,2.46
1,0.84
11,6.06
3,2.37
4,2.55
4,2.28
8,3.81
2,1.29
4,2.73
4,1.29
3,2.01
9,4.35
5,2.64
6,3.6
5,3.72
5,2.1
5,2.64
5,2.37
7,3.18
