step,action
0,10
1,1
2,38
3,28
4,6
5,36
6,28
7,6
8,28
9,28
10,28
11,6
12,9
0,10
1,10
2,15
3,28
4,6
5,31
6,28
7,28
8,28
9,28
10,6
0,31
1,28
2,17
3,6
4,31
5,28
6,16
7,38
8,6
9,36
0,31
1,15
2,31
3,28
4,6
5,28
6,7
7,14
0,10
1,1
2,9
3,28
4,1
5,16
6,37
7,28
8,38
9,38
10,28
11,28
0,10
1,1
2,36
3,15
4,31
5,28
6,30
7,28
8,28
9,28
10,28
11,28
12,6
13,6
14,6
15,28
0,10
0,31
1,6
2,26
3,26
4,28
5,28
6,28
0,10
1,1
2,26
3,38
4,15
5,38
0,10
1,28
2,1
3,3
4,34
0,1
1,10
2,16
3,30
4,38
5,26
6,29
7,41
0,9
1,31
2,28
3,28
4,1
5,15
6,14
0,31
1,29
2,23
3,7
4,16
5,28
6,15
7,6
8,15
0,28
1,31
2,28
3,1
4,28
5,16
6,7
7,7
8,28
0,10
1,31
2,38
3,15
4,6
5,6
6,6
7,28
8,28
9,28
0,9
1,30
2,7
3,6
4,28
5,28
6,25
7,28
8,28
9,6
0,10
1,38
2,28
3,27
4,28
5,28
6,28
7,28
8,6
0,30
1,6
2,34
0,31
1,30
2,28
3,28
4,31
0,15
1,37
2,37
3,14
4,17
0,10
1,1
2,28
3,28
4,28
5,7
6,36
7,28
8,6
9,28
10,28
0,1
1,9
2,15
3,13
4,28
5,36
0,10
1,13
2,31
3,1
4,37
0,1
1,10
2,15
3,15
4,26
5,7
6,38
7,15
8,28
9,36
0,1
0,15
1,26
2,15
3,26
4,38
5,15
6,28
7,37
8,28
9,31
0,10
1,1
2,28
3,28
4,28
5,28
6,37
7,28
0,9
1,15
2,36
3,26
0,15
1,38
2,7
0,1
1,19
2,28
3,15
4,28
0,1
1,9
2,37
3,28
4,25
5,16
6,3
7,6
0,9
1,1
2,7
3,6
4,7
5,14
6,28
7,28
0,10
1,1
2,15
3,9
4,15
5,13
6,28
7,28
8,16
9,28
0,10
1,26
2,31
3,37
4,37
5,28
6,28
7,38
0,10
1,26
2,14
3,28
4,28
5,28
6,28
7,1
0,31
1,1
2,37
3,37
4,26
5,15
6,3
7,36
8,6
9,28
0,10
1,28
2,28
3,28
4,6
5,28
6,28
7,28
0,10
1,1
2,9
3,36
4,29
5,31
6,7
7,14
8,28
0,1
1,31
2,41
3,7
4,7
5,38
6,11
7,26
8,26
9,6
0,9
1,26
2,15
3,7
4,29
5,37
6,37
7,7
0,1
1,36
2,2
3,31
4,37
5,37
6,28
0,10
1,1
2,15
3,1
4,1
5,1
6,26
7,26
8,15
9,6
10,28
11,6
12,28
0,15
1,37
0,1
1,15
2,31
3,15
4,28
5,28
6,6
7,28
8,28
0,31
1,1
2,26
3,37
4,27
5,31
6,28
7,26
8,7
0,10
1,28
2,31
3,15
4,1
0,10
1,1
2,9
3,26
4,38
5,25
6,28
7,31
8,28
9,28
10,2
0,10
1,1
2,9
3,28
4,37
5,16
0,1
1,23
2,17
3,28
4,31
5,28
6,15
7,25
8,28
9,26
10,28
11,28
0,31
1,16
2,15
3,1
0,10
1,25
2,38
3,26
4,9
5,28
6,36
0,10
1,18
2,28
3,10
0,10
1,9
2,15
3,29
4,26
0,1
1,15
2,9
3,26
4,31
5,14
6,10
0,1
1,14
2,30
3,31
0,1
1,36
2,15
3,31
0,10
1,15
2,9
3,1
4,16
5,31
6,36
7,28
8,38
9,28
10,28
11,6
12,28
13,25
0,36
1,15
2,15
3,8
4,7
5,28
6,6
7,28
0,10
1,1
2,28
3,1
0,10
1,26
2,31
3,28
4,28
0,15
1,28
2,37
3,28
4,28
5,28
6,28
7,38
8,28
9,28
10,28
11,28
0,10
1,1
2,15
3,28
4,6
5,37
6,36
7,28
8,15
9,28
0,10
1,15
2,26
3,37
4,38
5,38
6,28
0,31
1,1
2,31
3,15
4,6
5,28
6,25
0,28
1,10
2,13
3,37
4,23
0,10
1,36
2,1
0,31
1,31
2,37
3,38
4,14
5,28
6,28
7,14
8,28
9,28
0,10
1,1
2,9
3,38
4,28
5,7
6,6
0,1
1,28
2,28
3,43
4,37
5,28
6,15
7,6
0,10
1,1
2,15
3,28
4,25
5,28
6,37
7,28
8,28
9,6
10,6
11,6
12,28
0,36
1,28
2,7
0,31
1,29
2,16
3,28
4,26
5,28
6,28
7,26
0,10
1,30
2,28
3,9
4,14
5,9
6,28
7,28
8,28
9,6
0,10
1,37
2,28
3,6
4,28
5,3
0,31
1,1
2,28
3,28
4,7
0,1
1,9
2,28
3,14
4,15
5,28
0,10
1,1
2,13
3,28
4,30
5,15
6,28
7,38
8,28
0,1
1,15
2,31
3,38
4,28
5,6
6,36
7,37
0,1
1,31
2,6
3,28
4,28
5,25
6,6
7,6
8,28
9,28
10,28
11,28
12,28
13,28
14,6
0,9
1,23
2,31
3,28
4,9
5,37
6,28
7,28
8,6
9,28
10,28
11,28
12,28
13,15
0,10
1,1
2,15
3,31
4,38
5,28
6,14
7,25
8,6
9,28
10,28
11,28
0,1
1,9
2,26
3,37
4,6
5,6
6,15
7,7
0,31
1,28
2,31
3,39
4,15
5,28
6,28
7,28
8,18
0,10
1,10
0,1
1,1
2,31
3,28
4,16
5,16
6,26
7,15
8,27
9,28
10,28
11,28
12,6
13,28
14,6
0,10
1,1
2,28
3,27
4,37
5,7
6,28
7,6
8,28
9,7
10,28
11,28
12,6
0,1
1,15
2,31
3,36
4,7
5,28
6,28
0,10
1,31
2,1
3,25
4,16
5,6
6,31
7,41
8,28
9,28
10,25
11,15
12,27
13,38
0,10
1,30
2,37
3,37
0,1
1,30
0,10
1,37
2,3
0,10
1,7
2,6
3,6
4,28
5,28
6,28
0,1
1,37
2,9
3,36
4,37
5,28
6,7
0,1
1,9
2,16
3,28
4,38
5,28
6,28
7,6
8,6
0,10
1,1
2,28
3,28
4,28
5,28
0,31
1,1
2,28
3,14
4,28
5,28
6,6
7,28
8,37
0,10
1,1
2,37
3,28
4,6
5,28
6,28
7,28
8,6
0,9
1,30
2,1
3,28
4,30
5,28
6,13
0,1
1,9
2,26
3,16
4,29
5,28
6,26
0,1
1,36
2,31
3,28
4,28
5,16
6,6
7,4
8,28
0,31
1,38
2,1
3,13
4,31
5,26
6,28
7,6
8,28
9,28
0,10
1,1
2,15
3,9
0,31
1,28
2,31
3,4
0,1
1,31
2,15
3,7
4,15
5,36
0,1
1,1
2,28
3,28
4,26
5,9
0,1
1,9
2,28
3,28
4,9
5,28
6,28
7,28
8,28
0,10
1,1
2,28
3,29
4,31
0,31
1,26
2,7
3,37
4,28
0,10
1,1
2,38
3,28
4,28
5,28
6,28
7,28
8,37
0,31
1,28
2,31
3,6
4,36
5,6
6,28
7,28
0,10
1,1
2,26
3,9
4,37
0,1
1,31
2,37
3,7
4,27
5,29
6,6
7,3
0,10
1,1
2,2
3,37
4,38
5,28
6,16
0,1
1,31
2,37
3,39
4,7
0,10
1,31
2,38
3,30
4,31
5,28
6,28
7,28
8,28
0,7
1,28
2,23
3,16
4,15
5,23
0,9
1,28
2,28
3,7
0,1
1,9
2,19
3,37
4,14
5,7
6,25
7,4
8,15
9,38
0,1
1,2
2,38
3,37
0,31
1,1
2,28
3,26
4,28
5,28
6,28
0,10
1,27
2,10
0,10
1,28
2,25
3,27
4,15
0,31
1,31
2,38
3,15
4,28
5,27
6,28
7,28
0,10
1,37
2,16
3,7
4,38
5,28
6,6
7,28
8,6
9,28
0,10
1,15
2,23
3,31
4,28
5,38
6,16
7,28
8,28
0,10
1,15
2,9
3,31
4,28
5,31
6,36
0,31
1,25
2,26
3,15
4,28
5,28
6,6
7,7
0,31
1,16
2,9
3,6
4,3
5,31
6,6
7,6
8,28
9,6
0,31
1,28
2,15
3,6
4,36
0,1
1,26
2,31
3,1
4,3
5,35
6,5
7,38
8,6
9,28
10,28
0,10
1,36
2,31
3,7
4,30
5,28
6,28
7,28
8,37
0,23
1,26
2,28
3,2
4,35
5,28
0,9
1,15
2,36
0,10
1,1
2,26
3,28
4,6
5,11
0,1
1,10
2,26
3,38
4,36
5,17
6,28
7,31
8,28
9,28
10,28
0,10
1,1
2,10
3,38
4,16
5,16
6,28
0,1
1,10
2,9
3,37
4,31
5,15
6,28
7,39
0,9
1,36
2,31
3,6
4,28
5,6
6,6
0,10
1,16
2,1
3,37
4,7
5,38
6,42
7,6
0,10
1,28
2,6
3,15
0,1
1,9
2,30
3,28
4,37
5,28
0,1
1,15
2,28
3,26
4,6
5,38
0,10
1,31
2,36
3,37
4,15
5,37
6,28
7,38
0,31
1,31
2,15
3,7
4,9
0,10
1,1
2,28
3,15
4,6
5,9
6,28
7,38
8,38
0,10
1,28
2,1
3,9
4,15
5,28
6,28
7,28
8,28
0,1
1,15
2,16
3,31
4,13
5,28
6,28
7,7
8,6
9,6
10,28
11,28
0,10
1,23
2,15
3,9
4,7
5,15
6,31
0,1
1,9
2,38
3,18
4,31
0,9
1,28
2,28
3,28
4,28
5,6
0,1
1,30
2,7
3,9
0,31
1,38
2,38
3,28
4,6
0,10
1,1
2,31
3,38
4,31
5,16
6,27
7,23
8,1
9,28
10,31
11,28
12,28
13,25
14,6
15,28
0,10
1,15
2,7
3,9
4,23
5,28
6,28
7,28
0,10
1,1
2,9
3,35
4,1
0,9
1,38
2,17
3,31
4,9
5,28
6,28
0,10
1,37
2,1
3,7
4,27
5,13
6,29
7,9
8,25
9,3
0,1
1,9
2,31
3,15
4,38
5,38
0,15
1,31
2,17
3,15
4,28
5,15
6,28
7,38
0,10
1,38
2,9
3,9
4,18
5,31
0,15
1,7
2,6
0,10
1,9
2,10
3,37
4,25
5,6
6,31
7,7
8,6
0,31
1,37
2,6
3,20
0,15
1,6
0,1
1,10
2,28
3,38
4,16
5,7
0,31
1,16
2,28
3,23
4,7
0,30
1,31
2,38
3,7
4,6
0,10
1,10
2,37
3,28
4,31
5,26
6,6
7,15
0,1
1,9
2,28
3,15
4,31
0,10
1,1
2,31
3,15
4,31
5,6
6,6
7,28
8,37
9,38
10,28
11,28
0,10
1,38
2,30
3,28
4,25
0,10
1,28
2,31
0,10
1,1
2,28
3,9
4,5
5,31
6,39
7,28
8,28
0,31
1,31
2,15
3,25
0,10
1,10
2,28
3,28
0,31
1,26
2,7
3,38
4,16
5,7
6,17
7,38
0,10
1,31
2,16
3,30
0,10
0,10
1,28
2,29
3,16
4,6
0,9
1,15
2,38
3,30
4,28
5,28
0,1
1,28
2,23
3,9
4,3
5,2
6,23
0,1
1,10
0,10
1,1
2,9
3,14
4,31
5,6
6,38
0,1
1,1
2,9
3,25
4,37
5,28
0,10
1,35
0,10
1,38
2,6
0,15
1,31
2,38
3,26
4,37
5,13
6,28
7,27
8,28
9,3
10,14
11,27
12,28
13,28
14,28
15,28
0,31
1,15
2,7
3,28
4,28
5,28
6,37
7,28
0,1
1,9
2,26
3,24
4,37
5,7
0,1
1,38
2,26
3,31
4,6
5,31
0,31
1,31
2,9
3,38
4,6
5,28
6,28
7,38
0,1
1,15
2,28
3,9
4,15
5,36
6,6
7,28
8,28
0,10
1,1
2,26
3,26
4,7
5,6
6,15
7,28
0,31
1,28
2,9
3,37
4,17
5,26
6,15
7,30
0,1
1,9
2,26
3,38
4,28
5,25
6,28
7,37
0,1
1,9
2,1
3,38
4,1
5,6
6,4
7,28
0,9
1,13
2,36
3,16
4,28
0,10
1,31
2,38
3,28
4,28
5,6
0,10
1,7
2,1
3,38
4,31
5,32
0,10
1,1
2,7
3,3
4,25
5,28
6,9
0,10
1,28
2,30
3,15
4,38
5,38
6,14
0,10
1,37
2,37
0,1
1,9
2,26
3,28
4,28
5,7
6,15
0,1
1,28
2,18
3,28
4,28
5,28
6,28
7,6
0,10
1,9
2,16
3,1
4,9
5,6
6,6
7,15
8,28
9,37
10,28
11,28
12,38
0,10
1,10
2,37
3,31
4,6
5,37
6,6
0,1
1,1
2,31
3,28
4,28
5,28
6,28
7,28
8,28
9,28
10,28
0,10
1,38
2,28
3,32
0,1
1,31
2,38
3,37
4,8
5,28
6,31
0,31
1,9
2,2
3,15
4,6
5,25
6,7
7,28
8,28
9,28
10,28
0,1
1,15
2,28
3,31
4,28
5,7
6,6
7,28
8,28
9,28
0,1
1,31
2,28
3,16
4,31
5,37
0,10
1,10
2,1
3,10
4,31
5,29
0,1
1,9
2,38
3,31
4,7
5,3
6,9
7,18
8,28
9,28
0,10
1,36
2,7
3,37
4,16
5,9
0,9
1,18
2,15
3,28
0,31
1,6
2,38
3,27
4,26
5,7
6,7
7,40
8,38
9,28
0,1
1,15
2,9
3,28
4,26
5,23
6,0
0,10
1,1
2,15
3,15
4,37
5,28
6,26
7,6
8,28
9,6
0,15
1,31
2,26
3,31
4,37
5,15
6,14
7,28
8,28
9,28
10,25
11,28
12,16
0,1
1,28
2,28
3,31
4,38
5,6
6,28
7,28
0,10
1,15
2,28
3,31
4,28
5,11
6,37
7,28
8,28
9,27
0,31
1,38
2,31
3,28
4,38
5,26
6,13
0,1
1,36
2,9
3,9
4,6
5,6
6,15
0,10
1,28
2,1
3,15
4,7
5,6
6,26
7,26
8,26
9,4
10,37
0,31
1,28
2,17
3,25
4,26
5,3
6,38
7,38
0,1
1,15
2,27
3,31
0,31
1,31
2,28
3,7
4,15
5,6
0,15
1,31
0,9
1,16
2,29
3,38
0,1
1,31
2,29
3,28
4,25
5,6
6,6
7,28
8,28
9,28
0,10
1,15
2,31
3,6
4,28
5,38
0,31
1,31
2,15
3,6
4,31
5,31
0,1
1,13
2,31
3,28
4,37
5,7
0,31
1,31
2,14
3,9
4,27
5,7
6,6
7,6
8,6
9,3
0,15
1,6
2,31
0,10
1,1
2,31
3,7
4,16
5,16
6,16
7,28
8,28
9,7
10,28
11,28
12,28
0,1
1,15
2,9
3,26
4,1
5,37
6,38
7,36
8,15
9,28
10,28
11,28
12,28
0,1
1,31
2,37
3,36
4,28
5,36
6,28
0,31
1,28
2,31
3,38
4,7
5,27
6,33
0,9
1,36
2,23
3,15
4,18
0,10
1,1
2,31
3,15
4,31
5,25
6,7
7,36
8,28
9,28
10,38
0,31
1,37
2,16
3,27
4,2
5,28
6,7
0,10
1,1
2,1
0,10
1,30
2,25
3,36
0,1
1,15
2,16
3,9
4,28
5,23
6,5
7,37
0,10
1,23
2,15
3,37
4,31
5,38
6,31
7,31
8,31
0,9
1,23
2,2
3,31
4,28
5,6
6,27
7,28
8,6
9,6
10,28
11,28
12,28
13,6
14,28
15,28
0,1
1,15
2,6
3,28
4,28
5,29
0,9
1,1
2,31
3,16
4,38
5,6
6,7
7,6
8,38
9,28
10,9
0,36
1,9
2,7
3,26
4,15
5,28
6,15
7,8
8,15
0,31
1,37
2,31
3,6
4,17
