animals,height
12,7.59
10,4.86
9,3.45
7,3.27
11,4.77
15,8.28
0,0.0
6,3.0
5,3.51
4,1.47
7,3.36
6,2.46
8,3.72
8,3.87
9,6.66
9,4.41
8,5.4
2,1.2
4,2.91
4,3.18
10,5.16
5,2.01
4,1.11
9,4.23
0,0.0
9,4.44
7,3.69
3,1.83
2,1.74
4,2.46
7,3.18
7,3.81
9,3.6
7,3.96
7,5.34
9,4.44
7,5.61
8,3.0
9,3.9
7,3.09
6,3.18
12,5.13
1,1.74
8,4.17
8,2.61
4,1.71
10,3.42
5,1.89
11,6.33
3,1.74
6,2.91
3,1.65
4,2.46
6,2.55
3,1.56
3,1.29
13,6.24
7,4.5
3,1.35
4,2.16
11,6.06
9,4.8
6,3.96
6,2.97
4,2.55
2,0.9
9,4.89
6,2.25
7,3.45
12,6.75
2,1.56
7,3.51
9,5.25
5,3.81
4,2.28
5,3.63
8,5.25
7,3.54
14,10.2
13,9.63
11,3.78
7,3.81
8,5.34
1,1.47
14,7.41
12,5.43
6,3.09
13,4.77
3,1.47
1,1.02
2,1.74
6,4.08
6,3.36
8,4.89
5,3.36
8,5.52
8,5.52
6,2.55
6,3.33
8,4.89
9,4.89
3,1.83
3,2.19
5,2.46
5,2.91
8,3.72
4,3.27
4,2.46
8,5.4
7,4.08
4,1.71
7,3.54
6,3.69
4,2.46
8,4.41
5,3.09
3,2.37
9,3.72
3,2.1
6,2.73
2,1.47
4,3.0
7,3.09
9,5.07
8,2.97
6,3.63
7,3.9
9,6.15
4,1.56
10,4.44
8,5.88
5,2.1
2,1.47
5,2.34
10,4.59
6,2.88
7,3.99
6,4.17
7,3.0
3,3.54
5,2.64
5,3.63
7,3.72
4,2.46
8,3.33
8,5.25
11,6.06
6,2.37
4,2.37
5,4.71
3,1.74
4,3.99
15,7.29
7,4.08
4,1.92
6,4.26
9,3.96
5,2.64
7,3.51
5,2.64
2,3.0
8,4.08
3,2.46
1,2.01
5,2.61
4,2.73
4,2.1
7,3.06
4,2.46
11,4.62
4,2.46
2,2.37
8,4.41
3,2.1
3,2.37
7,3.54
3,1.83
0,0.0
4,2.91
5,3.27
6,3.36
1,1.02
6,3.69
5,2.64
1,1.11
2,1.56
15,8.49
7,5.13
5,2.43
5,2.91
7,3.81
8,3.9
7,3.69
7,3.45
7,3.99
7,4.08
4,3.45
5,3.72
5,2.1
6,2.43
6,3.09
2,1.47
6,2.88
7,4.14
12,5.61
6,2.25
10,6.15
3,1.29
6,3.27
10,5.34
9,3.9
5,3.51
5,2.16
9,4.35
5,2.79
3,3.0
9,5.43
6,2.91
9,4.35
12,6.12
7,3.27
9,5.16
6,4.71
6,3.99
10,4.86
7,3.9
3,2.28
5,2.91
1,1.29
3,1.47
9,6.24
5,3.0
5,3.0
5,2.73
9,5.88
2,2.28
12,6.57
12,5.79
6,3.99
6,3.09
4,2.16
10,4.23
6,2.73
2,0.93
3,1.29
7,2.73
8,3.54
15,6.75
5,5.61
10,4.35
8,3.69
7,3.63
2,2.25
0,0.0
6,3.6
4,3.27
7,5.31
9,5.16
4,2.88
8,3.96
13,6.6
5,3.45
5,2.19
14,5.97
7,5.34
2,1.74
8,4.8
6,3.15
4,2.46
10,6.24
11,5.43
8,4.44
3,2.82
6,3.33
9,5.7
2,1.17
1,0.84
5,2.55
14,6.96
8,3.69
3,1.2
8,3.54
7,3.09
6,3.6
6,3.99
11,5.52
8,4.41
3,3.0
8,3.42
1,1.29
6,3.0
10,4.77
3,2.28
5,2.91
5,2.01
5,2.46
4,2.34
7,4.32
4,1.83
7,3.45
7,4.35
6,2.82
8,4.23
5,2.64
7,3.09
6,4.53
5,3.0
4,2.46
5,2.91
7,3.09
10,8.28
6,4.26
4,2.55
15,6.12
3,1.17
6,2.91
9,4.26
4,2.1
6,2.7
3,1.26
11,5.76
3,3.0
6,3.0
13,5.43
6,3.09
3,2.01
3,2.73
1,1.11
4,1.38
3,2.16
8,4.8
8,3.54
9,4.17
3,1.65
8,3.24
5,3.09
9,4.44
4,3.27
4,3.15
7,3.09
4,1.8
5,2.64
3,2.19
12,7.68
15,9.36
9,4.77
6,3.09
4,2.16
7,3.06
5,2.43
6,4.77
0,0.0
4,3.45
4,1.74
9,5.76
6,2.37
14,7.23
12,4.8
6,3.69
5,2.37
5,4.17
3,2.1
3,3.0
6,4.23
8,4.32
12,4.44
9,4.17
1,1.02
2,1.47
4,2.16
4,3.0
11,4.86
8,3.78
7,4.44
3,2.19
7,2.91
3,2.01
13,5.61
5,2.61
8,3.45
5,2.82
7,3.9
3,1.56
6,3.33
7,5.22
8,5.16
2,1.92
4,2.55
6,3.72
7,4.35
8,4.17
5,2.82
9,4.32
10,4.59
4,3.03
7,4.17
7,3.6
2,0.93
7,3.09
8,2.61
10,4.32
5,2.43
5,3.27
6,3.51
7,2.52
5,2.25
5,2.55
7,3.36
11,6.33
3,2.01
5,3.63
7,4.98
5,2.73
6,2.82
7,3.06
7,3.36
7,2.91
8,3.72
0,0.0
4,2.01
6,2.55
6,2.64
5,3.72
3,1.71
3,0.84
10,5.52
4,3.72
9,5.88
3,1.83
6,2.97
3,2.64
7,3.51
9,3.96
10,4.53
3,1.38
12,4.89
6,3.36
15,5.85
9,4.08
