animals,height
0,0.0
4,2.64
8,5.97
8,6.06
5,3.36
3,1.92
6,3.63
4,1.89
9,5.43
4,2.19
7,3.9
20,9.12
10,4.44
9,5.04
7,4.53
12,4.53
1,0.93
4,1.65
6,3.63
6,3.36
2,1.38
6,3.72
10,5.7
6,3.81
5,2.91
6,3.99
4,2.82
1,1.29
3,1.35
7,3.45
9,3.81
3,1.47
12,5.61
1,0.84
11,4.44
10,4.59
6,3.09
2,1.38
3,1.56
5,2.91
8,5.43
5,3.0
8,4.32
7,3.99
9,4.44
3,1.83
8,3.99
9,3.69
17,7.05
5,3.45
10,4.35
8,4.26
10,4.44
10,4.17
12,4.35
6,3.09
1,0.66
6,3.18
7,3.99
10,4.17
7,4.35
10,4.77
9,4.26
7,3.36
10,4.17
6,3.0
1,1.2
7,3.87
0,0.0
9,4.59
2,0.66
8,5.16
6,3.36
4,2.46
2,1.38
7,4.53
1,1.56
5,2.73
7,3.18
7,4.26
8,3.45
9,4.59
9,4.44
5,3.63
5,3.18
3,1.38
6,2.91
7,3.99
5,2.64
11,5.43
5,3.09
10,3.78
5,2.07
5,3.18
8,5.16
7,3.18
7,3.72
7,3.09
9,3.81
9,4.41
3,1.83
6,3.81
7,3.69
8,3.9
8,4.23
5,2.52
6,3.0
3,1.56
0,0.0
9,5.04
9,5.07
5,3.27
4,2.55
6,3.72
6,3.45
5,2.79
8,3.72
4,1.83
10,5.31
9,4.17
17,5.94
6,4.08
3,1.92
11,5.49
4,3.36
11,4.53
5,2.73
10,5.16
9,4.17
7,6.06
7,3.36
5,3.27
3,1.38
4,2.01
8,4.35
9,3.99
8,6.87
7,2.79
7,4.68
3,2.01
5,2.46
5,3.81
12,4.86
4,1.53
7,3.36
8,3.54
4,2.55
11,3.9
8,5.13
5,2.64
13,7.02
6,3.15
8,4.98
7,4.71
11,5.61
7,3.72
5,3.96
9,3.54
7,2.73
6,4.35
5,2.37
5,3.24
1,1.56
5,2.52
7,4.14
6,3.36
3,1.11
5,2.19
5,2.97
12,4.14
5,2.34
7,4.53
6,3.69
10,6.15
7,3.42
5,3.09
10,4.17
4,2.19
2,2.19
7,4.26
9,4.71
3,1.83
8,4.86
9,5.07
3,2.73
9,3.96
7,4.14
7,4.95
9,4.62
12,4.71
6,4.08
7,5.07
2,1.38
11,4.77
10,4.08
7,2.73
5,2.64
12,6.78
8,3.45
6,3.45
6,3.54
2,1.38
3,1.92
9,5.22
9,3.42
5,3.81
4,1.89
6,3.18
9,4.53
10,4.53
7,3.33
8,4.44
10,4.95
8,4.71
3,1.65
5,3.0
15,7.02
2,1.11
9,3.63
4,2.46
7,3.45
4,1.65
8,5.07
6,4.08
6,4.17
5,2.64
3,1.29
10,5.85
4,2.37
8,2.82
10,5.16
3,1.65
9,4.53
6,3.99
5,3.27
3,2.55
5,3.27
13,7.23
3,3.36
7,5.43
4,3.45
8,3.96
5,2.1
7,3.54
7,5.34
5,2.82
8,4.71
7,3.99
4,2.34
9,6.3
3,1.74
5,3.09
7,4.71
4,2.64
8,4.05
5,3.45
13,6.39
10,4.98
4,2.19
11,5.67
4,2.64
7,3.63
7,3.33
10,4.62
6,6.96
4,2.43
8,4.95
8,4.71
4,2.19
3,2.91
6,4.17
2,0.93
8,4.8
7,4.68
8,4.5
14,7.2
7,4.68
8,5.07
13,7.05
3,1.65
8,3.24
4,2.1
5,3.09
6,3.54
14,7.02
4,2.25
6,4.62
8,3.96
6,3.36
4,2.64
8,5.79
9,3.87
5,2.64
6,4.44
2,3.03
8,4.23
6,4.17
9,4.44
13,6.87
5,2.28
9,5.67
5,3.18
9,4.62
11,4.59
9,4.5
16,7.38
5,2.61
12,5.79
11,5.16
9,4.44
5,2.1
6,3.69
5,2.73
8,3.0
1,1.29
6,3.9
7,3.63
4,3.0
8,3.81
10,5.61
7,3.9
12,4.8
6,3.36
4,2.55
11,3.81
12,4.53
9,4.53
6,3.54
5,3.54
7,2.88
3,2.52
7,3.63
9,4.95
5,2.55
4,2.46
9,5.52
8,4.14
5,2.25
5,2.73
10,6.33
8,4.71
9,4.98
8,3.63
9,5.34
4,3.09
9,5.43
4,2.97
10,3.81
11,4.89
5,3.27
5,4.08
14,6.93
7,4.26
4,1.83
3,2.64
9,4.71
4,1.89
7,4.8
4,2.91
4,2.73
7,3.27
4,2.64
11,5.79
10,4.68
9,4.35
6,2.64
10,4.71
10,5.43
10,3.69
6,3.0
8,5.61
12,4.86
2,1.38
9,3.81
7,3.45
10,5.07
10,4.8
6,2.43
7,5.61
6,3.63
1,1.2
4,1.92
9,4.68
7,3.9
5,3.09
8,3.9
5,2.52
6,4.89
5,2.73
9,3.69
1,0.66
5,2.25
10,4.26
4,2.1
7,4.26
4,2.28
5,2.52
4,2.37
7,3.6
3,1.65
11,5.43
3,1.74
11,5.13
10,4.5
7,3.81
8,5.34
7,4.17
3,1.38
4,3.09
18,8.85
6,3.63
6,4.08
3,2.28
6,3.54
6,2.91
6,2.37
14,5.25
7,4.8
6,4.17
9,3.45
3,1.92
5,3.9
15,5.25
2,1.11
11,3.87
14,6.42
6,3.27
3,1.92
10,3.99
7,4.05
5,3.45
2,1.38
8,3.18
6,2.64
5,3.09
9,4.68
8,4.26
7,4.35
7,3.24
7,3.33
2,1.2
3,1.47
4,1.74
7,3.9
3,3.0
3,1.74
6,3.27
8,3.18
8,3.87
7,4.08
6,3.0
6,4.71
8,3.45
4,1.89
5,2.37
5,2.88
5,2.91
3,3.09
7,3.18
1,1.38
8,5.16
1,2.46
12,5.16
12,5.16
9,6.33
17,6.75
8,4.08
2,1.56
8,3.78
7,4.71
9,3.45
4,2.19
6,3.54
3,1.65
6,3.9
2,1.29
7,3.54
12,7.86
2,1.29
2,2.46
0,0.0
7,4.44
4,1.65
1,2.46
8,3.33
10,5.88
7,4.08
11,6.42
2,1.38
10,5.88
6,2.82
4,2.37
1,0.9
5,2.73
0,0.0
7,3.36
6,3.51
6,4.44
12,4.98
5,2.91
0,0.0
10,4.89
7,3.87
4,2.37
7,3.33
4,2.37
4,1.44
7,4.26
11,5.61
7,3.69
8,5.85
9,3.99
6,4.35
6,3.81
4,2.1
6,3.36
6,2.82
11,5.67
6,3.63
16,9.57
6,2.73
5,3.27
9,3.15
7,4.53
6,3.72
7,3.06
2,1.65
14,6.15
1,1.29
7,3.54
1,0.84
7,4.35
4,3.99
9,4.68
6,3.36
6,3.24
5,3.54
4,2.46
12,4.41
4,3.36
8,3.72
8,4.53
7,5.52
7,3.33
10,5.7
7,5.07
3,1.2
10,4.17
12,5.49
1,1.29
9,3.45
7,3.81
9,4.44
1,1.29
6,3.36
8,5.4
6,3.99
6,3.0
5,3.54
4,2.19
8,3.9
