animals,height
3,1.92
3,1.47
2,1.2
3,2.91
0,0.0
0,0.0
0,0.0
1,1.47
5,3.9
1,0.84
2,1.65
7,3.27
3,1.35
4,2.19
1,1.29
1,1.11
0,0.0
5,2.37
0,0.0
2,1.38
1,1.38
0,0.0
1,2.01
2,1.2
5,1.98
1,0.93
2,1.38
4,2.1
2,1.11
4,2.43
1,0.81
1,0.93
1,1.83
0,0.0
0,0.0
2,1.56
5,2.37
4,1.38
4,2.37
0,0.0
0,0.0
1,0.99
0,0.0
0,0.0
0,0.0
1,1.2
0,0.0
3,2.28
2,1.29
0,0.0
1,1.38
0,0.0
8,2.7
0,0.0
5,2.46
1,1.02
1,1.08
0,0.0
2,1.92
0,0.0
3,1.2
5,2.82
1,1.2
1,1.11
3,1.2
1,1.11
0,0.0
1,1.38
2,1.98
5,3.0
2,1.17
0,0.0
0,0.0
1,1.11
7,5.52
6,2.82
0,0.0
2,1.83
9,4.14
0,0.0
2,2.91
1,1.2
3,2.19
3,3.51
1,1.38
6,3.09
2,1.65
2,1.38
1,1.11
6,3.36
0,0.0
1,1.11
2,3.0
5,3.99
3,1.56
0,0.0
3,1.29
2,1.29
1,1.2
2,1.29
0,0.0
0,0.0
0,0.0
0,0.0
3,1.02
1,1.29
0,0.0
14,4.68
1,0.93
6,4.08
2,1.74
1,1.11
3,2.19
9,3.33
1,0.93
3,1.71
1,2.19
0,0.0
2,1.29
0,0.0
2,1.17
2,1.47
3,1.83
0,0.0
3,1.92
0,0.0
3,1.74
6,2.82
1,0.93
7,4.44
0,0.0
0,0.0
1,0.66
1,1.56
1,1.11
1,1.29
2,1.56
1,1.38
0,0.0
5,2.64
1,1.29
0,0.0
2,0.93
2,1.2
1,1.47
1,0.93
2,1.2
1,1.2
0,0.0
4,2.64
1,1.38
0,0.0
0,0.0
2,1.29
0,0.0
3,2.37
3,1.65
0,0.0
1,1.26
0,0.0
2,2.01
0,0.0
0,0.0
0,0.0
1,0.72
4,3.18
2,2.01
0,0.0
1,0.84
3,1.74
2,1.29
3,1.74
1,1.65
3,1.56
1,1.74
1,1.2
0,0.0
1,1.56
6,2.88
0,0.0
0,0.0
2,1.74
1,1.11
3,2.01
4,3.36
0,0.0
1,1.11
0,0.0
3,2.19
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,1.65
1,2.01
9,4.32
1,0.84
3,2.01
7,2.91
0,0.0
0,0.0
1,1.74
0,0.0
4,3.27
0,0.0
4,1.83
3,2.37
3,1.29
1,1.29
1,1.56
2,2.64
2,1.92
2,2.1
3,1.11
3,3.09
0,0.0
1,1.2
2,1.11
2,2.73
1,1.11
10,4.35
1,0.84
3,5.43
11,5.4
0,0.0
0,0.0
2,1.92
2,1.47
3,2.28
4,1.98
9,4.95
6,2.25
2,1.2
4,2.64
1,1.29
1,0.9
6,3.6
1,1.29
5,3.06
5,2.73
2,2.01
0,0.0
0,0.0
4,2.28
2,0.93
3,2.91
5,4.35
2,2.82
1,1.11
2,1.74
0,0.0
1,1.11
2,1.11
2,1.65
0,0.0
1,0.84
0,0.0
4,2.34
1,0.84
9,5.43
12,5.31
5,3.33
1,1.02
3,1.74
0,0.0
0,0.0
1,1.29
0,0.0
2,3.18
4,1.83
2,1.38
3,1.38
3,1.2
3,1.92
3,1.65
1,1.29
2,2.01
0,0.0
1,1.11
0,0.0
1,1.11
1,0.93
6,4.8
0,0.0
5,1.83
5,3.63
2,1.65
8,2.34
5,3.81
3,1.29
2,1.47
10,4.26
1,1.11
2,1.38
8,3.33
2,1.38
4,3.99
0,0.0
1,1.38
6,3.15
0,0.0
4,2.01
3,3.18
2,2.19
0,0.0
3,3.09
2,1.56
2,1.2
3,3.99
2,1.83
1,0.84
1,1.11
1,1.65
5,3.54
9,4.62
6,2.91
0,0.0
1,1.11
7,3.06
5,4.53
3,2.07
4,2.55
4,1.29
2,2.1
4,3.0
1,1.29
1,0.84
2,2.19
5,2.64
3,3.99
2,1.92
0,0.0
4,1.65
10,4.98
3,1.29
0,0.0
4,3.18
0,0.0
0,0.0
2,1.92
8,5.76
0,0.0
1,1.38
0,0.0
4,1.83
2,1.74
2,2.46
5,2.1
0,0.0
5,2.19
5,3.81
4,1.92
6,3.42
1,2.46
2,1.38
2,1.11
2,1.2
9,4.98
7,3.99
9,4.23
1,1.2
3,1.92
0,0.0
2,1.2
5,3.54
2,1.02
1,1.92
1,1.56
