animals,height
2,1.74
4,4.26
2,1.29
5,3.36
2,2.73
4,3.0
2,1.29
5,4.41
4,2.91
4,4.17
1,1.56
2,2.19
2,1.38
1,1.11
8,7.59
3,3.81
5,2.55
2,2.19
4,5.07
10,5.79
3,2.91
3,3.0
3,4.26
2,1.47
6,3.06
3,3.45
8,7.77
2,3.36
3,2.73
6,6.69
2,2.73
3,5.16
1,2.46
8,8.4
5,3.18
2,1.74
3,3.27
2,2.64
4,5.7
4,4.89
3,1.74
4,2.37
2,2.55
7,5.76
3,3.63
6,6.51
4,2.55
3,2.55
1,0.84
2,2.01
4,2.55
4,1.98
3,2.37
2,2.19
3,3.54
4,4.17
5,5.7
8,6.21
5,2.91
1,1.38
4,4.89
4,4.35
2,2.19
4,4.71
6,4.17
6,6.45
1,0.93
4,3.81
1,0.93
1,1.2
7,7.5
2,3.0
10,6.03
2,3.36
3,2.82
5,3.45
3,2.25
3,2.19
2,2.37
4,2.82
2,1.83
1,1.11
2,2.46
1,1.65
6,5.61
3,2.28
6,6.96
4,3.27
3,2.19
5,3.45
3,2.19
1,1.38
5,4.98
4,2.46
10,8.13
2,2.73
6,3.45
1,1.38
12,5.49
1,2.46
4,2.73
3,2.82
2,1.83
3,2.73
4,3.45
3,3.27
6,3.54
1,1.2
1,1.56
4,4.17
2,2.37
8,6.15
1,1.11
3,2.37
6,4.89
1,0.93
5,4.08
3,3.99
2,2.28
4,2.79
1,1.92
2,2.28
7,4.35
5,6.06
4,4.44
4,4.53
3,2.46
7,3.54
3,2.28
1,1.11
4,4.26
6,2.55
5,5.07
3,2.1
4,2.37
2,2.19
2,2.46
5,4.71
9,7.83
3,3.72
4,2.64
2,2.46
1,1.56
4,2.55
5,5.34
4,4.62
2,2.01
5,4.08
4,1.83
3,2.07
2,2.19
4,4.26
3,2.55
2,2.91
2,2.46
3,3.27
8,7.05
5,2.73
1,1.38
2,2.1
6,3.36
4,3.27
3,2.64
2,2.64
5,3.9
3,2.64
4,5.07
9,5.49
1,1.47
3,2.25
4,3.45
2,2.91
1,1.11
5,4.05
3,3.09
2,3.36
7,6.33
2,2.01
6,3.45
2,1.11
1,1.2
4,3.18
4,3.18
3,3.36
4,3.36
5,4.98
11,8.04
1,1.11
7,6.69
8,6.06
1,2.46
5,5.16
4,4.62
2,2.19
4,4.62
4,4.08
3,3.45
3,2.46
2,3.54
3,3.9
3,3.09
5,5.16
1,1.47
4,2.01
4,3.6
4,5.7
7,7.14
3,3.81
2,2.01
1,1.38
2,2.19
2,2.01
1,1.38
2,2.37
3,3.45
7,5.43
2,1.11
4,3.27
2,3.0
3,2.19
6,3.45
4,3.27
6,4.98
3,1.56
4,1.89
5,5.7
5,5.97
2,3.36
3,3.0
12,11.01
3,4.08
2,3.54
1,1.29
3,3.54
3,3.27
3,2.46
2,2.1
6,6.33
4,3.99
7,6.69
2,1.83
5,3.45
2,3.45
11,6.42
4,4.62
3,4.08
6,6.24
1,1.38
3,3.45
9,6.15
3,3.0
4,3.63
4,2.91
5,2.82
3,2.37
3,3.45
4,5.16
11,6.39
2,1.83
7,6.33
5,3.06
2,2.64
5,3.18
20,9.0
2,2.64
1,2.46
1,1.11
3,2.46
3,3.45
4,3.45
2,1.65
2,2.46
2,2.28
4,2.1
4,4.08
3,1.65
2,2.19
4,3.99
3,2.91
2,2.46
3,3.18
3,3.99
1,1.2
2,2.37
3,2.55
5,5.7
4,2.28
8,4.32
3,2.01
8,6.51
1,0.93
5,4.08
3,3.36
9,6.96
2,1.65
4,3.18
1,1.47
3,3.63
2,2.91
2,1.56
1,0.57
4,2.64
6,3.27
2,1.65
4,3.09
3,4.53
3,2.64
2,1.83
6,4.98
3,2.34
1,2.46
3,3.27
2,2.01
5,4.08
6,5.88
3,1.92
1,1.2
3,2.28
6,4.17
5,6.87
4,4.71
2,2.1
2,2.1
1,1.11
7,2.64
8,4.08
5,5.07
7,6.24
6,5.22
6,4.53
2,1.56
2,2.55
2,2.01
1,0.93
1,1.38
5,3.36
3,4.35
3,2.55
4,1.92
1,0.93
1,1.38
3,2.46
2,1.38
4,3.0
1,1.11
1,1.11
2,2.19
5,3.09
2,1.56
5,5.25
2,2.46
3,3.36
2,1.74
2,2.19
5,2.97
4,3.72
2,2.19
7,5.34
4,3.81
1,2.46
8,5.79
3,3.54
9,7.29
3,2.82
2,1.92
4,4.35
9,5.97
3,2.37
7,6.42
6,4.35
3,4.89
