animals,height
2,2.19
3,3.27
5,2.16
3,1.83
1,1.11
4,3.18
1,1.11
5,3.87
2,1.38
6,2.61
1,1.11
2,1.2
2,1.56
1,2.01
2,1.38
2,2.01
3,3.45
5,2.91
0,0.0
4,2.37
6,3.09
4,2.82
4,2.34
2,2.46
3,2.64
1,0.9
2,1.92
2,2.37
4,3.09
11,5.4
1,1.56
2,2.1
0,0.0
3,2.01
4,2.37
8,4.62
3,1.92
2,1.92
0,0.0
4,2.1
3,2.19
4,3.9
4,2.73
0,0.0
8,3.51
2,1.83
4,1.29
1,0.84
2,2.01
5,3.69
1,1.11
0,0.0
2,1.74
3,2.64
4,2.43
1,1.56
3,2.46
2,1.65
4,2.64
3,2.28
3,1.56
1,1.38
3,2.82
6,3.9
2,1.02
2,1.83
3,3.18
5,2.52
2,2.19
4,1.74
2,2.19
3,1.29
4,2.82
7,4.26
4,1.92
1,1.02
1,1.11
6,3.36
1,1.2
1,1.11
2,2.01
5,2.82
1,1.11
3,2.01
3,3.99
5,4.44
2,1.2
4,2.43
1,1.65
3,3.27
9,4.62
11,4.62
6,3.36
6,3.54
3,2.43
3,2.37
6,3.27
7,3.54
3,1.38
4,2.79
3,1.71
2,1.29
8,4.08
7,4.23
5,2.46
4,2.46
2,1.56
3,2.01
2,1.92
7,3.72
2,1.56
2,1.65
2,1.56
1,1.2
4,2.25
5,2.16
3,1.74
4,2.64
4,2.91
9,3.51
11,4.8
4,2.64
3,2.19
3,1.38
11,4.23
9,3.24
5,2.28
1,1.11
5,3.09
3,2.28
1,1.2
3,2.82
3,2.19
3,1.74
4,2.28
1,1.2
1,1.2
9,4.59
6,2.64
6,4.17
4,1.74
3,2.37
2,1.74
1,1.11
3,1.38
4,2.55
2,0.84
10,3.6
5,2.19
5,3.54
2,1.83
6,2.7
2,1.56
2,1.92
1,1.2
2,1.56
1,1.26
4,2.91
1,1.11
3,1.83
4,2.28
4,2.82
0,0.0
3,3.09
3,3.54
5,3.63
5,2.28
7,3.24
0,0.0
5,3.27
1,0.84
6,3.45
6,3.36
5,3.18
2,1.92
5,2.37
3,2.28
2,2.19
4,2.73
4,3.18
3,1.92
8,4.5
2,2.37
2,2.64
3,2.28
2,1.38
5,2.01
2,1.38
1,1.11
4,1.29
