animals,height
2,1.33
1,1.24
8,8.98
1,1.06
4,4.39
5,4.21
1,1.15
1,0.79
2,2.14
2,2.05
4,4.39
2,2.14
1,0.79
2,2.14
1,1.42
2,2.32
0,0.0
1,1.51
1,1.24
2,1.78
1,1.24
3,2.5
2,1.96
2,2.14
1,1.33
0,0.0
4,4.3
1,1.06
0,0.0
2,2.68
0,0.0
1,1.6
1,1.33
2,2.32
1,1.6
0,0.0
1,1.24
1,1.06
1,0.88
4,4.03
1,1.15
1,1.06
2,2.68
3,2.77
1,1.87
1,1.24
2,1.24
1,1.15
1,1.33
2,2.05
3,3.49
1,0.61
1,1.06
2,1.96
1,1.15
2,1.78
3,2.23
0,0.0
2,2.32
1,0.88
1,1.33
1,1.24
1,1.15
2,1.96
0,0.0
0,0.0
1,0.79
2,2.59
1,0.79
1,1.06
3,2.5
2,2.14
4,3.67
1,1.24
2,2.59
0,0.0
1,1.51
1,1.24
1,1.06
3,1.6
1,1.33
3,2.95
5,4.93
1,1.24
1,1.15
1,1.15
1,1.15
1,1.15
1,0.88
3,2.5
1,0.61
1,1.87
0,0.0
2,2.5
4,4.75
1,1.06
2,1.78
1,1.24
2,2.32
5,5.11
2,2.05
3,3.49
2,1.87
0,0.0
2,1.96
1,1.15
3,2.68
2,2.23
1,1.24
5,5.11
3,3.13
1,1.15
