animals,height
2,1.33
1,1.24
8,8.98
1,1.06
4,4.39
5,4.21
1,1.15
1,0.79
2,2.14
2,2.05
4,4.39
2,2.14
1,0.79
2,2.14
1,1.42
2,2.32
0,0.0
1,1.51
1,1.24
2,1.78
1,1.24
3,2.5
2,1.96
2,2.14
1,1.33
0,0.0
4,4.3
1,1.06
0,0.0
2,2.68
0,0.0
1,1.6
1,1.33
2,2.32
1,1.6
0,0.0
1,1.24
1,1.06
1,0.88
4,4.03
1,1.15
1,1.06
2,2.68
3,2.77
1,1.87
1,1.24
2,1.24
1,1.15
1,1.33
2,2.05
3,3.49
1,0.61
1,1.06
2,1.96
1,1.15
2,1.78
3,2.23
0,0.0
2,2.32
1,0.88
1,1.33
1,1.24
1,1.15
2,1.96
0,0.0
0,0.0
1,0.79
2,2.59
1,0.79
1,1.06
3,2.5
2,2.14
4,3.67
1,1.24
2,2.59
0,0.0
1,1.51
1,1.24
1,1.06
3,1.6
1,1.33
3,2.95
5,4.93
1,1.24
1,1.15
1,1.15
1,1.15
1,1.15
1,0.88
3,2.5
1,0.61
1,1.87
0,0.0
2,2.5
4,4.75
1,1.06
2,1.78
1,1.24
2,2.32
5,5.11
2,2.05
3,3.49
2,1.87
0,0.0
2,1.96
1,1.15
3,2.68
2,2.23
1,1.24
5,5.11
3,3.13
1,1.15
2,1.96
1,1.24
0,0.0
3,3.85
4,4.66
2,1.87
2,1.78
1,1.15
2,1.96
2,1.87
2,2.95
2,1.42
1,0.97
4,5.38
7,7.09
5,5.74
3,3.49
3,3.13
3,2.68
3,2.41
0,0.0
5,3.67
4,3.76
2,1.96
2,2.95
1,1.6
2,1.69
1,0.97
5,5.29
5,6.01
3,2.68
2,2.23
1,0.97
2,2.14
3,2.86
1,1.06
3,3.04
1,1.06
3,3.4
3,3.31
2,2.05
2,1.78
2,1.87
3,2.59
1,1.33
8,6.01
1,0.61
2,1.69
1,1.15
1,0.97
3,2.86
1,0.61
2,2.14
3,1.78
2,2.23
4,3.31
3,3.04
1,1.15
2,2.32
4,4.03
0,0.0
3,2.41
3,2.14
2,2.32
1,0.97
4,4.75
1,1.06
1,0.88
1,1.15
2,1.69
1,1.51
1,0.79
8,6.82
2,2.41
2,2.23
4,3.85
1,1.15
1,1.15
1,1.15
2,2.14
5,5.02
2,1.51
2,2.32
2,2.14
1,0.61
2,2.32
2,2.32
2,2.5
1,0.88
3,3.04
1,0.79
7,6.46
2,2.41
1,0.88
2,1.78
7,6.01
3,3.31
1,1.24
6,5.92
5,4.93
2,2.23
5,6.01
2,1.96
1,0.97
2,2.14
5,5.29
1,0.97
3,3.04
3,4.57
4,4.12
0,0.0
1,0.97
3,3.04
5,4.57
4,3.94
3,3.04
3,3.13
5,5.29
3,2.5
2,2.68
1,0.79
1,1.15
1,1.15
4,4.75
1,0.88
1,0.97
1,1.15
1,1.15
1,1.15
1,1.15
7,6.55
1,1.15
3,3.4
1,0.61
1,0.97
2,2.05
3,4.21
3,3.22
1,1.15
3,2.86
0,0.0
2,2.41
2,2.41
2,1.87
1,1.24
1,1.15
5,4.21
3,3.31
6,6.01
2,2.23
5,4.21
3,2.86
5,5.11
5,5.38
3,3.04
5,4.66
4,4.12
2,2.05
2,2.41
3,2.86
4,4.93
3,3.13
3,2.59
2,2.41
1,1.15
2,2.5
3,3.31
1,0.88
6,5.47
1,1.15
2,2.41
0,0.0
4,3.67
4,4.3
2,2.14
3,3.04
1,1.15
3,3.22
2,1.87
2,1.6
1,1.15
3,2.95
1,1.24
2,2.23
0,0.0
3,3.49
1,1.06
5,3.58
7,7.45
1,0.97
1,0.97
3,3.58
3,4.3
4,3.58
5,4.66
2,2.5
6,5.83
2,2.05
2,2.05
1,1.33
1,1.15
5,5.38
2,2.05
1,1.15
1,0.79
1,1.15
7,6.91
1,1.15
0,0.0
1,1.15
5,4.93
2,1.96
3,2.86
1,1.24
5,4.66
3,2.86
3,2.41
1,0.79
1,0.97
2,2.05
5,4.84
1,1.06
2,1.87
4,4.66
2,2.23
3,3.67
0,0.0
6,6.37
6,4.66
3,2.68
2,3.4
2,1.24
3,2.77
5,3.4
3,3.04
5,4.84
1,1.15
1,0.61
2,2.5
3,2.5
3,2.68
4,4.03
2,2.05
5,5.56
2,1.96
4,5.11
0,0.0
1,1.15
1,1.06
1,0.97
1,1.15
1,1.15
3,3.13
1,0.79
4,3.76
1,1.15
2,2.05
4,3.67
6,6.46
2,1.24
4,4.21
2,1.96
1,0.79
3,3.04
2,1.78
8,7.18
2,2.14
2,2.41
6,6.1
1,0.88
7,6.64
4,3.94
2,2.23
2,2.32
1,1.15
6,6.19
3,2.23
3,3.13
1,1.06
2,2.59
2,2.23
4,2.95
