animals,height
1,2.01
3,2.55
3,3.27
8,7.05
6,3.36
6,3.72
2,2.16
5,4.35
5,4.89
4,3.09
4,4.08
4,4.8
1,1.2
7,4.89
1,1.2
3,2.55
6,4.71
4,2.73
2,2.1
6,4.35
1,1.29
1,1.2
3,3.09
4,2.82
2,2.01
5,4.08
9,9.03
2,2.28
5,5.88
4,3.81
8,5.34
4,4.53
4,3.09
4,3.99
7,5.61
4,4.44
4,3.15
4,4.26
3,2.19
3,3.27
4,4.71
4,3.9
3,3.0
4,2.01
6,5.79
4,4.53
8,6.57
5,3.27
8,4.95
7,4.89
6,3.81
4,3.36
3,3.09
1,1.29
9,8.67
2,1.83
3,3.81
5,3.45
3,2.91
2,3.09
3,2.46
3,3.36
5,3.27
3,2.55
5,4.08
1,1.2
3,2.82
6,6.06
4,3.0
3,3.36
4,4.17
3,3.18
8,5.43
4,2.82
5,4.26
3,2.52
2,1.92
4,4.26
5,2.91
10,10.29
3,2.55
4,3.72
7,4.98
2,2.28
2,2.19
5,2.55
6,3.09
3,2.82
4,2.82
2,2.82
3,3.36
7,6.15
5,3.72
5,4.62
5,4.8
6,5.97
6,8.31
4,2.37
5,3.42
4,3.72
1,1.2
5,5.88
5,2.64
11,8.4
6,4.8
3,3.9
3,3.27
6,4.68
7,7.59
5,5.16
5,5.61
2,1.92
3,2.82
3,3.18
4,4.53
4,2.82
3,2.82
5,6.24
20,9.03
2,1.74
4,3.54
5,3.54
3,3.45
6,3.45
8,3.99
4,4.17
4,3.18
5,4.8
8,5.97
1,1.29
6,4.89
4,2.64
11,8.94
2,1.92
7,5.07
2,2.19
7,3.42
5,3.99
3,2.82
1,1.2
5,4.89
2,2.1
3,2.73
2,2.82
4,4.08
5,4.71
6,4.08
4,3.72
3,2.07
5,2.82
6,5.16
1,1.2
6,6.15
2,2.37
9,9.48
4,4.08
5,4.71
2,2.01
6,5.7
5,4.35
9,4.77
1,1.02
3,2.91
6,6.6
6,3.63
4,4.26
4,3.18
7,4.95
2,2.28
8,5.34
1,1.38
5,3.99
7,3.42
4,3.27
5,3.45
1,1.02
1,1.38
3,3.09
5,5.34
2,2.01
4,2.28
4,2.37
3,2.28
2,1.92
