step,action
0,43
0,20
0,35
0,27
1,3
2,2
0,19
0,9
1,17
2,24
3,40
4,18
5,37
6,1
0,26
1,1
2,6
3,31
0,19
1,15
2,3
3,43
0,11
1,8
2,3
3,3
4,33
0,18
1,27
2,39
3,26
0,20
0,16
1,11
2,19
0,35
1,3
2,28
3,18
4,4
5,12
6,7
7,27
8,8
0,18
0,36
1,21
0,15
1,13
2,5
3,33
0,30
1,13
2,2
0,43
1,7
2,19
0,17
1,16
0,21
0,9
1,34
2,6
3,40
4,39
5,27
6,21
0,3
1,28
2,14
3,2
4,28
5,7
0,31
1,3
2,43
3,27
4,22
0,35
0,13
1,9
2,39
3,19
4,7
5,24
0,38
1,17
2,26
3,39
4,10
0,6
1,11
2,17
0,13
1,0
0,26
1,43
2,11
3,4
4,39
0,24
1,20
2,5
3,31
4,7
0,38
1,39
2,24
3,22
0,12
1,26
2,35
0,28
1,6
2,21
0,25
1,19
2,0
0,33
0,43
0,11
0,22
1,40
2,24
3,1
4,18
5,19
6,41
7,7
8,15
9,35
0,27
1,22
0,33
1,5
2,17
3,15
4,30
0,36
1,42
0,36
1,41
2,38
3,32
0,38
1,43
2,20
3,36
4,27
5,9
6,29
7,21
0,3
1,20
2,42
3,0
0,3
1,41
2,23
0,17
1,43
0,31
1,12
2,17
0,2
1,17
2,5
3,8
4,26
5,28
6,42
0,33
0,18
1,18
2,3
3,5
0,41
1,28
2,43
0,24
1,37
2,31
3,34
0,12
1,40
2,37
3,33
0,24
1,38
2,23
3,24
4,21
0,11
1,31
2,32
3,9
4,16
5,10
0,43
0,37
1,7
2,20
0,8
1,23
2,23
3,34
4,36
5,9
6,27
7,35
8,24
9,3
10,43
0,0
1,9
2,23
3,17
4,25
5,39
0,19
0,27
1,11
2,0
0,16
1,30
2,32
3,40
4,35
0,33
0,5
1,40
0,29
1,25
2,24
0,21
0,27
1,38
2,2
3,26
4,22
0,8
1,9
0,8
1,24
2,11
0,15
1,39
2,41
0,30
1,37
2,30
3,4
0,12
1,43
2,39
3,17
4,17
5,7
6,12
7,25
8,25
9,43
0,28
1,5
2,28
3,6
0,4
1,18
0,40
1,18
2,14
3,17
4,43
5,12
0,19
1,3
2,41
3,27
4,5
0,30
1,23
2,5
3,23
4,39
5,26
6,23
0,3
1,37
2,23
0,6
1,9
0,11
1,27
2,24
3,20
4,23
5,6
0,25
1,37
2,33
3,0
0,34
0,24
0,40
1,6
2,25
3,5
4,15
5,10
0,10
1,1
2,36
3,18
4,41
0,28
1,17
2,7
3,8
4,9
0,41
1,27
2,28
3,37
4,5
0,1
1,12
2,42
3,23
0,33
0,10
0,27
1,8
2,34
3,31
4,36
5,22
0,17
1,36
2,37
3,15
4,34
5,17
0,27
1,27
2,31
3,23
4,18
5,8
6,26
7,30
8,37
9,2
0,5
1,32
2,28
3,0
4,20
0,12
0,5
1,14
2,17
3,7
4,34
5,32
0,9
1,27
2,5
3,11
0,17
0,36
1,6
2,7
0,23
1,38
2,17
3,4
4,43
0,15
1,35
2,21
3,13
4,9
5,20
0,17
1,34
0,30
1,6
2,37
3,0
0,15
1,33
0,24
1,18
0,7
1,5
2,41
3,23
4,24
5,40
6,27
7,30
0,11
1,22
0,13
0,13
1,34
2,41
0,36
1,42
0,26
1,33
0,27
1,37
2,29
3,39
4,13
0,28
1,21
0,10
1,24
2,34
0,15
1,34
2,12
0,16
1,30
2,24
3,18
0,13
1,15
2,31
3,11
0,43
0,6
1,35
2,33
0,29
1,15
2,3
0,31
1,38
2,28
3,12
4,33
0,23
1,29
