animals,height
0,0.0
0,0.0
0,0.0
2,1.56
0,0.0
6,2.28
3,1.53
3,1.47
4,2.64
3,1.65
0,0.0
2,1.02
8,4.17
0,0.0
1,1.65
3,2.46
2,1.11
2,2.73
1,1.83
0,0.0
6,3.45
5,3.63
4,2.46
0,0.0
5,2.82
4,2.1
2,1.29
1,1.65
4,2.1
4,1.8
3,2.37
2,2.37
2,1.2
2,1.29
0,0.0
0,0.0
0,0.0
9,4.77
1,1.11
4,2.64
1,1.2
3,2.01
7,3.45
3,2.1
2,1.38
1,1.02
2,2.01
6,3.27
0,0.0
3,2.28
2,2.28
3,1.83
3,2.1
4,2.46
5,2.34
0,0.0
2,1.56
10,4.59
5,2.91
0,0.0
2,2.19
4,2.37
0,0.0
1,1.92
2,2.46
0,0.0
4,3.36
1,1.11
2,1.92
2,1.65
3,2.1
9,4.14
3,2.01
1,1.11
5,2.91
4,2.64
6,2.46
2,1.74
1,0.84
5,3.18
3,2.19
0,0.0
0,0.0
5,2.46
4,2.19
4,2.46
4,3.0
3,3.27
0,0.0
0,0.0
5,2.73
5,3.45
9,4.08
4,1.92
0,0.0
5,2.1
3,2.73
0,0.0
2,1.29
4,2.64
5,2.55
1,1.74
3,1.74
1,1.11
1,1.02
7,3.9
1,1.11
0,0.0
2,1.74
1,1.38
1,1.2
4,2.37
1,1.11
2,1.98
2,1.56
3,2.73
3,1.74
0,0.0
2,1.38
2,1.38
4,2.25
2,0.63
0,0.0
0,0.0
3,2.1
4,3.09
1,1.65
2,2.1
4,4.8
3,2.01
6,3.09
0,0.0
5,2.34
3,1.11
8,3.63
1,1.92
0,0.0
6,3.36
0,0.0
1,1.2
3,1.65
0,0.0
1,1.47
7,2.64
7,4.26
3,2.28
7,3.81
7,3.06
0,0.0
12,5.43
0,0.0
0,0.0
3,2.55
3,1.92
5,2.82
5,2.34
0,0.0
2,1.74
1,1.11
3,2.43
2,1.11
2,1.65
2,1.38
1,1.29
8,3.69
3,2.19
5,3.09
4,2.91
3,2.1
2,1.2
4,2.82
3,2.01
8,2.43
1,1.02
2,1.56
5,3.99
0,0.0
2,1.74
2,1.2
7,3.36
1,1.92
10,5.22
2,1.29
1,1.38
