step,action
0,5
1,28
2,35
3,34
0,15
1,27
2,19
3,11
0,7
1,29
2,14
3,15
4,2
0,12
1,12
2,40
3,32
0,18
1,6
2,19
3,40
4,25
5,25
6,3
0,22
0,39
1,25
2,26
3,9
4,33
5,19
6,24
7,35
8,12
9,5
0,17
0,22
0,7
1,20
0,13
1,11
0,25
1,31
2,33
3,7
0,12
1,17
2,28
3,11
0,7
1,29
2,1
3,22
0,13
1,13
2,36
0,35
1,29
2,27
3,14
4,4
0,29
1,43
0,34
0,24
1,42
2,37
3,20
0,1
1,11
2,9
3,22
0,39
1,5
2,21
3,38
0,2
1,22
0,3
1,4
2,33
0,40
1,7
2,25
3,0
0,32
1,30
2,43
0,9
1,18
2,21
0,16
1,6
2,28
3,13
0,29
1,7
2,20
0,41
1,9
0,39
1,23
2,24
3,10
0,5
1,20
0,33
0,27
1,34
0,34
0,34
0,34
0,25
1,27
2,21
0,21
0,22
1,36
2,13
0,7
1,29
2,40
3,29
0,9
1,24
2,40
3,32
0,41
1,3
2,27
3,29
0,41
1,27
2,19
0,23
1,41
2,36
3,33
0,22
0,20
1,5
2,23
3,20
4,10
0,21
1,37
2,6
3,2
4,38
5,15
6,43
7,23
0,32
1,20
0,29
1,26
2,4
3,13
4,14
5,17
0,0
1,34
0,9
1,3
2,15
3,9
4,27
5,16
6,20
0,24
1,34
0,27
1,26
2,17
3,21
0,41
1,26
2,33
0,20
1,12
2,28
3,20
0,36
1,31
2,5
3,37
4,16
5,18
6,23
0,34
0,37
1,23
0,41
1,25
2,30
3,10
0,21
0,24
1,38
2,10
3,14
4,0
0,39
1,14
2,22
3,22
4,4
5,3
6,26
0,4
1,10
0,34
0,26
1,30
2,18
3,30
4,34
0,2
1,4
2,43
3,30
4,17
5,22
0,16
1,7
2,22
0,27
1,17
2,14
3,30
0,12
1,31
2,2
0,10
0,5
1,42
2,14
3,32
0,7
1,18
2,34
0,1
1,5
2,11
3,13
4,33
0,14
1,32
0,1
1,43
2,19
3,15
4,39
5,37
0,18
1,40
2,14
3,38
4,7
0,17
1,6
2,14
3,32
0,25
1,0
0,21
1,20
0,7
1,13
2,20
0,8
1,29
2,33
0,39
1,27
2,23
3,17
4,40
5,1
6,40
7,32
0,19
1,16
2,8
3,24
4,23
5,23
0,8
1,38
2,0
0,15
1,19
2,1
0,30
1,17
2,36
3,7
4,25
5,21
0,0
1,6
2,29
3,7
4,19
5,9
0,22
1,21
0,20
1,39
2,43
0,14
1,21
0,33
1,17
2,0
0,8
1,20
2,8
3,20
0,4
1,2
0,27
1,4
2,30
3,2
4,15
5,11
0,14
1,0
2,11
0,11
0,15
1,30
2,25
3,39
0,16
1,40
2,28
3,11
4,21
0,11
1,10
2,31
3,4
4,27
5,15
6,42
7,10
0,11
0,18
1,1
2,12
3,39
4,7
0,15
1,32
2,34
0,38
1,33
2,5
3,14
4,30
5,38
6,11
7,11
0,32
0,13
1,40
2,36
0,36
1,3
0,21
0,3
1,37
2,26
3,21
0,2
1,40
2,10
0,0
1,33
0,39
1,42
0,15
1,8
2,21
3,37
4,38
0,36
1,16
2,14
0,23
1,23
2,24
3,32
0,0
0,40
1,27
2,10
3,22
4,5
5,5
6,28
7,22
0,13
1,10
2,12
3,3
4,7
5,31
6,36
7,24
0,38
1,43
0,11
0,13
1,34
0,24
1,0
0,21
1,15
2,20
3,23
4,41
5,29
6,0
0,6
1,35
0,33
0,23
1,31
2,32
0,27
1,19
2,11
3,36
4,40
5,10
0,19
1,8
0,37
1,40
2,3
3,1
0,7
1,41
2,30
3,36
4,31
0,41
1,25
2,13
3,25
4,1
0,6
1,2
2,17
3,43
0,4
1,26
2,22
3,13
0,7
1,38
2,31
0,19
1,19
2,29
3,34
0,3
1,11
2,16
3,8
4,17
5,15
6,9
0,26
1,26
2,32
3,41
4,9
5,26
6,18
7,36
8,30
9,4
10,5
11,16
12,2
13,34
0,36
1,41
2,39
3,23
0,18
1,23
2,41
3,43
4,16
5,1
0,43
1,41
2,0
3,18
4,18
0,29
1,4
2,6
3,19
4,28
5,20
0,2
1,10
0,34
0,10
1,18
0,42
1,1
2,23
3,11
0,28
1,2
2,26
3,29
4,0
0,11
1,16
2,1
3,10
4,4
5,13
6,19
0,10
1,18
2,27
3,14
4,15
5,18
6,2
7,31
0,23
1,2
2,0
0,9
1,40
2,11
3,18
0,16
1,21
2,32
0,33
1,25
2,28
3,10
0,4
1,39
2,36
3,26
4,9
0,25
1,6
2,0
0,10
1,2
2,32
3,6
4,28
5,17
6,22
0,0
1,13
2,27
3,38
4,43
5,26
6,5
0,5
1,6
2,1
0,16
1,3
2,18
3,6
4,19
5,23
0,13
1,35
0,13
1,15
2,9
3,27
4,42
5,26
6,9
0,27
1,8
0,13
1,2
2,2
0,1
1,20
2,1
3,23
0,0
1,15
2,14
3,27
4,16
5,39
0,24
1,0
0,17
1,41
0,23
1,15
2,34
3,26
4,18
5,1
0,22
1,6
2,22
0,32
1,43
2,23
3,32
0,11
1,15
2,18
3,5
0,15
1,8
2,43
0,22
0,18
1,12
0,34
1,21
0,25
1,33
0,42
1,9
0,18
1,7
0,0
1,21
2,15
3,31
0,23
1,28
2,27
3,12
4,35
0,14
1,2
2,38
3,16
4,13
5,21
0,29
1,34
0,42
1,36
2,22
3,28
4,9
5,1
6,21
0,4
1,40
2,41
3,9
4,14
5,3
6,19
7,29
8,7
9,12
0,36
1,2
2,11
0,18
1,20
0,5
1,4
0,21
0,13
1,33
0,2
1,36
2,23
3,18
4,3
5,20
0,28
1,36
2,15
3,6
4,37
5,28
0,16
1,30
0,16
1,17
2,4
3,28
4,18
0,35
0,5
1,0
0,1
1,11
0,17
0,41
1,18
2,43
3,23
4,30
5,31
6,10
7,2
8,33
0,20
0,20
0,16
1,7
2,14
3,9
4,0
0,15
1,25
2,22
3,40
4,21
0,5
1,36
2,30
3,36
4,9
0,28
1,24
0,16
1,26
2,26
3,34
0,42
1,43
2,23
3,15
4,32
0,11
1,20
2,41
0,9
1,9
2,12
0,9
1,41
2,13
3,37
4,41
5,33
0,41
0,6
1,33
2,41
0,32
1,23
2,9
3,5
4,10
0,21
0,27
1,1
2,23
3,11
0,34
0,31
1,33
0,11
0,20
0,8
1,39
2,32
0,3
1,9
2,16
3,33
0,3
1,42
2,37
3,43
0,21
0,36
1,1
0,9
1,42
2,9
0,11
0,24
1,32
0,19
1,19
0,11
1,5
2,10
0,32
1,42
2,1
3,2
4,33
0,10
0,6
1,13
2,12
3,34
0,22
1,22
2,33
3,5
4,35
5,7
6,32
0,19
1,10
2,39
3,37
4,37
5,6
6,29
7,12
8,21
0,8
1,22
2,40
3,25
4,32
5,5
6,31
7,12
8,40
9,20
10,29
11,35
0,23
1,38
2,27
3,37
4,11
