animals,height
5,3.81
6,5.52
2,1.11
4,2.55
2,1.38
0,0.0
4,2.19
3,1.74
1,1.2
3,2.19
1,1.11
1,1.83
0,0.0
0,0.0
3,1.56
4,2.46
6,3.0
3,1.9
1,1.2
3,2.19
2,1.9
3,1.65
2,2.28
2,1.74
1,1.92
4,2.01
1,2.01
0,0.0
6,3.54
2,1.74
3,2.16
4,2.73
6,2.73
0,0.0
2,3.9
6,2.82
0,0.0
2,1.74
2,1.83
0,0.0
5,3.9
5,2.55
2,1.38
3,2.19
5,3.81
4,1.92
3,2.55
1,1.74
0,0.0
2,2.1
4,2.28
1,0.66
2,1.74
2,2.19
0,0.0
1,0.93
5,3.9
3,2.01
2,1.74
2,1.38
1,1.65
5,3.9
1,1.38
1,1.29
5,2.46
5,2.73
6,2.16
2,1.38
3,2.1
4,2.46
3,2.46
1,1.29
0,0.0
1,1.29
4,1.92
3,2.01
2,2.28
3,1.56
7,7.41
0,0.0
2,2.1
1,1.74
8,3.42
6,3.81
4,3.9
4,2.07
5,2.73
6,2.55
5,2.07
1,1.65
0,0.0
4,2.55
1,1.29
0,0.0
2,1.65
2,1.9
1,1.65
7,3.9
0,0.0
0,0.0
7,2.55
4,2.19
8,3.81
2,1.38
3,2.1
7,3.72
10,4.62
1,1.2
0,0.0
1,0.84
1,1.11
2,2.19
1,0.66
1,1.29
2,1.26
1,1.83
1,1.74
3,2.19
3,3.27
3,2.07
5,3.36
4,2.1
0,0.0
1,1.2
1,1.02
1,1.11
1,1.83
2,1.02
4,2.55
1,2.46
1,1.11
3,1.74
6,3.24
1,2.46
5,3.72
8,4.32
3,3.18
5,2.73
6,4.68
7,4.14
4,2.55
6,5.88
8,3.36
7,3.27
12,9.84
3,2.46
2,1.92
3,1.74
1,1.11
1,1.11
6,2.64
1,1.38
3,1.83
2,2.01
2,1.11
3,2.37
3,2.46
2,1.83
4,2.37
1,1.2
5,2.37
1,0.84
2,1.38
4,2.64
1,1.38
8,5.07
1,1.38
2,2.37
5,2.19
3,2.55
5,5.07
4,3.45
5,2.91
2,1.38
5,3.9
5,2.55
1,2.46
0,0.0
4,3.9
4,2.01
3,2.01
5,2.61
7,3.63
1,0.84
7,3.81
1,1.11
4,4.17
1,1.38
5,3.9
1,1.56
9,3.9
2,2.55
4,2.73
6,3.36
11,5.94
1,1.56
3,4.08
4,2.46
4,4.8
4,5.43
7,5.7
4,3.81
1,1.38
6,4.35
4,2.64
2,1.83
1,1.38
5,3.0
4,4.71
4,3.72
5,4.71
6,4.17
2,1.92
4,3.18
1,0.57
4,3.54
2,1.56
5,4.32
1,1.47
2,1.65
3,3.72
1,0.84
5,3.9
1,1.47
6,3.27
3,2.1
2,2.19
2,2.19
2,2.37
4,4.8
2,2.46
4,5.07
2,1.2
6,4.26
8,5.16
1,0.93
1,1.83
2,2.01
4,2.64
6,3.0
3,2.82
3,2.55
6,4.17
1,1.11
6,4.08
2,1.2
1,1.74
3,2.19
2,2.73
1,1.74
1,2.19
4,4.98
2,1.74
3,3.0
5,2.55
1,0.84
3,2.34
2,2.28
7,5.34
1,1.11
8,4.8
1,1.02
6,3.18
4,2.91
3,2.01
3,1.74
3,1.62
1,2.19
3,3.63
3,3.36
5,3.9
8,3.9
3,2.28
5,3.9
2,2.37
2,2.64
1,0.84
2,1.2
2,2.46
6,5.16
2,1.83
2,1.92
4,3.36
3,1.56
4,3.36
1,2.01
3,2.46
3,2.1
7,4.98
5,2.46
1,1.65
5,3.81
7,5.88
5,3.45
2,1.92
4,2.37
5,3.9
3,2.82
3,1.74
2,1.2
4,2.91
4,3.18
2,1.74
3,3.0
3,1.74
5,3.81
1,1.2
6,3.42
6,5.31
5,3.9
5,4.17
4,4.26
4,2.64
4,3.27
13,9.3
7,5.7
4,2.82
6,4.35
8,6.87
1,0.84
7,3.63
3,2.1
2,2.1
5,4.08
1,1.11
5,3.06
1,1.02
3,2.28
2,2.55
3,1.92
2,1.74
2,2.73
6,3.9
3,2.55
6,3.9
2,2.55
2,1.92
4,4.08
4,2.46
6,3.72
1,1.56
3,2.28
17,10.8
1,1.38
5,4.08
2,1.65
6,5.88
4,1.98
7,4.53
4,3.72
