animals,height
1,1.11
2,2.1
1,1.38
1,0.84
4,2.07
5,3.18
3,2.82
5,3.18
3,1.65
4,3.36
1,1.2
7,3.9
2,1.02
4,2.52
1,1.29
3,1.65
4,2.1
3,1.8
5,2.46
8,3.63
5,2.46
3,1.29
2,2.37
6,3.63
4,3.9
2,1.29
0,0.0
0,0.0
5,3.78
3,1.38
8,3.45
3,2.37
1,1.74
1,1.02
2,1.47
4,3.24
3,2.1
0,0.0
3,1.56
0,0.0
1,1.29
7,3.18
5,2.55
0,0.0
2,1.47
1,0.93
1,1.11
2,1.47
3,2.91
2,1.56
2,1.2
0,0.0
1,1.11
2,1.65
1,1.11
1,1.02
5,3.18
3,2.73
2,1.44
3,2.73
2,1.92
6,3.6
0,0.0
3,2.1
3,1.56
0,0.0
2,1.44
7,3.69
4,2.46
3,2.19
3,1.56
2,2.28
1,1.11
6,3.27
1,1.2
3,2.19
6,4.71
3,1.92
1,0.84
1,0.84
1,1.11
3,2.28
0,0.0
2,2.19
4,2.28
3,1.65
1,1.2
0,0.0
1,1.11
6,2.01
3,2.19
0,0.0
5,4.32
3,2.64
0,0.0
2,1.38
6,3.45
2,0.93
3,2.43
1,0.84
2,1.47
4,2.82
2,1.11
1,1.38
0,0.0
3,1.74
2,1.56
0,0.0
3,2.91
3,1.65
4,2.28
3,2.28
2,1.29
3,2.46
6,2.82
2,1.11
0,0.0
1,1.11
2,1.38
5,2.37
4,3.36
1,1.2
2,1.29
1,1.11
0,0.0
4,1.62
3,1.83
4,2.19
2,1.2
2,1.38
0,0.0
6,2.82
2,1.65
2,2.01
0,0.0
2,1.83
5,3.18
3,2.01
1,1.11
0,0.0
1,1.2
1,1.11
0,0.0
3,1.35
6,2.46
0,0.0
1,0.84
3,1.83
0,0.0
2,1.74
6,2.64
3,2.64
0,0.0
2,1.2
0,0.0
3,2.46
6,3.63
4,2.19
2,2.46
1,2.01
1,1.29
2,1.92
2,2.55
1,1.11
8,4.44
3,3.09
1,1.29
5,3.27
7,5.16
6,3.72
6,3.09
3,1.47
9,5.49
5,4.71
5,2.34
1,1.11
2,2.46
3,2.28
3,3.36
5,2.61
4,3.18
1,1.29
2,1.74
4,2.7
3,2.7
3,3.0
0,0.0
3,3.51
1,1.74
1,1.11
5,2.82
6,2.91
0,0.0
1,1.02
3,2.1
3,2.1
1,1.2
6,3.18
6,5.43
7,4.44
5,4.71
3,3.63
3,3.36
2,1.92
0,0.0
7,4.71
5,4.44
2,1.92
4,3.0
6,3.72
2,3.09
1,1.11
0,0.0
2,1.47
7,5.16
5,4.08
5,3.9
6,4.89
7,6.87
2,2.55
3,2.28
3,1.92
5,2.91
3,2.55
1,0.84
6,5.97
2,2.73
2,1.65
2,2.19
3,2.1
0,0.0
4,2.19
2,1.29
5,3.27
3,2.28
5,3.45
2,1.83
1,1.29
0,0.0
2,2.37
3,2.37
3,1.65
4,2.1
3,3.45
2,1.83
2,1.47
1,2.01
2,1.11
5,5.16
1,2.01
0,0.0
0,0.0
2,1.56
4,1.74
5,2.73
4,2.46
2,1.47
1,1.02
1,1.11
1,0.93
1,1.56
3,2.82
10,4.08
5,2.37
7,3.33
6,3.9
1,1.74
0,0.0
2,1.2
1,1.11
1,1.38
1,1.56
4,1.71
0,0.0
5,2.82
1,1.65
0,0.0
7,3.06
1,1.74
1,1.2
2,1.2
1,1.11
4,2.1
2,1.11
2,1.56
4,3.45
0,0.0
3,2.73
4,2.73
2,1.38
5,2.73
1,1.2
4,2.1
3,2.46
5,3.27
0,0.0
0,0.0
2,1.56
3,2.25
3,1.83
2,1.74
2,1.17
1,1.38
4,2.64
5,2.46
7,3.63
4,2.46
3,2.16
4,2.64
1,1.56
6,3.9
2,2.01
3,2.46
3,2.64
2,2.43
1,1.2
7,2.91
3,1.92
5,4.53
5,2.82
3,2.01
0,0.0
3,1.74
4,2.82
1,0.93
4,1.47
3,1.56
6,3.54
2,1.56
3,2.19
4,2.37
3,2.37
7,4.26
2,1.83
1,1.56
1,1.11
2,1.2
3,1.2
0,0.0
4,2.64
5,1.92
2,1.98
4,2.37
2,1.56
1,1.29
0,0.0
0,0.0
2,2.16
2,2.46
3,1.38
2,2.25
1,1.29
2,1.29
2,1.83
7,2.28
2,1.83
4,2.28
2,2.19
1,1.29
0,0.0
2,1.47
4,2.28
1,1.62
1,1.2
3,2.73
3,2.97
1,1.83
1,0.93
9,5.25
2,1.65
3,1.74
2,1.83
2,2.46
9,3.99
4,3.09
2,1.29
3,2.01
3,1.2
5,3.6
2,2.1
3,1.38
5,2.82
4,1.83
1,1.38
2,2.82
7,3.99
0,0.0
4,2.37
2,1.47
3,2.1
3,2.73
0,0.0
2,2.28
1,1.11
1,1.29
2,1.47
9,4.68
