animals,height
3,2.82
4,1.92
1,0.66
1,2.01
1,1.2
5,3.27
2,1.83
3,2.25
7,3.45
3,1.29
4,3.27
2,1.29
1,0.93
16,9.3
3,1.38
4,2.88
0,0.0
2,1.11
6,4.26
4,2.37
8,4.95
0,0.0
4,2.91
5,3.18
3,3.09
4,2.16
3,2.01
4,2.28
5,2.07
16,8.58
5,4.35
6,2.61
3,1.83
4,2.28
0,0.0
3,1.29
5,2.64
1,1.2
1,2.01
5,4.35
3,2.28
1,0.81
4,2.19
3,2.01
2,1.56
5,2.55
2,1.2
1,1.2
2,1.56
0,0.0
6,2.52
1,1.11
1,1.11
2,1.2
6,5.7
0,0.0
1,1.2
4,1.83
6,2.61
0,0.0
2,1.83
4,3.09
9,6.39
4,2.25
4,2.28
2,1.83
0,0.0
4,2.64
3,2.46
5,2.37
1,1.2
4,1.83
5,3.63
