animals,height
1,1.02
0,0.0
0,0.0
5,3.45
2,2.37
1,0.93
4,2.55
5,3.0
4,1.56
0,0.0
7,4.35
2,1.74
2,2.01
2,2.01
1,1.92
1,1.2
0,0.0
2,1.2
0,0.0
0,0.0
4,3.9
1,0.66
0,0.0
1,2.01
0,0.0
0,0.0
3,1.83
0,0.0
1,1.02
1,2.01
1,2.01
2,1.74
2,1.92
3,1.2
4,1.74
2,1.74
3,2.28
0,0.0
1,1.2
2,1.26
3,2.1
0,0.0
1,2.01
1,1.11
1,1.02
0,0.0
3,2.55
3,1.89
1,1.2
1,1.29
4,3.0
0,0.0
2,1.83
4,2.55
4,2.37
2,1.65
3,2.01
1,1.29
0,0.0
1,1.11
0,0.0
0,0.0
2,1.83
3,1.38
0,0.0
1,1.2
0,0.0
1,1.29
2,1.71
9,4.23
3,1.71
2,1.29
0,0.0
1,1.11
2,1.74
0,0.0
0,0.0
2,1.74
1,1.02
1,1.11
0,0.0
3,2.19
0,0.0
1,1.2
1,1.11
1,1.17
0,0.0
2,1.56
4,2.52
0,0.0
5,3.0
0,0.0
1,1.2
1,0.81
2,2.01
1,1.2
0,0.0
2,1.29
3,1.83
2,1.56
5,3.72
4,2.73
3,2.28
1,1.11
1,0.66
2,1.83
0,0.0
2,1.65
0,0.0
0,0.0
0,0.0
1,1.02
2,1.74
0,0.0
1,2.01
2,1.74
1,1.92
4,2.64
0,0.0
1,1.56
1,2.01
0,0.0
2,1.56
2,1.56
1,1.17
0,0.0
1,1.11
0,0.0
2,1.74
2,2.46
3,2.91
1,0.9
2,2.19
1,0.84
0,0.0
1,1.2
1,1.92
0,0.0
0,0.0
3,2.1
3,2.46
0,0.0
2,2.1
1,1.2
5,3.36
2,1.74
0,0.0
8,3.63
0,0.0
1,1.2
