animals,height
2,1.2
3,2.37
0,0.0
1,1.29
3,2.19
1,1.11
4,2.91
6,3.27
2,1.38
5,2.28
5,1.83
1,1.11
3,1.47
4,2.01
2,1.2
2,1.38
9,4.98
2,1.11
2,3.54
5,2.55
3,1.92
3,3.54
4,2.37
8,3.24
0,0.0
4,3.09
6,3.99
3,3.81
8,4.17
1,1.2
5,3.9
3,2.19
2,1.38
3,1.56
6,3.27
4,2.25
8,4.53
2,1.56
3,2.1
2,1.92
1,1.38
4,1.92
10,4.32
3,2.19
4,2.55
3,4.35
4,2.37
1,1.2
3,2.01
4,3.45
2,2.19
4,2.91
4,3.15
1,1.2
4,2.64
5,4.89
2,1.2
3,3.63
5,4.26
1,1.38
2,1.56
2,1.29
2,1.17
3,2.01
3,2.91
10,6.33
9,5.88
3,2.28
10,8.85
2,3.27
2,1.02
1,1.38
3,2.01
1,1.47
1,1.29
4,2.37
11,5.49
2,2.64
2,2.82
4,2.64
2,2.01
4,3.15
11,6.96
1,1.38
2,2.19
3,2.46
8,4.17
2,2.19
4,2.46
2,1.74
0,0.0
3,2.19
8,5.79
2,2.37
1,1.2
6,5.07
6,5.25
9,3.9
3,2.46
12,6.42
3,2.37
3,2.91
0,0.0
2,1.65
4,2.64
1,1.11
4,3.54
4,1.92
3,2.01
6,4.62
1,0.93
9,4.08
13,5.76
4,2.46
7,3.09
1,1.38
5,2.01
6,2.61
2,1.2
4,2.91
5,5.43
2,2.01
4,1.92
2,1.56
2,1.38
4,4.08
3,2.73
4,3.09
6,3.72
3,1.92
6,4.17
0,0.0
2,1.47
1,0.84
6,3.45
3,2.19
8,4.44
3,2.1
6,3.27
1,0.84
4,3.36
3,1.92
3,2.55
8,3.63
3,4.35
3,1.83
4,2.19
8,4.53
1,1.2
3,3.36
5,2.46
4,4.53
4,2.46
2,1.56
2,1.65
4,2.1
4,3.81
0,0.0
0,0.0
4,2.91
5,3.36
5,4.35
10,6.15
4,2.64
4,4.17
4,3.27
7,2.88
3,2.01
5,2.73
3,1.65
6,4.26
1,1.56
3,2.64
1,1.92
2,1.11
6,5.25
4,2.64
1,1.02
4,2.46
4,3.63
1,0.84
4,2.73
9,3.45
2,0.93
6,4.62
5,3.72
1,1.29
4,2.73
3,2.01
3,3.18
6,2.82
3,1.92
4,2.55
3,1.56
3,2.01
1,1.38
2,2.28
4,2.46
4,3.09
1,1.38
4,3.09
3,2.73
4,4.35
7,4.62
2,1.29
3,3.72
1,1.38
3,2.91
4,2.37
3,2.28
4,2.73
2,2.82
3,1.74
2,1.47
3,3.0
8,4.71
2,2.91
3,1.56
5,2.64
1,1.38
2,1.47
5,3.09
1,1.56
2,2.64
3,2.25
1,1.92
1,0.48
6,3.09
2,1.92
6,6.42
8,3.78
2,3.27
2,1.47
5,4.35
4,2.37
5,2.82
5,5.16
6,3.0
11,9.12
2,1.65
7,3.54
7,3.54
1,1.29
3,2.19
2,2.46
1,1.56
1,2.46
3,3.09
4,3.9
6,3.06
2,2.73
4,2.19
2,3.09
1,1.38
4,3.0
4,3.18
2,1.65
3,2.73
5,7.5
1,1.56
2,2.73
1,0.57
1,1.11
2,1.11
2,2.01
3,3.18
6,2.97
1,1.47
4,4.35
4,2.28
1,2.46
4,3.18
4,4.35
2,1.56
