step,action
0,20
1,22
2,31
0,10
1,22
2,29
3,27
4,18
5,17
6,17
7,30
0,43
1,23
2,42
3,37
0,20
0,10
1,12
2,8
3,39
4,16
5,20
0,0
0,3
1,35
0,37
1,23
0,10
0,24
1,13
2,37
3,4
4,15
5,18
6,30
7,5
8,9
9,24
0,43
1,13
2,36
3,10
0,18
1,41
2,31
0,21
0,43
1,4
2,35
3,39
4,11
0,9
1,13
2,12
0,30
1,26
2,38
3,20
0,27
1,7
0,17
1,8
2,24
3,7
4,37
5,6
6,21
0,13
1,30
2,36
3,8
0,40
1,26
2,25
3,19
0,20
1,30
2,26
3,42
4,29
5,37
0,23
1,6
2,14
3,15
4,9
5,3
6,13
7,18
8,7
9,29
10,41
0,22
0,9
1,4
2,29
3,38
4,37
5,11
0,0
1,31
2,40
3,0
4,5
5,2
0,30
1,7
2,5
3,15
4,28
5,14
6,34
0,21
0,41
1,43
2,29
3,23
4,19
5,24
6,30
7,32
0,39
1,13
2,11
0,36
1,31
0,7
1,25
2,30
3,35
4,28
5,27
6,31
0,9
1,28
2,21
0,0
1,26
2,38
3,41
4,34
0,5
1,30
2,30
0,27
1,12
2,10
3,41
4,15
5,20
6,10
7,5
8,9
9,35
10,30
11,31
0,34
0,14
1,14
2,7
3,36
0,30
1,9
0,15
1,4
2,21
0,43
1,5
2,41
3,3
4,41
5,34
0,18
1,18
2,15
3,23
4,43
5,3
6,34
7,9
8,25
9,27
10,38
11,8
12,7
13,11
0,17
1,40
2,6
3,28
4,32
0,14
1,7
2,34
3,33
4,0
0,22
1,5
2,13
3,22
4,35
5,31
6,15
7,1
8,37
9,30
0,0
1,8
2,20
3,31
4,4
5,28
6,33
0,7
1,38
2,24
0,36
1,7
2,15
3,41
0,37
1,13
0,16
1,8
2,7
3,12
4,37
5,9
6,14
0,36
1,33
0,34
0,37
1,15
2,8
0,9
1,26
2,15
0,25
1,14
0,17
1,12
0,34
0,10
0,10
1,34
0,20
1,38
2,10
0,10
1,29
2,8
3,4
4,17
5,33
0,3
1,30
2,29
3,28
4,20
0,21
1,18
2,41
3,23
4,22
0,17
1,13
2,1
3,27
4,26
5,17
0,18
1,29
2,0
0,2
1,9
2,15
3,17
4,6
5,37
0,36
1,5
2,24
0,10
0,29
1,23
0,20
1,7
2,31
0,41
1,15
2,0
0,15
1,41
2,13
3,22
0,27
1,1
2,23
3,7
0,3
1,40
2,7
3,10
0,23
1,11
0,0
0,5
1,1
2,10
3,15
4,33
0,0
0,13
1,24
2,43
0,19
1,6
2,30
3,30
0,25
1,14
2,24
3,10
4,4
0,15
1,23
2,43
0,8
1,26
2,35
0,30
1,4
2,29
3,32
0,8
1,0
2,18
3,31
4,11
5,22
0,20
0,32
0,6
1,4
2,13
3,27
4,23
5,1
0,29
1,6
2,38
3,12
0,15
1,32
0,43
1,22
2,15
3,18
4,33
0,28
1,1
2,22
0,43
1,24
2,19
3,42
4,36
5,9
0,22
1,32
0,41
1,3
2,39
3,12
0,25
1,41
2,20
0,43
1,13
2,30
3,14
0,43
0,3
1,10
2,42
3,8
4,38
0,13
1,11
0,4
1,27
2,3
0,25
1,41
2,27
3,15
4,1
0,14
1,15
2,9
0,4
1,42
2,9
0,22
0,13
1,43
2,4
3,17
4,4
0,12
0,8
1,18
2,16
3,14
0,39
1,41
2,29
3,6
4,36
0,43
1,39
2,18
3,6
4,21
5,13
6,10
0,6
1,9
2,13
