animals,height
0,0.0
8,3.99
6,3.36
8,3.63
2,2.19
5,2.73
4,3.09
4,2.37
4,2.1
1,1.38
7,2.73
11,5.52
9,3.18
1,2.01
8,5.34
10,5.31
8,3.81
4,2.64
9,4.26
5,3.24
10,4.98
9,3.9
4,3.18
12,5.7
14,4.86
13,5.4
6,3.6
5,2.91
8,4.44
5,2.73
6,3.45
11,5.34
8,5.79
5,2.64
6,4.17
0,0.0
4,3.36
7,5.34
4,2.82
5,3.09
12,5.61
7,3.45
7,4.68
6,3.99
6,2.91
8,4.17
4,2.28
5,3.27
5,2.28
6,3.09
3,2.37
12,5.13
7,3.42
8,2.91
7,3.18
4,3.18
7,4.98
7,3.81
3,3.0
9,4.53
2,1.2
5,3.36
8,4.08
7,3.54
8,3.27
7,3.36
7,3.27
3,2.19
4,1.74
6,3.0
6,2.55
1,1.38
3,3.18
4,2.64
10,5.43
8,3.6
14,7.95
6,3.99
10,5.43
6,3.51
10,4.95
6,3.45
4,2.82
6,3.36
6,4.53
5,2.55
8,4.08
9,4.77
4,2.55
7,4.08
17,5.97
4,3.36
7,3.54
5,3.72
6,3.99
6,3.99
7,4.23
5,3.15
10,5.07
5,2.91
4,2.91
2,1.65
4,2.82
11,7.23
1,1.11
5,3.0
7,3.54
9,4.44
3,2.28
9,4.14
9,5.88
10,5.49
9,5.07
10,4.71
4,2.97
5,2.55
7,2.43
6,3.63
8,5.16
2,1.11
7,3.63
7,3.45
7,3.78
5,3.63
7,3.9
5,3.81
6,4.05
2,1.17
1,0.84
7,3.78
5,2.73
7,3.45
15,6.21
8,4.98
7,4.26
4,1.92
6,3.63
7,4.26
10,5.7
3,1.65
9,5.43
8,3.72
7,4.08
4,2.73
9,4.62
3,2.46
3,2.19
4,2.28
16,8.85
7,4.5
11,4.23
5,3.36
4,2.91
7,3.63
9,5.43
6,3.51
11,5.52
0,0.0
9,5.7
5,2.55
13,6.69
6,3.09
6,4.23
5,4.26
9,4.89
9,6.06
12,5.61
6,4.62
7,3.99
9,4.08
4,1.92
5,2.64
2,1.38
2,1.2
11,6.33
3,2.73
4,2.91
6,3.09
5,2.19
6,3.9
11,5.16
4,2.19
6,3.54
4,2.82
6,2.73
7,3.36
6,3.99
9,4.68
6,3.27
6,4.26
9,4.95
5,2.82
2,1.92
9,5.07
4,2.46
9,4.53
6,3.15
8,3.87
10,5.07
8,4.62
8,3.54
9,4.17
4,2.37
8,4.62
5,2.55
12,5.07
2,1.2
4,2.19
9,5.16
8,5.04
8,4.53
4,1.74
6,3.0
7,3.81
4,3.27
9,4.53
14,5.79
19,6.87
7,3.27
5,3.72
4,2.55
10,6.78
11,6.3
6,2.97
5,2.82
12,5.4
10,6.21
11,4.71
14,6.03
4,2.55
8,3.63
8,4.98
2,1.98
7,3.63
7,5.34
8,3.36
4,2.64
5,3.51
6,2.91
10,4.53
8,5.94
2,1.56
9,3.78
6,2.64
8,5.16
5,2.64
5,3.54
9,3.81
7,4.08
12,5.16
2,1.92
4,2.19
8,3.99
7,3.81
3,1.29
7,4.08
5,2.28
5,2.64
4,1.56
6,3.27
5,3.45
5,4.17
1,0.66
10,5.34
1,0.66
8,4.8
11,5.49
7,3.36
6,3.45
5,3.09
6,3.99
4,2.34
10,5.67
8,4.26
11,5.88
4,3.24
5,1.92
1,0.9
1,0.57
0,0.0
11,5.43
13,5.88
7,5.61
10,5.7
2,1.38
9,3.18
8,3.81
7,4.17
8,4.62
17,5.94
3,1.56
10,5.79
5,2.88
4,3.81
12,6.6
7,3.63
1,0.84
2,1.29
1,0.9
5,3.18
10,4.71
7,3.96
6,4.08
4,3.0
7,2.73
7,3.36
9,4.86
4,3.45
6,3.18
7,3.63
16,6.06
8,4.62
9,3.99
8,5.25
7,3.09
4,3.36
2,1.65
8,3.81
2,2.55
10,3.99
10,5.25
10,5.16
8,3.81
8,3.72
8,4.59
4,2.73
4,2.88
12,5.16
10,5.88
12,4.62
8,4.53
3,3.0
10,5.52
11,4.41
11,5.97
4,2.73
6,3.36
13,5.67
2,1.11
9,6.69
7,3.0
5,2.73
1,1.92
13,5.22
4,2.88
3,1.17
10,6.24
4,2.16
7,3.36
6,3.63
9,4.32
9,4.59
4,1.2
7,4.35
2,1.38
5,2.91
8,4.17
9,5.34
8,4.68
8,4.77
8,4.08
3,2.82
5,3.45
7,3.81
8,4.86
7,3.54
9,3.87
20,9.21
6,3.36
7,4.08
9,5.7
7,2.55
12,6.87
8,4.53
7,3.54
5,3.36
10,4.77
3,1.29
