animals,height
0,0.0
3,1.62
7,2.82
2,1.38
6,2.28
1,1.56
5,3.36
6,4.62
4,2.73
4,2.52
2,1.47
0,0.0
4,2.91
7,2.79
3,1.92
1,1.38
0,0.0
4,1.92
2,1.38
1,1.2
1,1.83
2,1.2
5,2.73
4,2.73
0,0.0
5,2.19
2,2.1
2,1.92
4,2.07
4,2.19
1,1.11
0,0.0
0,0.0
0,0.0
1,1.2
3,2.34
7,3.36
4,2.46
0,0.0
6,3.63
0,0.0
0,0.0
3,1.92
2,3.0
2,1.38
2,1.47
0,0.0
4,2.46
2,2.19
3,2.19
3,2.37
3,2.46
1,1.11
3,2.64
7,2.64
4,2.28
1,0.84
2,1.38
2,2.01
1,1.38
2,1.38
2,3.33
5,2.82
8,3.78
9,3.27
5,3.42
1,1.2
1,1.11
3,2.46
2,1.29
4,2.82
5,2.91
1,1.2
6,3.6
3,2.28
2,1.38
3,2.01
4,2.19
0,0.0
5,2.61
5,2.91
3,1.92
3,2.01
1,1.29
5,2.1
1,1.2
4,2.55
0,0.0
3,2.28
2,2.19
4,2.91
0,0.0
4,3.36
1,1.29
6,3.45
5,2.73
2,2.25
1,0.93
1,1.11
4,2.46
0,0.0
2,1.11
2,1.83
5,2.46
3,2.01
3,2.1
2,1.11
2,1.38
2,1.38
0,0.0
12,5.04
4,3.0
0,0.0
5,2.82
1,0.84
4,2.46
0,0.0
6,4.08
2,2.1
4,2.91
3,2.16
0,0.0
2,1.29
6,2.73
2,1.74
5,5.58
1,1.38
3,2.46
6,2.37
3,1.83
4,2.64
0,0.0
4,2.7
0,0.0
2,1.92
4,2.37
0,0.0
5,2.97
4,2.46
2,1.11
1,1.02
2,1.38
5,3.06
2,2.1
5,2.61
2,1.2
4,2.91
1,2.01
0,0.0
0,0.0
1,1.2
1,2.01
2,1.11
1,1.2
6,3.36
2,1.74
1,1.38
1,0.93
7,3.15
1,1.74
3,1.83
5,2.37
4,2.64
0,0.0
4,2.64
4,2.01
0,0.0
1,1.2
6,3.0
2,1.2
1,2.01
9,3.6
8,4.35
3,1.65
0,0.0
3,1.83
2,1.38
5,1.92
2,1.74
0,0.0
5,2.79
4,2.37
8,3.78
3,2.28
0,0.0
3,2.19
5,3.45
3,1.83
2,1.47
9,4.26
3,3.0
1,1.38
0,0.0
3,2.19
5,3.0
3,1.38
6,2.46
1,1.92
3,2.1
1,1.11
3,1.74
6,2.79
1,1.47
4,2.16
7,3.15
1,1.11
2,1.38
6,3.27
1,0.93
0,0.0
1,1.11
2,1.38
6,3.81
1,1.2
2,2.73
1,1.08
