step,action
0,38
1,35
2,3
3,5
0,26
1,20
2,4
0,6
1,38
2,32
0,4
1,20
0,31
1,29
2,12
3,0
0,15
1,21
2,27
3,21
0,8
1,10
0,14
1,30
2,5
3,16
4,18
5,36
6,37
7,14
0,26
1,4
2,3
0,24
1,23
2,22
0,10
1,29
2,42
0,41
1,11
2,36
3,17
0,17
1,27
2,12
3,22
0,15
1,14
2,25
3,5
4,7
5,28
0,3
1,1
0,33
1,25
2,7
3,0
0,27
1,39
0,15
1,21
0,37
1,39
2,12
3,37
4,29
5,18
0,33
1,17
2,40
3,23
4,36
5,36
6,10
0,24
1,10
0,39
1,14
2,6
3,37
0,31
0,19
0,40
1,2
2,38
3,37
0,3
1,32
0,22
1,16
2,34
0,41
1,3
2,12
3,39
4,33
0,38
1,13
2,20
3,7
4,35
0,26
1,38
2,14
3,14
4,9
5,40
0,15
1,37
2,24
3,6
4,15
5,36
6,40
7,43
0,2
1,43
2,38
3,14
4,14
5,30
6,3
7,19
0,5
1,19
2,13
0,7
1,26
2,35
3,0
0,35
1,15
2,21
0,13
1,10
0,3
1,28
0,34
1,4
2,10
3,11
0,21
1,24
2,20
3,4
4,11
0,36
1,23
0,42
1,10
0,15
1,41
0,14
1,9
2,22
0,42
1,28
2,8
0,32
0,36
1,10
2,11
3,39
4,41
5,17
0,0
1,2
2,18
3,33
4,41
5,33
0,8
1,29
2,36
3,21
0,1
1,42
2,19
3,15
4,0
0,25
1,4
2,6
3,16
4,27
5,33
0,18
1,10
0,12
1,36
2,39
3,32
0,0
0,35
1,2
2,39
3,40
4,3
0,26
1,41
2,27
3,23
0,5
1,0
0,24
1,0
0,28
1,17
0,23
1,1
2,13
3,41
0,39
1,4
2,28
0,9
1,22
2,30
3,28
4,27
5,43
0,29
1,34
2,7
3,38
4,2
0,1
1,18
2,5
3,3
4,29
5,11
6,42
0,31
1,42
2,25
3,26
4,19
0,38
1,42
2,1
0,12
1,21
2,7
3,19
0,30
1,13
0,12
0,28
1,43
2,4
0,16
1,8
0,14
1,31
2,40
3,26
0,30
1,2
2,20
0,18
1,20
2,5
3,25
4,40
5,26
6,14
0,40
1,1
2,6
3,43
4,6
5,30
0,34
1,12
0,4
1,39
0,26
1,1
0,0
1,16
2,38
3,32
0,4
1,26
2,43
3,33
0,19
1,41
0,21
0,10
0,2
1,19
2,40
3,38
4,26
5,18
0,39
1,1
2,38
3,9
0,35
1,30
2,1
3,16
4,19
5,2
6,26
7,4
0,6
1,7
2,39
3,6
4,27
5,16
6,27
7,31
0,8
1,3
2,11
3,0
0,7
1,38
2,3
0,21
0,9
1,13
2,15
0,11
1,20
0,5
1,33
2,43
3,24
0,33
0,33
0,23
1,14
2,7
3,39
4,34
5,36
6,9
0,24
1,25
2,38
3,34
0,32
0,26
1,16
2,40
3,39
4,29
5,6
6,43
0,3
1,14
2,11
3,9
4,43
5,25
6,38
7,18
0,25
1,16
2,31
0,26
1,31
2,1
0,35
1,29
2,14
3,40
0,26
1,22
2,30
3,9
0,34
0,1
1,37
2,1
3,26
4,35
5,34
0,37
1,11
2,25
3,36
0,36
1,38
2,41
3,40
4,18
5,9
0,18
1,42
0,40
1,4
2,26
3,26
4,2
5,11
0,26
1,34
0,0
1,26
2,6
0,6
1,1
2,33
0,14
1,7
2,42
0,17
1,16
2,30
0,8
1,36
2,32
0,28
1,5
2,15
0,41
1,2
2,26
3,20
4,39
5,8
6,4
7,36
8,36
0,15
1,41
2,25
3,1
0,21
0,19
1,28
2,12
3,3
4,6
5,43
0,30
1,3
2,35
3,35
4,16
5,9
0,29
1,15
2,1
3,41
4,43
5,17
6,41
7,38
8,38
9,1
0,5
1,7
0,23
1,17
0,6
1,12
0,18
1,30
2,25
3,12
4,30
5,26
6,25
0,2
1,37
2,29
3,29
0,41
1,37
2,3
3,12
4,26
5,33
0,40
1,13
2,6
3,29
0,8
1,22
0,5
1,16
2,21
0,39
1,13
2,38
3,8
4,41
5,42
0,42
1,40
2,33
3,25
0,29
1,40
2,43
3,38
4,28
5,5
6,17
7,18
8,3
0,33
0,31
1,17
2,20
0,0
0,15
1,39
2,16
3,12
4,39
5,16
6,14
0,30
1,27
2,9
3,19
0,40
1,6
0,7
1,22
0,35
0,9
1,2
2,25
3,30
4,43
0,20
0,5
1,5
0,23
1,1
2,22
0,27
1,38
2,18
3,34
0,16
1,38
2,27
3,6
4,12
0,21
1,8
2,12
0,28
1,39
2,34
3,2
4,19
0,6
1,6
2,23
3,5
4,6
5,2
6,24
7,26
0,35
1,30
2,24
3,29
4,19
5,6
6,6
7,4
0,27
1,17
2,19
3,5
0,3
1,16
2,1
0,1
1,33
0,26
1,25
2,29
3,16
4,5
5,35
0,33
1,42
2,33
0,25
1,38
2,35
3,12
4,6
5,5
6,9
7,19
8,26
9,28
10,26
0,39
1,20
2,17
3,7
4,31
0,24
1,8
2,2
3,27
4,34
0,10
1,25
2,35
3,28
4,31
5,41
6,27
7,0
0,43
0,40
1,29
2,40
3,9
0,21
1,12
2,2
3,34
0,2
1,36
2,38
3,15
4,2
5,19
0,25
1,30
2,38
3,9
0,34
0,35
0,4
1,28
2,7
3,37
4,16
0,18
1,27
