animals,height
3,2.37
4,2.19
1,1.2
2,1.65
1,1.38
4,2.55
2,1.74
3,2.37
1,0.93
0,0.0
3,1.92
0,0.0
2,1.65
3,2.28
4,3.09
0,0.0
2,2.37
9,4.35
3,2.64
1,1.29
3,2.1
7,4.71
4,2.73
4,1.98
2,1.29
3,1.92
1,1.29
2,2.1
4,2.1
0,0.0
1,1.56
1,1.2
3,1.74
3,3.09
2,1.47
2,1.47
1,1.29
0,0.0
4,1.92
1,1.38
0,0.0
1,1.29
2,2.28
5,2.79
2,1.29
3,1.74
2,1.11
3,1.62
1,1.08
2,1.83
2,1.11
0,0.0
5,3.27
1,1.2
4,1.65
0,0.0
4,2.1
0,0.0
4,2.46
3,1.92
2,1.65
11,5.52
3,2.19
3,2.28
3,1.65
2,2.01
1,0.48
3,2.1
4,3.0
3,1.74
4,2.55
2,2.19
4,1.92
3,2.28
4,3.36
2,1.29
1,0.84
1,1.29
1,1.2
4,2.46
9,4.68
2,1.2
1,1.02
5,2.28
3,2.28
0,0.0
1,1.2
2,1.17
4,1.74
0,0.0
2,1.65
3,2.64
1,1.11
2,1.74
0,0.0
3,2.46
3,2.1
1,1.2
5,3.0
2,2.46
0,0.0
1,1.2
3,3.18
0,0.0
0,0.0
7,2.88
3,3.54
11,4.05
3,2.01
2,1.47
2,1.74
1,1.11
4,2.01
0,0.0
4,2.46
4,3.81
3,2.46
3,2.91
0,0.0
3,1.2
1,1.02
6,2.46
0,0.0
5,2.73
2,1.11
5,3.09
1,0.93
4,3.81
2,1.74
0,0.0
0,0.0
2,1.92
0,0.0
4,2.55
1,1.38
0,0.0
1,2.01
2,2.1
7,3.63
6,2.19
4,2.46
5,2.79
3,2.1
5,3.09
2,1.56
8,4.44
3,1.74
2,2.19
0,0.0
3,2.19
0,0.0
6,3.33
4,2.19
1,1.65
1,1.65
0,0.0
4,2.46
2,2.64
4,1.92
3,2.64
3,2.64
1,1.29
2,1.56
3,3.06
6,3.27
5,3.99
3,2.73
2,0.84
10,4.08
4,1.92
7,3.18
0,0.0
5,2.19
4,3.72
1,1.38
5,2.82
2,1.29
7,3.0
2,1.38
3,2.28
3,1.74
1,1.56
2,1.11
2,1.11
1,1.38
3,2.82
5,2.91
3,2.55
0,0.0
0,0.0
1,1.74
3,2.1
2,1.56
7,4.08
0,0.0
1,1.29
3,2.28
6,3.24
3,2.37
3,2.01
4,2.28
7,3.36
0,0.0
7,3.33
5,3.72
2,1.65
6,4.35
6,5.16
0,0.0
2,2.1
1,1.65
0,0.0
0,0.0
1,1.02
3,1.56
1,1.38
3,1.92
4,2.37
3,2.19
6,3.9
6,4.5
1,0.93
13,4.77
2,3.36
11,5.4
2,1.83
4,2.37
2,2.82
5,3.99
4,2.73
2,1.47
1,1.11
11,4.41
0,0.0
0,0.0
5,2.46
6,1.83
1,1.92
3,2.19
3,2.64
3,1.47
4,2.16
1,1.02
2,2.37
6,3.36
1,0.84
3,2.91
4,2.91
2,1.92
2,1.65
6,2.16
3,1.83
5,2.88
2,1.56
5,3.45
2,1.89
3,1.83
3,3.18
5,2.55
2,1.38
7,3.72
3,1.29
7,5.04
2,1.56
1,1.56
3,2.1
3,2.82
4,1.62
0,0.0
7,3.63
0,0.0
4,2.73
4,2.82
6,3.0
1,1.11
1,1.2
3,1.65
3,1.29
0,0.0
