animals,height
2.0,0.99
7.0,4.62
3.0,2.19
0.0,0.0
5.0,3.27
0.0,0.0
1.0,0.93
1.0,1.11
0.0,0.0
9.0,3.36
3.0,1.47
2.0,2.64
0.0,0.0
4.0,3.27
2.0,1.11
3.0,1.47
1.0,1.2
6.0,2.88
3.0,1.11
3.0,2.91
5.0,3.09
10.0,5.31
0.0,0.0
5.0,3.54
5.0,3.6
6.0,2.82
0.0,0.0
7.0,3.45
2.0,1.2
1.0,1.89
6.0,3.72
2.0,1.26
4.0,2.34
2.0,0.84
11.0,3.87
0.0,0.0
3.0,3.36
1.0,1.2
2.0,1.47
5.0,2.01
13.0,5.67
4.0,3.27
4.0,2.37
9.0,3.99
6.0,2.55
2.0,2.46
3.0,2.82
1.0,0.84
6.0,3.54
1.0,1.29
0.0,0.0
2.0,1.29
2.0,1.38
1.0,1.92
1.0,1.2
0.0,0.0
0.0,0.0
1.0,1.92
2.0,1.65
5.0,2.01
4.0,2.73
4.0,1.74
5.0,2.88
2.0,1.65
5.0,2.88
2.0,2.1
0.0,0.0
1.0,0.84
2.0,1.29
2.0,1.92
3.0,1.65
3.0,2.55
3.0,2.28
1.0,1.2
0.0,0.0
4.0,2.34
0.0,0.0
2.0,1.65
3.0,2.46
4.0,5.07
2.0,2.01
2.0,1.29
3.0,1.92
5.0,1.8
0.0,0.0
0.0,0.0
5.0,1.65
3.0,2.1
1.0,1.11
4.0,3.0
2.0,1.65
5.0,3.63
1.0,1.98
3.0,2.28
2.0,1.65
3.0,2.19
0.0,0.0
4.0,2.82
1.0,0.84
2.0,1.74
4.0,3.72
2.0,1.74
2.0,1.38
0.0,0.0
4.0,2.64
0.0,0.0
3.0,1.92
4.0,2.1
6.0,3.63
7.0,3.06
2.0,1.74
4.0,2.52
2.0,2.64
4.0,2.37
3.0,1.2
0.0,0.0
1.0,1.56
2.0,1.38
6.0,2.88
2.0,1.2
3.0,2.01
5.0,2.46
5.0,3.18
2.0,1.92
2.0,1.65
3.0,2.82
4.0,2.37
1.0,1.74
2.0,2.01
5.0,3.72
4.0,2.01
4.0,2.25
7.0,2.91
6.0,3.63
4.0,2.46
7.0,3.24
2.0,1.38
2.0,1.74
0.0,0.0
3.0,1.29
6.0,2.97
4.0,2.28
1.0,0.93
0.0,0.0
3.0,1.83
6.0,2.73
0.0,0.0
10.0,4.89
5.0,2.55
1.0,1.02
5.0,2.52
2.0,1.2
0.0,0.0
2.0,2.55
4.0,2.64
8.0,3.63
4.0,1.92
2.0,1.11
1.0,0.66
1.0,1.11
3.0,1.71
2.0,1.47
3.0,3.27
3.0,2.82
2.0,1.56
1.0,1.2
9.0,4.32
4.0,3.18
2.0,1.92
3.0,2.88
3.0,3.09
10.0,4.53
4.0,2.37
1.0,2.19
4.0,2.73
5.0,2.37
1.0,1.65
2.0,1.38
2.0,1.65
2.0,2.64
2.0,1.56
0.0,0.0
1.0,1.56
8.0,4.44
4.0,2.19
2.0,1.2
5.0,2.16
6.0,2.91
2.0,1.29
3.0,2.28
0.0,0.0
3.0,2.01
0.0,0.0
4.0,2.01
4.0,3.36
2.0,1.65
2.0,3.45
3.0,1.98
1.0,2.01
2.0,1.2
5.0,2.52
1.0,1.65
3.0,1.65
1.0,1.11
3.0,2.34
3.0,2.37
0.0,0.0
0.0,0.0
9.0,4.95
0.0,0.0
3.0,2.25
4.0,1.98
0.0,0.0
6.0,3.6
3.0,1.83
1.0,1.38
5.0,4.62
3.0,2.82
2.0,1.29
5.0,2.64
4.0,2.1
1.0,1.65
3.0,2.28
6.0,4.89
1.0,1.11
3.0,2.1
3.0,4.26
1.0,1.38
2.0,1.11
3.0,1.74
1.0,1.2
1.0,0.66
0.0,0.0
3.0,1.65
3.0,2.46
1.0,2.01
3.0,1.74
7.0,3.18
2.0,1.38
5.0,2.91
3.0,2.1
1.0,1.29
2.0,1.83
5.0,3.45
5.0,3.0
2.0,1.29
6.0,3.54
1.0,0.84
1.0,1.11
2.0,2.82
2.0,1.11
2.0,1.83
4.0,2.55
10.0,3.51
5.0,3.09
0.0,0.0
1.0,1.92
1.0,1.11
2.0,1.17
3.0,1.74
6.0,3.33
4.0,3.18
6.0,3.63
3.0,2.28
7.0,4.5
2.0,2.1
3.0,1.71
1.0,0.93
3.0,1.83
0.0,0.0
5.0,3.36
3.0,2.91
7.0,4.08
6.0,2.73
4.0,2.1
1.0,1.2
2.0,1.47
1.0,1.29
0.0,0.0
1.0,1.11
3.0,1.83
4.0,2.64
6.0,4.59
4.0,2.1
3.0,2.37
1.0,1.11
3.0,2.01
1.0,1.38
2.0,1.38
2.0,2.46
4.0,2.37
4.0,2.64
2.0,1.74
3.0,2.43
4.0,2.28
8.0,3.9
4.0,2.19
1.0,1.29
3.0,1.65
6.0,3.45
3.0,2.28
9.0,3.63
3.0,1.29
3.0,1.74
4.0,2.46
5.0,4.08
4.0,2.91
1.0,1.11
4.0,2.64
5.0,2.7
3.0,2.64
1.0,1.29
8.0,3.87
3.0,2.1
5.0,2.07
12.0,5.61
8.0,3.27
0.0,0.0
10.0,3.81
5.0,3.27
2.0,2.16
1.0,1.02
5.0,2.37
2.0,1.83
4.0,3.0
2.0,1.2
2.0,1.38
5.0,2.64
2.0,2.28
3.0,3.36
4.0,3.33
4.0,3.36
2.0,1.92
2.0,1.74
2.0,2.01
4.0,2.28
6.0,3.33
3.0,2.37
1.0,0.66
2.0,1.56
9.0,3.96
7.0,3.81
4.0,2.28
1.0,0.93
6.0,3.09
5.0,3.9
4.0,2.28
8.0,3.63
8.0,5.34
4.0,2.55
8.0,4.17
1.0,1.11
12.0,4.95
5.0,3.36
5.0,3.18
2.0,2.28
0.0,0.0
3.0,1.56
1.0,1.83
1.0,1.11
2.0,1.02
2.0,1.65
6.0,3.0
5.0,3.42
5.0,2.43
1.0,1.56
5.0,2.64
5.0,3.09
3.0,2.55
3.0,1.2
0.0,0.0
2.0,1.65
8.0,3.63
5.0,2.07
5.0,1.74
0.0,0.0
1.0,0.93
3.0,2.1
2.0,2.82
6.0,4.26
2.0,1.38
2.0,1.38
3.0,2.28
4.0,2.19
7.0,4.08
1.0,1.11
1.0,1.2
4.0,2.82
3.0,2.19
3.0,2.46
1.0,1.2
2.0,1.38
2.0,1.11
7.0,3.96
4.0,2.55
1.0,1.11
3.0,2.37
4.0,3.99
4.0,3.09
7.0,3.15
6.0,2.55
0.0,0.0
1.0,1.56
3.0,1.44
3.0,1.56
2.0,2.19
8.0,2.91
10.0,4.26
9.0,4.44
4.0,2.55
4.0,2.64
6.0,2.73
2.0,1.74
7.0,4.35
7.0,3.27
4.0,2.37
2.0,2.37
4.0,1.83
0.0,0.0
1.0,1.11
1.0,1.74
5.0,3.69
2.0,2.25
4.0,3.54
6.0,2.91
2.0,1.74
4.0,2.37
5.0,2.28
3.0,2.55
11.0,4.77
8.0,2.91
2.0,1.56
7.0,4.53
2.0,1.92
5.0,3.54
7.0,4.44
5.0,2.19
12.0,6.66
1.0,1.11
4.0,3.81
1.0,1.38
5.0,2.73
6.0,3.42
7.0,3.45
8.0,5.52
4.0,2.28
5.0,3.18
2.0,1.11
8.0,4.98
4.0,2.37
11.0,4.86
1.0,1.2
1.0,1.65
7.0,3.81
6.0,3.45
0.0,0.0
0.0,0.0
7.0,4.59
