animals,height
2,1.71
0,0.0
2,1.29
0,0.0
5,3.54
0,0.0
3,2.1
3,2.28
1,1.2
3,1.65
2,1.29
2,1.11
1,0.93
5,3.06
1,1.11
3,2.79
2,1.62
0,0.0
4,1.65
3,1.92
1,1.11
0,0.0
0,0.0
1,1.2
0,0.0
1,1.29
1,1.02
1,0.66
2,2.73
1,0.84
5,3.09
1,1.2
1,1.65
4,3.18
0,0.0
0,0.0
8,3.72
0,0.0
1,1.2
0,0.0
2,1.11
3,1.2
0,0.0
2,1.56
3,2.46
3,3.09
5,2.91
0,0.0
4,4.44
5,5.79
4,4.89
5,5.25
3,3.27
8,4.68
2,2.19
10,8.55
1,1.02
4,2.07
4,4.35
7,5.52
2,2.1
1,1.2
0,0.0
3,2.01
3,3.45
3,4.17
5,4.26
6,3.42
3,2.91
10,8.67
3,3.36
7,5.07
4,3.18
5,4.98
12,11.52
2,2.1
2,2.19
5,5.34
9,5.52
8,4.41
2,1.65
2,2.37
9,4.17
5,3.18
3,3.27
5,3.81
9,8.13
6,3.9
2,2.64
6,4.08
3,1.83
9,3.54
6,5.13
2,2.37
1,1.2
6,5.34
7,5.7
4,2.55
1,1.2
2,2.01
8,5.16
5,5.07
3,2.73
4,3.63
8,5.34
5,4.89
5,3.45
9,4.14
4,4.26
3,3.18
6,3.09
5,5.88
6,5.79
3,3.63
1,1.29
9,9.03
8,4.86
6,5.13
9,7.14
8,8.22
7,3.78
6,6.06
7,6.15
9,5.07
2,2.37
4,3.54
8,6.75
2,2.01
4,3.27
1,1.29
1,1.56
3,2.19
5,2.88
5,4.08
4,2.64
6,3.99
5,3.18
1,1.29
3,2.82
8,4.62
2,1.56
4,3.72
4,3.45
2,2.37
