animals,height
7,2.34
0,0.0
12,5.31
0,0.0
0,0.0
4,1.74
0,0.0
1,0.9
1,1.2
0,0.0
0,0.0
1,0.99
0,0.0
1,1.2
5,3.99
7,2.79
0,0.0
7,4.23
5,2.88
4,1.89
0,0.0
2,2.25
3,2.19
1,1.2
0,0.0
2,1.2
1,1.38
4,3.27
0,0.0
0,0.0
0,0.0
2,2.01
1,1.29
7,4.35
14,10.38
0,0.0
3,1.98
3,2.19
1,0.84
0,0.0
2,1.62
9,6.51
9,8.22
11,7.11
4,2.97
4,2.79
8,4.44
0,0.0
2,1.74
4,1.89
3,2.34
1,1.98
0,0.0
2,1.29
6,2.73
4,2.43
4,2.46
4,2.37
5,3.36
6,4.17
3,2.28
5,2.55
6,3.45
3,3.27
2,1.38
1,1.2
6,2.91
1,1.74
5,4.17
6,4.17
8,4.8
3,1.65
6,3.09
5,4.17
2,1.38
3,3.27
2,1.38
2,1.92
3,2.01
5,3.72
5,2.88
2,2.55
6,2.88
4,2.73
3,2.91
2,2.46
2,1.02
3,2.46
4,2.37
1,1.2
2,2.64
6,4.95
2,1.83
7,4.26
1,0.66
0,0.0
0,0.0
4,2.55
4,2.28
8,5.04
1,1.89
1,1.29
6,4.26
3,2.73
1,1.2
1,1.29
3,2.16
2,2.19
1,1.11
4,2.82
2,1.98
3,2.73
1,1.11
1,1.02
9,4.59
1,2.01
4,2.28
11,6.12
7,3.33
3,1.83
5,2.46
4,2.82
4,2.91
0,0.0
6,4.35
7,3.9
1,1.2
2,2.28
5,2.28
4,3.0
1,1.11
5,4.08
3,2.01
1,1.11
1,1.2
5,3.45
1,2.01
5,3.99
6,3.63
2,2.1
1,1.11
1,1.2
2,2.46
5,4.95
4,4.08
4,3.18
4,2.73
1,2.01
1,0.84
2,3.9
5,3.99
8,4.35
3,2.01
4,3.09
7,4.71
2,2.1
4,3.18
3,1.92
5,3.0
3,2.19
7,3.42
2,1.56
2,3.54
1,2.46
2,2.28
4,1.74
2,3.36
7,4.44
3,3.09
1,1.92
2,2.01
5,2.91
8,3.87
3,3.0
2,2.19
2,1.2
3,1.47
2,3.18
3,2.46
6,3.72
1,1.38
5,2.91
3,2.19
3,2.46
4,3.0
3,2.37
6,3.99
7,7.32
6,2.82
3,2.37
4,3.09
6,2.34
5,4.53
2,1.65
1,0.84
4,2.43
3,3.18
8,4.68
3,2.55
5,3.81
2,2.91
4,3.09
0,0.0
5,4.62
3,2.1
2,1.65
2,3.0
3,1.98
6,3.99
2,2.01
4,2.64
12,6.69
7,6.78
1,1.92
3,2.73
1,1.11
2,1.92
1,1.38
6,4.17
10,6.78
3,2.01
4,3.27
5,3.72
5,3.18
5,3.0
3,2.37
4,3.45
5,4.53
1,1.65
6,2.34
2,3.63
1,2.01
4,2.64
6,4.8
3,2.28
4,3.0
10,5.34
3,2.73
6,4.89
3,2.1
5,3.27
2,3.81
3,2.46
2,2.28
6,4.08
9,5.43
4,3.72
3,2.46
6,3.42
1,1.38
2,1.65
1,1.11
7,4.17
5,4.17
1,1.92
4,2.73
3,2.55
7,5.34
5,2.55
3,3.09
1,1.38
8,4.98
8,5.34
4,3.09
4,2.91
3,2.37
3,2.28
5,4.08
3,3.54
1,2.19
4,1.92
4,3.99
9,4.44
4,3.9
3,2.28
3,2.55
4,3.18
6,3.81
1,1.65
3,2.46
1,1.65
7,3.36
9,4.98
3,2.19
5,3.18
2,1.38
3,3.18
4,3.63
3,2.82
6,3.81
3,2.82
4,2.64
1,1.38
1,1.74
5,3.0
6,3.54
3,2.19
2,3.27
1,1.2
4,2.19
3,2.73
