animals,height
0,0.0
1,1.11
2,1.02
1,1.47
3,2.1
3,2.91
1,1.56
2,2.28
1,1.2
2,1.11
1,1.2
3,1.35
2,1.38
1,1.11
1,1.2
5,3.99
6,3.99
3,2.64
2,1.2
0,0.0
5,3.0
3,1.74
2,1.11
1,1.47
1,1.2
1,1.11
0,0.0
2,1.47
8,3.51
6,2.88
0,0.0
1,1.2
2,1.65
5,2.7
6,3.09
0,0.0
3,2.37
1,0.93
3,2.46
0,0.0
4,3.36
1,1.02
4,2.19
2,1.11
11,5.07
8,3.27
4,2.64
2,1.29
1,2.01
2,1.83
3,2.37
2,1.56
2,1.65
0,0.0
4,2.19
4,2.64
1,1.11
3,1.83
0,0.0
5,3.69
0,0.0
2,2.46
0,0.0
3,2.37
8,3.69
8,4.77
1,1.2
0,0.0
2,2.52
2,2.46
4,2.19
0,0.0
1,1.11
1,1.11
1,1.11
7,3.6
3,2.01
1,1.17
2,1.74
0,0.0
2,1.29
3,2.55
2,1.29
3,2.01
0,0.0
4,2.46
0,0.0
2,1.29
4,2.16
3,1.56
6,3.45
0,0.0
0,0.0
3,3.09
4,2.55
4,2.64
6,3.99
3,1.83
3,1.83
0,0.0
1,1.11
2,1.92
1,1.65
2,1.29
0,0.0
3,2.46
6,2.37
3,1.2
0,0.0
11,4.62
3,2.28
2,2.1
2,1.2
1,0.84
1,1.11
2,1.11
4,2.73
5,2.28
1,1.56
1,2.46
7,4.05
1,1.11
4,3.99
4,2.46
1,1.29
2,2.19
5,2.1
3,1.74
0,0.0
3,2.01
3,2.46
1,1.11
1,1.2
4,1.92
2,1.44
2,2.19
4,2.25
3,1.56
2,1.11
3,2.19
4,2.07
6,2.64
2,1.2
5,3.18
2,1.74
2,1.74
2,1.47
2,2.19
8,3.54
3,2.28
0,0.0
4,2.19
2,1.56
6,2.88
3,1.74
1,1.56
2,1.74
3,2.28
2,1.29
3,2.19
4,3.9
0,0.0
8,3.09
3,2.37
0,0.0
2,1.56
11,3.6
1,0.84
6,3.63
2,2.82
0,0.0
1,0.84
2,1.74
7,3.18
6,2.52
0,0.0
3,2.55
6,3.0
2,1.11
2,2.46
3,2.19
1,1.56
0,0.0
5,3.51
7,3.99
1,1.38
2,1.29
2,2.82
1,1.2
2,2.01
8,2.79
4,2.19
2,1.47
0,0.0
5,2.55
2,2.37
2,1.47
1,1.02
2,2.73
6,3.54
0,0.0
0,0.0
2,2.19
4,2.46
7,3.27
3,2.91
1,1.11
4,3.09
3,2.73
11,4.71
0,0.0
1,1.11
4,2.79
2,1.47
1,1.38
1,1.2
1,1.2
3,2.19
0,0.0
5,3.15
5,3.6
1,0.84
1,1.29
0,0.0
0,0.0
2,2.91
3,1.26
5,3.69
1,1.29
3,1.83
3,2.55
2,1.2
2,1.29
5,2.79
3,2.34
0,0.0
1,1.11
1,0.84
2,2.19
2,1.74
5,2.52
0,0.0
2,1.47
2,2.19
3,2.01
5,3.27
3,2.82
5,3.45
0,0.0
5,2.82
3,2.37
0,0.0
0,0.0
1,1.92
5,2.28
0,0.0
4,3.36
3,1.92
3,1.74
1,1.92
4,2.82
2,1.38
0,0.0
5,2.82
0,0.0
3,2.19
7,3.69
0,0.0
2,1.65
5,2.73
3,1.38
0,0.0
0,0.0
2,1.74
6,3.0
1,1.29
2,1.11
5,3.72
0,0.0
5,2.16
1,1.2
3,2.28
2,2.19
0,0.0
1,1.92
3,2.1
0,0.0
4,2.01
1,1.11
6,3.27
2,1.83
2,1.11
1,1.29
3,1.56
4,1.8
1,1.29
1,1.11
2,1.92
1,0.48
3,2.19
6,3.81
1,1.56
1,0.99
1,1.11
0,0.0
2,2.73
5,3.0
3,2.19
4,2.82
2,1.38
1,1.11
1,0.84
0,0.0
6,3.06
4,2.19
1,1.02
0,0.0
0,0.0
1,1.02
2,1.2
2,1.74
5,2.55
3,1.83
5,3.27
1,1.2
1,1.56
2,1.38
8,3.42
4,2.64
0,0.0
2,1.47
4,3.06
2,1.29
1,1.02
0,0.0
4,2.19
3,2.28
6,2.73
0,0.0
2,1.65
0,0.0
6,2.79
3,1.65
1,1.2
3,3.09
1,1.38
4,2.55
4,2.82
1,1.11
0,0.0
6,2.37
2,2.1
1,1.11
1,1.02
3,2.1
2,1.38
4,2.28
4,2.16
0,0.0
2,1.11
1,2.01
0,0.0
3,1.2
2,2.28
2,1.74
1,1.29
2,2.73
0,0.0
6,2.1
2,1.2
4,2.73
7,3.0
2,1.29
1,1.02
0,0.0
2,1.47
0,0.0
1,1.02
2,2.64
5,2.91
2,1.38
1,0.84
3,3.0
0,0.0
