animals,height
0,0.0
1,1.38
1,2.01
1,1.11
3,2.19
3,2.34
8,5.04
1,1.74
1,1.38
0,0.0
0,0.0
6,4.14
3,1.83
3,2.91
4,2.82
0,0.0
1,0.66
3,2.61
1,1.65
0,0.0
0,0.0
2,1.29
6,4.77
0,0.0
7,4.08
0,0.0
0,0.0
6,2.88
1,1.11
1,2.19
1,1.56
0,0.0
9,4.17
0,0.0
3,1.71
2,1.92
4,2.43
8,4.17
4,1.53
0,0.0
0,0.0
1,0.9
3,1.53
2,2.25
0,0.0
1,1.26
0,0.0
0,0.0
1,1.74
1,1.11
0,0.0
0,0.0
4,2.73
2,1.56
10,5.16
6,2.91
3,1.83
1,0.84
1,1.47
0,0.0
3,1.56
0,0.0
3,1.47
0,0.0
0,0.0
0,0.0
2,1.26
1,1.26
4,1.71
0,0.0
0,0.0
4,2.61
0,0.0
0,0.0
5,3.15
0,0.0
