animals,height
0,0.0
1,1.33
1,1.33
1,1.24
0,0.0
0,0.0
1,1.24
2,2.32
1,1.87
1,1.06
1,1.24
1,1.15
2,1.06
1,1.69
1,1.33
4,2.5
1,0.97
1,1.69
1,1.42
3,3.04
3,2.32
1,2.32
1,1.06
3,2.95
1,1.69
1,0.43
0,0.0
3,3.85
1,1.33
3,4.66
0,0.0
0,0.0
1,0.88
1,0.88
1,1.69
2,1.78
1,2.14
0,0.0
1,0.61
3,2.32
1,0.88
2,2.05
0,0.0
1,2.05
2,2.23
1,1.06
1,0.79
2,2.23
2,2.05
2,2.23
1,1.24
3,2.23
0,0.0
1,1.06
2,2.14
2,2.41
2,1.69
1,1.06
0,0.0
1,1.33
0,0.0
2,1.51
1,1.15
1,0.88
1,1.15
1,1.96
0,0.0
1,1.33
0,0.0
1,1.06
4,4.03
1,0.97
1,1.69
0,0.0
1,1.69
2,2.41
2,2.77
0,0.0
2,1.87
0,0.0
0,0.0
1,1.42
4,5.29
0,0.0
7,4.12
2,1.69
2,1.33
2,2.77
4,2.5
0,0.0
1,1.06
1,0.88
1,1.06
3,3.58
2,2.23
1,1.24
1,0.97
2,1.96
1,1.15
1,0.79
2,2.14
2,2.59
1,0.79
1,0.61
1,1.06
1,1.78
0,0.0
0,0.0
0,0.0
0,0.0
1,1.15
1,1.15
0,0.0
0,0.0
3,2.95
2,1.78
0,0.0
0,0.0
1,1.51
1,1.69
2,2.14
1,0.88
0,0.0
0,0.0
3,2.59
1,1.06
1,1.15
3,2.95
1,0.88
1,1.06
0,0.0
1,1.42
1,1.06
2,1.33
0,0.0
0,0.0
0,0.0
3,2.86
1,0.88
1,1.24
1,1.69
1,0.79
1,0.97
1,1.15
1,2.14
0,0.0
1,1.24
0,0.0
3,3.58
0,0.0
2,1.6
0,0.0
1,1.15
0,0.0
1,0.88
1,1.24
4,3.85
1,1.15
2,2.14
1,0.61
1,1.87
1,1.15
0,0.0
1,1.15
1,0.79
4,3.58
2,1.87
2,1.51
1,1.42
2,2.14
2,1.96
1,0.88
1,1.33
2,2.23
3,1.78
1,1.15
1,1.24
2,2.41
2,2.5
1,1.15
1,1.15
0,0.0
1,0.88
3,2.77
2,2.95
1,0.97
0,0.0
0,0.0
0,0.0
1,1.69
4,2.05
1,1.06
2,1.24
2,1.78
0,0.0
3,2.23
1,0.88
1,1.24
2,1.87
1,1.15
1,1.15
1,1.24
2,1.96
2,1.87
1,1.24
