animals,height
19,5.94
5,2.28
4,1.65
8,4.17
6,3.81
9,5.34
8,2.73
5,2.43
2,1.38
5,3.81
8,3.81
4,2.37
11,3.63
4,2.73
5,5.52
9,4.08
1,0.66
15,6.33
7,3.24
6,3.63
17,7.56
11,7.32
4,1.8
5,2.64
8,3.51
3,1.71
0,0.0
3,2.64
9,4.08
5,2.52
5,2.25
7,3.18
7,3.9
9,3.87
2,1.08
5,3.72
3,2.37
4,2.79
7,2.64
12,4.68
5,3.0
4,2.55
7,3.54
3,1.47
2,1.29
12,6.6
8,4.08
10,4.17
5,2.91
9,3.0
6,4.41
11,5.52
5,3.69
4,2.46
2,2.01
9,4.53
7,4.32
1,1.29
11,4.8
8,4.44
10,5.61
5,2.1
7,4.26
5,2.91
0,0.0
6,2.64
10,3.45
10,5.76
4,2.55
7,3.6
7,4.26
6,3.36
6,3.09
17,8.22
6,3.99
4,2.28
6,4.44
7,3.09
7,3.45
3,2.91
9,4.98
7,3.63
4,2.1
5,3.45
8,2.88
14,6.06
7,3.45
4,2.07
10,6.42
1,1.08
2,0.99
7,4.08
0,0.0
6,3.27
6,2.91
5,3.54
9,5.61
6,3.81
2,1.47
5,3.45
7,2.61
4,2.37
2,1.29
8,4.08
7,3.24
4,3.63
6,2.64
5,2.28
1,1.89
1,1.2
10,4.32
5,2.61
6,2.64
4,2.55
4,2.55
4,2.46
10,4.53
7,3.54
5,2.88
3,2.1
2,1.56
3,2.19
2,1.11
7,3.0
1,1.29
9,3.54
7,4.17
10,5.79
4,2.37
15,5.49
5,2.91
8,4.26
6,3.54
6,3.09
7,4.26
0,0.0
6,3.45
2,2.37
9,4.62
9,5.97
5,3.72
3,3.09
5,2.37
7,2.79
2,2.73
3,1.65
5,2.91
3,2.01
4,2.28
5,2.91
15,8.1
4,2.34
5,3.0
2,1.65
9,3.27
7,3.78
7,3.18
4,3.36
3,2.34
3,2.91
4,3.9
1,0.84
7,3.9
8,4.89
7,4.53
6,3.09
5,2.55
9,3.63
9,2.97
7,3.9
9,4.17
4,2.55
3,3.0
4,3.18
6,3.18
2,1.47
6,2.82
